ds,y
1981-01-01,6.09
1981-02-01,5.334
1981-03-01,5.67
1981-04-01,6.132
1981-05-01,5.754
1981-06-01,5.628
1981-07-01,5.628
1981-08-01,5.166
1981-09-01,6.132
1981-10-01,6.552
1981-11-01,5.964
1981-12-01,9.618
1982-01-01,6.594
1982-02-01,5.754
1982-03-01,6.468
1982-04-01,6.972
1982-05-01,6.342
1982-06-01,6.132
1982-07-01,6.048
1982-08-01,5.712
1982-09-01,6.426
1982-10-01,6.594
1982-11-01,6.846
1982-12-01,10.794
1983-01-01,7.644
1983-02-01,6.258
1983-03-01,6.342
1983-04-01,6.384
1983-05-01,6.132
1983-06-01,6.132
1983-07-01,6.384
1983-08-01,6.258
1983-09-01,7.098
1983-10-01,7.896
1983-11-01,8.274
1983-12-01,12.348
1984-01-01,7.56
1984-02-01,6.594
1984-03-01,7.602
1984-04-01,7.98
1984-05-01,8.106
1984-06-01,7.686
1984-07-01,7.35
1984-08-01,7.392
1984-09-01,8.148
1984-10-01,8.484
1984-11-01,9.408
1984-12-01,13.776
1985-01-01,8.442
1985-02-01,7.728
1985-03-01,8.232
1985-04-01,8.19
1985-05-01,8.19
1985-06-01,8.148
1985-07-01,7.98
1985-08-01,7.938
1985-09-01,8.064
1985-10-01,8.61
1985-11-01,9.282
1985-12-01,14.952
1986-01-01,8.442
1986-02-01,7.14
1986-03-01,7.56
1986-04-01,8.4
1986-05-01,7.854
1986-06-01,7.308
1986-07-01,7.812
1986-08-01,7.686
1986-09-01,8.316
1986-10-01,9.618
1986-11-01,10.626
1986-12-01,16.422
1987-01-01,9.114
1987-02-01,7.518
1987-03-01,9.03
1987-04-01,8.904
1987-05-01,8.61
1987-06-01,8.568
1987-07-01,9.576
1987-08-01,8.484
1987-09-01,10.08
1987-10-01,10.08
1987-11-01,10.164
1987-12-01,16.338
1988-01-01,7.812
1988-02-01,6.594
1988-03-01,7.224
1988-04-01,7.14
1988-05-01,7.392
1988-06-01,7.518
1988-07-01,7.728
1988-08-01,7.602
1988-09-01,8.988
1988-10-01,7.938
1988-11-01,9.114
1988-12-01,12.768
1989-01-01,7.14
1989-02-01,6.888
1989-03-01,7.476
1989-04-01,6.468
1989-05-01,6.93
1989-06-01,7.56
1989-07-01,6.93
1989-08-01,7.266
1989-09-01,7.854
1989-10-01,6.594
1989-11-01,8.316
1989-12-01,12.6
1990-01-01,7.182
1990-02-01,6.216
1990-03-01,6.93
1990-04-01,7.434
1990-05-01,8.232
1990-06-01,8.148
1990-07-01,7.728
1990-08-01,8.148
1990-09-01,7.644
1990-10-01,8.358
1990-11-01,9.996
1990-12-01,15.162
1991-01-01,8.358
1991-02-01,7.224
1991-03-01,8.106
1991-04-01,8.106
1991-05-01,8.568
1991-06-01,8.148
1991-07-01,8.148
1991-08-01,7.854
1991-09-01,8.61
1991-10-01,9.66
1991-11-01,10.5
1991-12-01,16.506
1992-01-01,9.702
1992-02-01,8.19
1992-03-01,9.366
1992-04-01,9.282
1992-05-01,9.198
1992-06-01,9.534
1992-07-01,10.752
1992-08-01,9.996
1992-09-01,9.744
1992-10-01,11.046
1992-11-01,12.096
1992-12-01,19.446
1993-01-01,10.962
1993-02-01,9.408
1993-03-01,11.298
1993-04-01,11.256
1993-05-01,10.584
1993-06-01,11.802
1993-07-01,11.382
1993-08-01,10.626
1993-09-01,11.088
1993-10-01,12.012
1993-11-01,13.86
1993-12-01,20.328
1994-01-01,11.718
1994-02-01,9.744
1994-03-01,11.76
1994-04-01,9.996
1994-05-01,9.282
1994-06-01,10.332
1994-07-01,10.164
1994-08-01,10.668
1994-09-01,10.584
1994-10-01,11.382
1994-11-01,12.768
1994-12-01,20.496
1995-01-01,11.256
1995-02-01,9.744
1995-03-01,11.214
1995-04-01,10.584
1995-05-01,11.298
1995-06-01,11.298
1995-07-01,11.13
1995-08-01,11.466
1995-09-01,10.752
1995-10-01,12.18
1995-11-01,13.188
1995-12-01,20.37
1996-01-01,11.676
1996-02-01,10.416
1996-03-01,12.684
1996-04-01,11.634
1996-05-01,11.508
1996-06-01,11.55
1996-07-01,11.172
1996-08-01,11.34
1996-09-01,11.34
1996-10-01,11.592
1996-11-01,13.23
1996-12-01,20.16
1997-01-01,12.264
1997-02-01,10.71
1997-03-01,11.718
1997-04-01,11.424
1997-05-01,11.634
1997-06-01,11.508
1997-07-01,11.004
1997-08-01,10.584
1997-09-01,10.626
1997-10-01,11.76
1997-11-01,12.474
1997-12-01,20.664
1998-01-01,13.566
1998-02-01,11.088
1998-03-01,12.81
1998-04-01,13.944
1998-05-01,13.566
1998-06-01,12.18
1998-07-01,10.542
1998-08-01,9.912
1998-09-01,10.668
1998-10-01,11.214
1998-11-01,12.012
1998-12-01,19.404
1999-01-01,10.29
1999-02-01,8.946
