ds,y
2008-01-01,6.892
2008-02-01,6.057
2008-03-01,7.322
2008-04-01,8.318
2008-05-01,8.103
2008-06-01,7.376
2008-07-01,7.188
2008-08-01,7.672
2008-09-01,7.241
2008-10-01,8.049
2008-11-01,8.776
2008-12-01,12.787
2009-01-01,7.888
2009-02-01,6.622
2009-03-01,7.08
2009-04-01,7.08
2009-05-01,6.892
2009-06-01,6.676
2009-07-01,6.73
2009-08-01,5.572
2009-09-01,5.33
2009-10-01,5.519
2009-11-01,5.465
2009-12-01,8.022
2010-01-01,5.492
2010-02-01,4.173
2010-03-01,5.196
2010-04-01,6.784
2010-05-01,6.945
2010-06-01,6.219
2010-07-01,7.215
2010-08-01,5.949
2010-09-01,5.976
2010-10-01,7.08
2010-11-01,7.322
2010-12-01,9.691
2011-01-01,6.811
2011-02-01,5.115
2011-03-01,6.784
2011-04-01,8.076
2011-05-01,8.264
2011-06-01,7.726
2011-07-01,7.78
2011-08-01,6.918
2011-09-01,7.268
2011-10-01,7.968
2011-11-01,7.888
2011-12-01,11.037
2012-01-01,6.542
2012-02-01,5.599
2012-03-01,7.941
2012-04-01,8.911
2012-05-01,8.534
2012-06-01,8.587
2012-07-01,8.641
2012-08-01,7.591
2012-09-01,8.264
2012-10-01,8.641
2012-11-01,8.668
2012-12-01,12.625
2013-01-01,6.811
2013-02-01,5.68
2013-03-01,7.188
2013-04-01,7.403
2013-05-01,7.995
2013-06-01,8.884
2013-07-01,6.165
2013-08-01,6.38
2013-09-01,7.026
2013-10-01,6.945
2013-11-01,7.968
2013-12-01,11.199
2014-01-01,6.353
2014-02-01,5.357
2014-03-01,7.43
2014-04-01,7.349
2014-05-01,7.43
2014-06-01,7.591
2014-07-01,7.241
2014-08-01,6.918
2014-09-01,7.053
2014-10-01,7.457
2014-11-01,7.834
2014-12-01,11.333
2015-01-01,6.757
2015-02-01,5.895
2015-03-01,7.43
2015-04-01,8.076
2015-05-01,8.211
2015-06-01,8.372
2015-07-01,7.968
2015-08-01,7.672
2015-09-01,7.672
2015-10-01,8.776
2015-11-01,9.664
2015-12-01,13.568
2016-01-01,8.453
2016-02-01,7.161
2016-03-01,8.964
2016-04-01,9.449
2016-05-01,9.826
2016-06-01,9.503
2016-07-01,8.695
2016-08-01,8.103
2016-09-01,8.022
2016-10-01,10.149
2016-11-01,10.741
2016-12-01,14.806
2017-01-01,9.314
2017-02-01,7.888
2017-03-01,9.314
2017-04-01,10.58
2017-05-01,10.606
2017-06-01,10.741
2017-07-01,10.041
2017-08-01,9.503
2017-09-01,10.364
2017-10-01,11.629
2017-11-01,11.36
2017-12-01,16.556
2018-01-01,10.283
2018-02-01,8.48
2018-03-01,10.176
2018-04-01,10.472
2018-05-01,11.064
2018-06-01,11.414
2018-07-01,10.364
2018-08-01,9.476
2018-09-01,10.257
2018-10-01,11.737
2018-11-01,12.168
2018-12-01,16.287
2019-01-01,10.956
2019-02-01,9.18
2019-03-01,10.795
2019-04-01,12.679
2019-05-01,12.033
2019-06-01,11.737
2019-07-01,10.795
2019-08-01,10.903
2019-09-01,10.903
2019-10-01,13.406
2019-11-01,13.622
2019-12-01,19.194
2020-01-01,12.114
2020-02-01,10.58
2020-03-01,13.675
2020-04-01,12.679
2020-05-01,13.756
2020-06-01,13.487
2020-07-01,13.648
2020-08-01,12.679
2020-09-01,13.406
2020-10-01,14.725
2020-11-01,15.102
2020-12-01,20.809
2021-01-01,13.46
2021-02-01,11.387
2021-03-01,13.245
2021-04-01,14.241
2021-05-01,13.325
2021-06-01,12.168
2021-07-01,12.249
2021-08-01,11.468
2021-09-01,11.199
2021-10-01,13.029
2021-11-01,13.298
2021-12-01,20.002
2022-01-01,14.16
2022-02-01,11.064
2022-03-01,14.671
2022-04-01,15.775
2022-05-01,16.206
2022-06-01,14.079
2022-07-01,14.295
2022-08-01,13.918
2022-09-01,13.971
2022-10-01,15.721
2022-11-01,15.129
2022-12-01,18.171
2023-01-01,17.875
2023-02-01,15.021
2023-03-01,20.028
2023-04-01,20.028
2023-05-01,20.917
2023-06-01,19.194
2023-07-01,19.84
2023-08-01,18.467
2023-09-01,18.682
2023-10-01,20.917
2023-11-01,21.24
2023-12-01,26.678
2024-01-01,16.287
2024-02-01,14.429
2024-03-01,18.548
2024-04-01,17.767
2024-05-01,18.009
2024-06-01,16.367
2024-07-01,15.317
2024-08-01,15.829
2024-09-01,15.937
2024-10-01,17.552
2024-11-01,17.929
2024-12-01,24.336
2025-01-01,13.379
2025-02-01,13.622
2025-03-01,16.583
2025-04-01,14.537
2025-05-01,16.125
2025-06-01,15.452
2025-07-01,14.402
2025-08-01,14.483
2025-09-01,14.133
2025-10-01,14.51
2025-11-01,14.968
2025-12-01,20.244
2026-01-01,11.01
2026-02-01,8.776
2026-03-01,10.687
2026-04-01,11.01
2026-05-01,11.522
2026-06-01,11.279
2026-07-01,11.629
2026-08-01,10.956
2026-09-01,11.306
2026-10-01,13.245
2026-11-01,13.541
2026-12-01,19.436
2027-01-01,13.541
2027-02-01,10.606
2027-03-01,13.675
2027-04-01,13.837
2027-05-01,13.998
2027-06-01,13.675
2027-07-01,16.96
2027-08-01,17.013
2027-09-01,17.552
2027-10-01,21.321
2027-11-01,20.782
2027-12-01,30.554
2028-01-01,16.367
2028-02-01,13.675
2028-03-01,16.987
2028-04-01,18.602
2028-05-01,18.306
2028-06-01,16.906
2028-07-01,17.363
2028-08-01,15.479
2028-09-01,16.125
2028-10-01,17.525
2028-11-01,17.067
2028-12-01,25.87
2029-01-01,16.583
2029-02-01,14.052
2029-03-01,16.098
2029-04-01,18.333
2029-05-01,17.794
2029-06-01,18.117
2029-07-01,18.467
2029-08-01,16.071
2029-09-01,16.179
2029-10-01,16.61
2029-11-01,17.39
2029-12-01,27.243
