ds,y
1984-01-01,20.402
1984-04-01,24.252
1984-07-01,18.809
1984-10-01,18.717
1985-01-01,16.991
1985-04-01,14.369
1985-07-01,20.385
1985-10-01,26.157
1986-01-01,12.518
1986-04-01,9.622
1986-07-01,20.482
1986-10-01,21.889
1987-01-01,14.116
1987-04-01,21.044
1987-07-01,17.438
1987-10-01,23.719
1988-01-01,24.779
1988-04-01,19.257
1988-07-01,22.026
1988-10-01,17.652
1989-01-01,26.556
1989-04-01,18.956
1989-07-01,17.931
1989-10-01,26.174
1990-01-01,24.572
1990-04-01,16.467
1990-07-01,20.745
1990-10-01,20.289
1991-01-01,19.676
1991-04-01,18.473
1991-07-01,12.769
1991-10-01,27.122
1992-01-01,15.466
1992-04-01,19.809
1992-07-01,15.765
1992-10-01,18.845
1993-01-01,17.757
1993-04-01,20.809
1993-07-01,10.687
1993-10-01,13.773
1994-01-01,11.306
1994-04-01,18.069
1994-07-01,8.554
1994-10-01,16.296
1995-01-01,13.968
1995-04-01,12.487
1995-07-01,8.271
1995-10-01,11.932
1996-01-01,10.226
1996-04-01,18.595
1996-07-01,8.263
1996-10-01,10.947
1997-01-01,13.946
1997-04-01,14.549
1997-07-01,14.268
1997-10-01,23.686
1998-01-01,19.145
1998-04-01,16.366
1998-07-01,8.56
1998-10-01,20.695
1999-01-01,27.705
1999-04-01,25.109
1999-07-01,20.142
1999-10-01,31.626
2000-01-01,35.947
2000-04-01,25.06
2000-07-01,14.618
2000-10-01,25.508
