ds,y
1989-01-01,326.281
1989-04-01,229.14
1989-07-01,169.842
1989-10-01,253.022
1990-01-01,323.907
1990-04-01,295.93
1990-07-01,225.367
1990-10-01,268.52
1991-01-01,340.213
1991-04-01,251.682
1991-07-01,197.715
1991-10-01,354.153
1992-01-01,303.348
1992-04-01,222.293
1992-07-01,119.639
1992-10-01,306.942
1993-01-01,432.32
1993-04-01,200.438
1993-07-01,150.53
1993-10-01,244.72
1994-01-01,433.697
1994-04-01,293.132
1994-07-01,152.474
1994-10-01,195.895
1995-01-01,343.391
1995-04-01,189.844
1995-07-01,142.249
1995-10-01,236.494
1996-01-01,422.772
1996-04-01,212.934
1996-07-01,161.647
1996-10-01,243.491
1997-01-01,405.786
1997-04-01,168.649
1997-07-01,178.157
1997-10-01,234.637
1998-01-01,405.38
1998-04-01,164.308
1998-07-01,167.392
1998-10-01,246.229
1999-01-01,333.408
1999-04-01,179.772
1999-07-01,187.705
1999-10-01,215.747
2000-01-01,312.833
2000-04-01,195.631
2000-07-01,172.914
2000-10-01,196.345
2001-01-01,323.734
2001-04-01,206.768
2001-07-01,165.737
2001-10-01,192.669
2002-01-01,340.006
2002-04-01,157.063
2002-07-01,186.515
2002-10-01,248.131
2003-01-01,368.865
2003-04-01,273.522
2003-07-01,182.733
2003-10-01,192.413
2004-01-01,329.223
2004-04-01,184.205
2004-07-01,129.326
2004-10-01,254.331
