ds,y
1989-01-01,250.474
1989-02-01,242.221
1989-03-01,268.763
1989-04-01,246.682
1989-05-01,246.459
1989-06-01,251.812
1989-07-01,238.653
1989-08-01,256.273
1989-09-01,260.957
1989-10-01,297.312
1989-11-01,315.825
1989-12-01,426.229
1990-01-01,290.398
1990-02-01,264.748
1990-03-01,282.369
1990-04-01,254.266
1990-05-01,267.871
1990-06-01,251.812
1990-07-01,261.18
1990-08-01,274.339
1990-09-01,262.072
1990-10-01,314.04
1990-11-01,349.504
1990-12-01,451.656
1991-01-01,316.048
1991-02-01,288.168
1991-03-01,312.256
1991-04-01,294.859
1991-05-01,283.93
1991-06-01,274.562
1991-07-01,269.878
1991-08-01,277.239
1991-09-01,309.356
1991-10-01,340.136
1991-11-01,355.303
1991-12-01,474.629
1992-01-01,318.501
1992-02-01,286.16
1992-03-01,310.249
1992-04-01,310.249
1992-05-01,304.45
1992-06-01,295.528
1992-07-01,297.981
1992-08-01,318.055
1992-09-01,331.884
1992-10-01,347.05
1992-11-01,335.898
1992-12-01,432.475
1993-01-01,312.479
1993-02-01,282.815
1993-03-01,306.457
1993-04-01,294.413
1993-05-01,276.57
1993-06-01,276.347
1993-07-01,293.521
1993-08-01,306.011
1993-09-01,346.381
1993-10-01,393.666
1993-11-01,416.639
1993-12-01,509.2
1994-01-01,372.923
1994-02-01,338.575
1994-03-01,337.906
1994-04-01,341.028
1994-05-01,323.408
1994-06-01,363.778
1994-07-01,280.807
1994-08-01,310.695
1994-09-01,330.545
1994-10-01,347.273
1994-11-01,376.492
1994-12-01,500.056
1995-01-01,362.217
1995-02-01,314.709
1995-03-01,345.712
1995-04-01,331.437
1995-05-01,335.675
1995-06-01,339.467
1995-07-01,343.482
1995-08-01,374.038
1995-09-01,384.521
1995-10-01,465.484
1995-11-01,454.556
1995-12-01,570.313
1996-01-01,450.987
1996-02-01,396.565
1996-03-01,432.475
1996-04-01,422.438
1996-05-01,405.71
1996-06-01,397.011
1996-07-01,363.109
1996-08-01,405.264
1996-09-01,405.264
1996-10-01,433.367
1996-11-01,457.009
1996-12-01,534.85
1997-01-01,428.46
1997-02-01,382.514
1997-03-01,423.107
1997-04-01,390.32
1997-05-01,400.134
1997-06-01,370.469
1997-07-01,403.702
1997-08-01,430.244
1997-09-01,448.31
1997-10-01,500.502
1997-11-01,522.36
1997-12-01,613.806
1998-01-01,493.588
1998-02-01,444.296
1998-03-01,478.867
1998-04-01,449.203
1998-05-01,440.504
1998-06-01,426.452
1998-07-01,442.511
