ds,y
1982-10-01,501.065
1982-11-01,503.309
1982-12-01,506.037
1983-01-01,505.795
1983-02-01,506.521
1983-03-01,508.247
1983-04-01,507.349
1983-05-01,508.316
1983-06-01,509.939
1983-07-01,505.864
1983-08-01,506.175
1983-09-01,505.83
1983-10-01,505.795
1983-11-01,506.797
1983-12-01,509.801
1984-01-01,510.422
1984-02-01,512.563
1984-03-01,514.186
1984-04-01,514.946
1984-05-01,515.153
1984-06-01,518.054
1984-07-01,513.945
1984-08-01,515.706
1984-09-01,516.811
1984-10-01,518.71
1984-11-01,522.577
1984-12-01,525.132
1985-01-01,525.788
1985-02-01,527.066
1985-03-01,527.826
1985-04-01,527.239
1985-05-01,527.239
1985-06-01,528.654
1985-07-01,522.128
1985-08-01,520.54
1985-09-01,519.124
1985-10-01,517.052
1985-11-01,515.671
1985-12-01,515.533
1986-01-01,511.873
1986-02-01,512.529
1986-03-01,511.666
1986-04-01,509.559
1986-05-01,509.352
1986-06-01,509.697
1986-07-01,506.9
1986-08-01,503.206
1986-09-01,502.481
1986-10-01,501.445
1986-11-01,501.652
1986-12-01,503.689
1987-01-01,502.239
1987-02-01,502.101
1987-03-01,502.757
1987-04-01,502.929
1987-05-01,503.275
1987-06-01,507.039
1987-07-01,505.657
1987-08-01,503.206
1987-09-01,501.445
1987-10-01,501.065
1987-11-01,502.101
1987-12-01,503.206
1988-01-01,501.997
1988-02-01,498.199
1988-03-01,492.812
1988-04-01,487.495
1988-05-01,482.902
1988-06-01,478.966
1988-07-01,469.712
1988-08-01,465.016
1988-09-01,458.731
1988-10-01,453.206
1988-11-01,446.542
1988-12-01,443.469
1989-01-01,439.291
1989-02-01,435.838
1989-03-01,433.317
1989-04-01,431.211
1989-05-01,429.898
1989-06-01,429.242
1989-07-01,423.925
1989-08-01,421.162
1989-09-01,417.882
1989-10-01,415.465
1989-11-01,413.531
1989-12-01,413.255
1990-01-01,409.388
1990-02-01,407.558
1990-03-01,405.175
1990-04-01,401.757
1990-05-01,399.892
1990-06-01,398.822
1990-07-01,393.538
1990-08-01,391.777
1990-09-01,390.672
1990-10-01,389.291
1990-11-01,392.019
1990-12-01,391.985
1991-01-01,389.671
1991-02-01,390.672
1991-03-01,392.123
1991-04-01,394.436
1991-05-01,395.161
1991-06-01,398.096
1991-07-01,397.06
1991-08-01,397.855
1991-09-01,396.819
1991-10-01,396.335
1991-11-01,397.889
1991-12-01,399.063
1992-01-01,397.647
1992-02-01,398.269
1992-03-01,400.375
1992-04-01,401.584
1992-05-01,402.758
1992-06-01,404.45
1992-07-01,403.518
1992-08-01,402.171
1992-09-01,402.378
1992-10-01,406.038
1992-11-01,403.621
1992-12-01,406.625
1993-01-01,403.345
1993-02-01,405.658
1993-03-01,407.109
1993-04-01,407.661
1993-05-01,408.248
1993-06-01,410.355
1993-07-01,411.218
1993-08-01,410.182
1993-09-01,409.284
1993-10-01,409.975
1993-11-01,409.595
1993-12-01,409.906
1994-01-01,408.87
1994-02-01,409.629
1994-03-01,409.802
1994-04-01,408.904
1994-05-01,409.768
1994-06-01,412.841
1994-07-01,412.979
1994-08-01,409.733
1994-09-01,408.076
1994-10-01,409.042
1994-11-01,408.973
1994-12-01,410.424
1995-01-01,410.182
1995-02-01,409.837
1995-03-01,411.874
1995-04-01,411.287
1995-05-01,412.219
1995-06-01,413.946
1995-07-01,415.051
1995-08-01,412.254
1995-09-01,409.422
1995-10-01,408.283
1995-11-01,404.553
1995-12-01,401.929
1996-01-01,389.844
1996-02-01,380.659
1996-03-01,371.094
1996-04-01,361.356
1996-05-01,354.416
1996-06-01,350.79
1996-07-01,346.785
1996-08-01,345.507
1996-09-01,342.848
1996-10-01,341.191
1996-11-01,339.257
1996-12-01,338.532
1997-01-01,335.528
1997-02-01,336.253
1997-03-01,337.669
1997-04-01,339.326
1997-05-01,341.26
1997-06-01,345.127
1997-07-01,346.301
1997-08-01,346.405
1997-09-01,346.405
1997-10-01,348.995
1997-11-01,351.343
1997-12-01,352.689
1998-01-01,354.002
1998-02-01,356.626
1998-03-01,358.111
1998-04-01,359.941
1998-05-01,361.771
1998-06-01,366.225
1998-07-01,367.054
1998-08-01,368.366
1998-09-01,367.848
1998-10-01,369.816
1998-11-01,370.852
1998-12-01,374.236
1999-01-01,374.133
1999-02-01,375.686
1999-03-01,377.655
1999-04-01,378.414
1999-05-01,380.141
1999-06-01,383.49
1999-07-01,381.971
1999-08-01,381.695
1999-09-01,379.381
1999-10-01,379.105
1999-11-01,378.863
1999-12-01,381.073
2000-01-01,380.141
2000-02-01,379.865
2000-03-01,381.556
2000-04-01,381.522
2000-05-01,380.762
2000-06-01,381.453
2000-07-01,382.247
2000-08-01,381.487
2000-09-01,381.453
2000-10-01,381.798
2000-11-01,381.971
2000-12-01,382.454
2001-01-01,382.592
2001-02-01,383.87
2001-03-01,385.389
2001-04-01,386.771
2001-05-01,388.29
2001-06-01,391.398
2001-07-01,391.95
2001-08-01,392.123
2001-09-01,390.224
2001-10-01,392.192
2001-11-01,392.433
2001-12-01,393.746
2002-01-01,392.675
2002-02-01,392.192
2002-03-01,391.57
2002-04-01,388.946
2002-05-01,388.497
2002-06-01,390.327
2002-07-01,388.083
2002-08-01,385.976
2002-09-01,383.421
2002-10-01,381.729
2002-11-01,380.693
2002-12-01,380.141
2003-01-01,378.242
2003-02-01,377.137
2003-03-01,375.272
2003-04-01,373.546
2003-05-01,369.816
2003-06-01,372.855
2003-07-01,372.026
2003-08-01,370.749
2003-09-01,368.642
2003-10-01,367.192
2003-11-01,366.881
2003-12-01,368.366
2004-01-01,367.71
2004-02-01,369.816
2004-03-01,368.608
2004-04-01,369.091
2004-05-01,370.507
2004-06-01,374.478
2004-07-01,374.892
2004-08-01,375.134
2004-09-01,373.58
