ds,y
2005-10-01,893.19
2005-11-01,896.364
2005-12-01,896.278
2006-01-01,895.677
2006-02-01,907.084
2006-03-01,913.773
2006-04-01,916.774
2006-05-01,918.404
2006-06-01,927.323
2006-07-01,931.868
2006-08-01,935.384
2006-09-01,933.155
2006-10-01,937.614
2006-11-01,939.244
2006-12-01,946.362
2007-01-01,942.502
2007-02-01,954.252
2007-03-01,965.829
2007-04-01,969.002
2007-05-01,972.004
2007-06-01,979.208
2007-07-01,982.81
2007-08-01,984.01
2007-09-01,981.609
2007-10-01,983.924
2007-11-01,984.611
2007-12-01,985.983
2008-01-01,980.237
2008-02-01,990.099
2008-03-01,997.475
2008-04-01,1001.162
2008-05-01,1005.021
2008-06-01,1006.737
2008-07-01,1010.767
2008-08-01,1007.852
2008-09-01,1007.08
2008-10-01,1008.795
2008-11-01,1009.052
2008-12-01,1009.652
2009-01-01,1003.907
2009-02-01,1005.793
2009-03-01,1011.196
2009-04-01,1011.882
2009-05-01,1017.714
2009-06-01,1025.261
2009-07-01,1027.748
2009-08-01,1028.434
2009-09-01,1025.775
2009-10-01,1026.547
2009-11-01,1027.576
2009-12-01,1026.89
2010-01-01,1024.918
2010-02-01,1033.065
2010-03-01,1037.439
2010-04-01,1044.471
2010-05-01,1049.016
2010-06-01,1053.733
2010-07-01,1053.905
2010-08-01,1052.961
2010-09-01,1050.732
2010-10-01,1057.507
2010-11-01,1059.05
2010-12-01,1058.879
2011-01-01,1053.819
2011-02-01,1061.023
2011-03-01,1064.539
2011-04-01,1064.71
2011-05-01,1063.424
2011-06-01,1065.568
2011-07-01,1066.168
2011-08-01,1066.683
2011-09-01,1065.74
2011-10-01,1069.684
2011-11-01,1065.74
2011-12-01,1069.256
2012-01-01,1072.257
2012-02-01,1073.801
2012-03-01,1080.49
2012-04-01,1083.578
2012-05-01,1085.036
2012-06-01,1083.835
2012-07-01,1084.178
2012-08-01,1078.689
2012-09-01,1075.002
2012-10-01,1072.257
2012-11-01,1072.686
2012-12-01,1069.17
2013-01-01,1067.54
2013-02-01,1071.314
2013-03-01,1067.712
2013-04-01,1073.029
2013-05-01,1070.456
2013-06-01,1078.089
2013-07-01,1073.544
2013-08-01,1070.113
2013-09-01,1066.083
2013-10-01,1065.053
2013-11-01,1068.827
2013-12-01,1059.908
2014-01-01,1050.989
2014-02-01,1054.162
2014-03-01,1057.764
2014-04-01,1061.108
2014-05-01,1058.536
2014-06-01,1067.197
2014-07-01,1065.482
2014-08-01,1066.083
2014-09-01,1060.937
2014-10-01,1056.392
2014-11-01,1051.675
2014-12-01,1044.471
2015-01-01,1043.099
2015-02-01,1043.356
2015-03-01,1056.563
2015-04-01,1057.078
2015-05-01,1058.021
2015-06-01,1060.165
2015-07-01,1060.765
2015-08-01,1055.706
2015-09-01,1053.819
2015-10-01,1054.676
2015-11-01,1052.189
2015-12-01,1050.732
2016-01-01,1047.816
2016-02-01,1055.534
2016-03-01,1062.481
2016-04-01,1064.367
2016-05-01,1064.625
2016-06-01,1072.429
2016-07-01,1072.943
2016-08-01,1063.51
2016-09-01,1054.934
2016-10-01,1050.732
2016-11-01,1050.732
2016-12-01,1059.479
2017-01-01,1053.219
2017-02-01,1059.565
2017-03-01,1068.398
2017-04-01,1074.659
2017-05-01,1078.775
2017-06-01,1083.149
2017-07-01,1073.972
2017-08-01,1075.688
2017-09-01,1073.115
2017-10-01,1071.828
2017-11-01,1068.312
2017-12-01,1067.884
2018-01-01,1056.82
2018-02-01,1064.196
2018-03-01,1077.746
2018-04-01,1081.948
2018-05-01,1086.836
2018-06-01,1091.553
2018-07-01,1078.947
2018-08-01,1080.662
2018-09-01,1079.204
2018-10-01,1072.515
2018-11-01,1066.597
2018-12-01,1061.623
2019-01-01,1051.932
2019-02-01,1058.964
2019-03-01,1065.568
2019-04-01,1071.314
2019-05-01,1068.827
2019-06-01,1070.714
2019-07-01,1062.052
2019-08-01,1050.388
2019-09-01,1050.646
2019-10-01,1043.699
2019-11-01,1024.489
2019-12-01,1008.452
2020-01-01,999.619
2020-02-01,996.188
2020-03-01,994.473
2020-04-01,996.445
2020-05-01,993.873
2020-06-01,994.816
2020-07-01,989.756
2020-08-01,986.154
2020-09-01,979.465
2020-10-01,975.348
2020-11-01,969.088
2020-12-01,963.857
2021-01-01,955.109
2021-02-01,955.624
2021-03-01,967.201
2021-04-01,978.007
2021-05-01,985.211
2021-06-01,982.81
2021-07-01,983.153
2021-08-01,985.468
2021-09-01,983.067
2021-10-01,986.068
2021-11-01,981.094
2021-12-01,977.149
2022-01-01,973.633
2022-02-01,982.038
2022-03-01,991.471
2022-04-01,997.903
2022-05-01,1005.793
2022-06-01,1012.14
2022-07-01,1008.452
2022-08-01,1009.996
2022-09-01,1010.682
2022-10-01,1013.169
2022-11-01,1012.225
2022-12-01,1010.081
2023-01-01,1005.622
2023-02-01,1008.109
2023-03-01,1015.141
2023-04-01,1020.029
2023-05-01,1025.69
2023-06-01,1031.007
2023-07-01,1032.036
2023-08-01,1028.52
2023-09-01,1030.406
2023-10-01,1032.636
2023-11-01,1029.549
2023-12-01,1028.691
2024-01-01,1024.232
2024-02-01,1029.377
2024-03-01,1033.665
2024-04-01,1041.298
2024-05-01,1048.931
2024-06-01,1047.473
2024-07-01,1047.301
2024-08-01,1049.445
2024-09-01,1053.905
2024-10-01,1052.189
2024-11-01,1044.643
2024-12-01,1047.473
2025-01-01,1039.926
2025-02-01,1044.3
2025-03-01,1056.82
2025-04-01,1067.626
2025-05-01,1074.744
2025-06-01,1071.657
2025-07-01,1068.57
2025-08-01,1074.659
2025-09-01,1072.943
2025-10-01,1071.828
2025-11-01,1070.285
2025-12-01,1069.684
2026-01-01,1070.885
2026-02-01,1081.262
2026-03-01,1086.922
2026-04-01,1092.497
2026-05-01,1101.501
2026-06-01,1103.731
2026-07-01,1102.874
2026-08-01,1100.73
2026-09-01,1096.27
2026-10-01,1104.932
2026-11-01,1100.301
2026-12-01,1102.102
2027-01-01,1091.553
2027-02-01,1105.361
2027-03-01,1107.848
2027-04-01,1111.364
2027-05-01,1112.993
2027-06-01,1119.768
2027-07-01,1114.108
2027-08-01,1110.592
2027-09-01,1109.906
