ds,y
2004-01-01,59.25
2004-02-01,55.056
2004-03-01,57.153
2004-04-01,56.629
2004-05-01,60.474
2004-06-01,50.686
2004-07-01,54.357
2004-08-01,55.93
2004-09-01,61.523
2004-10-01,77.952
2004-11-01,77.602
2004-12-01,97.877
2005-01-01,60.124
2005-02-01,54.531
2005-03-01,58.377
2005-04-01,58.726
2005-05-01,55.755
2005-06-01,49.987
2005-07-01,52.609
2005-08-01,51.735
2005-09-01,61.173
2005-10-01,70.436
2005-11-01,72.009
2005-12-01,110.461
2006-01-01,57.852
2006-02-01,51.385
2006-03-01,58.551
2006-04-01,59.425
2006-05-01,57.153
2006-06-01,60.823
2006-07-01,64.144
2006-08-01,63.969
2006-09-01,64.843
2006-10-01,72.184
2006-11-01,85.293
2006-12-01,119.724
2007-01-01,56.804
2007-02-01,57.503
2007-03-01,69.912
2007-04-01,68.164
2007-05-01,71.135
2007-06-01,74.806
2007-07-01,78.476
2007-08-01,81.797
2007-09-01,79.175
2007-10-01,77.952
2007-11-01,89.138
2007-12-01,155.379
2008-01-01,80.224
2008-02-01,71.835
2008-03-01,81.273
2008-04-01,82.321
2008-05-01,90.186
2008-06-01,95.779
2008-07-01,92.284
2008-08-01,91.585
2008-09-01,91.41
2008-10-01,92.109
2008-11-01,97.003
2008-12-01,173.032
2009-01-01,97.352
2009-02-01,87.39
2009-03-01,95.43
2009-04-01,95.779
2009-05-01,98.751
2009-06-01,96.828
2009-07-01,95.954
2009-08-01,99.799
2009-09-01,97.702
2009-10-01,120.773
2009-11-01,131.784
2009-12-01,206.765
2010-01-01,99.1
2010-02-01,97.352
2010-03-01,107.14
2010-04-01,108.189
2010-05-01,112.384
2010-06-01,110.811
2010-07-01,117.627
2010-08-01,119.025
2010-09-01,125.842
2010-10-01,138.95
2010-11-01,149.961
2010-12-01,224.592
2011-01-01,119.2
2011-02-01,105.392
2011-03-01,108.888
2011-04-01,117.277
2011-05-01,113.782
2011-06-01,116.229
2011-07-01,125.317
2011-08-01,135.979
2011-09-01,149.786
2011-10-01,142.62
2011-11-01,155.379
2011-12-01,243.643
2012-01-01,134.755
2012-02-01,117.976
2012-03-01,130.211
2012-04-01,128.988
2012-05-01,122.87
2012-06-01,131.435
2012-07-01,122.346
2012-08-01,132.833
2012-09-01,149.262
2012-10-01,152.059
