ds,y
1990-01-01,70.546
1990-04-01,61.028
1990-07-01,90.811
1990-10-01,54.122
1991-01-01,103.435
1991-04-01,80.427
1991-07-01,106.951
1991-10-01,75.069
1992-01-01,88.998
1992-04-01,75.288
1992-07-01,81.32
1992-10-01,79.742
1993-01-01,76.889
1993-04-01,69.783
1993-07-01,101.59
1993-10-01,88.202
1994-01-01,80.716
1994-04-01,89.002
1994-07-01,105.959
1994-10-01,39.546
1995-01-01,95.539
1995-04-01,99.512
1995-07-01,93.185
1995-10-01,55.628
1996-01-01,81.858
1996-04-01,133.533
1996-07-01,89.786
1996-10-01,50.306
1997-01-01,49.868
1997-04-01,86.14
1997-07-01,82.828
1997-10-01,33.894
1998-01-01,45.501
1998-04-01,89.519
1998-07-01,101.706
1998-10-01,56.046
1999-01-01,70.624
1999-04-01,47.591
1999-07-01,73.079
1999-10-01,26.869
2000-01-01,51.563
2000-04-01,70.284
2000-07-01,66.192
2000-10-01,41.121
2001-01-01,37.244
2001-04-01,59.809
2001-07-01,76.599
2001-10-01,71.573
2002-01-01,51.746
2002-04-01,81.734
2002-07-01,116.697
2002-10-01,81.863
2003-01-01,31.149
2003-04-01,90.131
2003-07-01,102.329
2003-10-01,68.508
2004-01-01,41.857
2004-04-01,76.546
2004-07-01,92.019
2004-10-01,96.146
2005-01-01,89.826
2005-04-01,74.177
2005-07-01,70.922
2005-10-01,60.003
2006-01-01,95.084
2006-04-01,71.361
