ds,y
2007-01-01,34.727
2007-04-01,33.71
2007-07-01,84.63
2007-10-01,22.244
2008-01-01,24.484
2008-04-01,29.307
2008-07-01,67.193
2008-10-01,16.675
2009-01-01,33.46
2009-04-01,30.43
2009-07-01,70.532
2009-10-01,13.613
2010-01-01,17.84
2010-04-01,30.626
2010-07-01,78.136
2010-10-01,15.631
2011-01-01,31.795
2011-04-01,18.403
2011-07-01,88.53
2011-10-01,26.844
2012-01-01,35.242
2012-04-01,19.844
2012-07-01,72.597
2012-10-01,18.347
2013-01-01,26.561
2013-04-01,22.525
2013-07-01,56.719
2013-10-01,14.014
2014-01-01,27.741
2014-04-01,28.09
2014-07-01,63.973
2014-10-01,17.511
2015-01-01,29.053
2015-04-01,20.101
2015-07-01,69.027
2015-10-01,11.459
2016-01-01,26.748
2016-04-01,22.393
2016-07-01,76.723
2016-10-01,9.858
2017-01-01,29.113
2017-04-01,18.438
2017-07-01,76.58
2017-10-01,18.693
2018-01-01,36.245
2018-04-01,15.21
2018-07-01,83.382
2018-10-01,26.489
2019-01-01,29.094
2019-04-01,22.229
2019-07-01,71.65
2019-10-01,24.633
2020-01-01,31.703
2020-04-01,29.023
2020-07-01,75.753
2020-10-01,15.726
2021-01-01,24.518
2021-04-01,27.108
