ds,y
1999-10-01,12795.469
1999-11-01,12735.241
1999-12-01,12712.477
2000-01-01,12714.849
2000-02-01,12745.674
2000-03-01,12755.159
2000-04-01,12762.273
2000-05-01,12815.388
2000-06-01,12964.773
2000-07-01,13000.815
2000-08-01,12931.102
2000-09-01,12781.242
2000-10-01,12679.755
2000-11-01,12631.857
2000-12-01,12591.546
2001-01-01,12598.66
2001-02-01,12620.949
2001-03-01,12635.651
2001-04-01,12657.94
2001-05-01,12696.828
2001-06-01,12836.254
2001-07-01,12953.866
2001-08-01,12875.142
2001-09-01,12717.694
2001-10-01,12645.135
2001-11-01,12602.454
2001-12-01,12555.504
2002-01-01,12581.587
2002-02-01,12600.557
2002-03-01,12624.269
2002-04-01,12675.961
2002-05-01,12741.88
2002-06-01,12880.833
2002-07-01,13030.692
2002-08-01,12948.175
2002-09-01,12840.996
2002-10-01,12746.623
2002-11-01,12713.9
2002-12-01,12708.684
2003-01-01,12739.035
2003-02-01,12774.603
2003-03-01,12799.738
2003-04-01,12837.203
2003-05-01,12898.38
2003-06-01,13076.694
2003-07-01,13157.315
2003-08-01,13084.756
2003-09-01,13009.352
2003-10-01,12957.66
2003-11-01,12897.905
2003-12-01,12876.564
2004-01-01,12869.451
2004-02-01,12905.019
2004-03-01,12937.741
2004-04-01,12981.372
2004-05-01,13043.497
2004-06-01,13185.295
2004-07-01,13256.905
2004-08-01,13261.647
2004-09-01,13173.913
2004-10-01,13095.663
2004-11-01,13064.838
2004-12-01,13056.776
2005-01-01,13058.198
2005-02-01,13119.375
2005-03-01,13181.501
2005-04-01,13179.604
2005-05-01,13229.399
2005-06-01,13379.259
2005-07-01,13390.166
2005-08-01,13378.31
2005-09-01,13273.503
2005-10-01,13250.266
2005-11-01,13219.44
2005-12-01,13220.863
2006-01-01,13171.542
2006-02-01,13178.181
2006-03-01,13200.945
2006-04-01,13220.388
2006-05-01,13248.843
2006-06-01,13347.485
2006-07-01,13323.773
2006-08-01,13320.927
2006-09-01,13202.367
2006-10-01,13152.098
2006-11-01,13107.994
2006-12-01,13092.344
2007-01-01,13071.003
2007-02-01,13060.095
2007-03-01,13083.333
2007-04-01,13071.477
2007-05-01,13094.241
2007-06-01,13142.139
2007-07-01,13094.241
2007-08-01,13068.157
2007-09-01,12972.361
2007-10-01,12923.988
2007-11-01,12896.483
2007-12-01,12882.255
2008-01-01,12876.564
2008-02-01,12878.461
2008-03-01,12921.617
2008-04-01,12945.804
2008-05-01,12998.918
2008-06-01,13112.262
2008-07-01,13170.119
2008-08-01,13149.252
2008-09-01,13040.177
2008-10-01,13025.002
2008-11-01,13023.579
2008-12-01,13012.671
2009-01-01,13025.476
2009-02-01,13054.879
2009-03-01,13090.921
2009-04-01,13126.963
2009-05-01,13154.943
2009-06-01,13255.482
2009-07-01,13292.947
2009-08-01,13260.699
2009-09-01,13142.139
2009-10-01,13116.53
2009-11-01,13107.994
2009-12-01,13097.086
2010-01-01,13083.333
2010-02-01,13104.2
2010-03-01,13140.716
2010-04-01,13152.572
2010-05-01,13199.996
2010-06-01,13280.143
2010-07-01,13312.391
2010-08-01,13328.989
2010-09-01,13210.429
2010-10-01,13188.614
2010-11-01,13164.902
2010-12-01,13153.995
2011-01-01,13181.027
2011-02-01,13225.131
2011-03-01,13243.626
2011-04-01,13255.482
2011-05-01,13311.917
2011-06-01,13399.177
2011-07-01,13437.59
2011-08-01,13431.425
2011-09-01,13285.834
2011-10-01,13276.823
2011-11-01,13277.297
2011-12-01,13265.441
2012-01-01,13291.999
2012-02-01,13317.608
2012-03-01,13326.618
2012-04-01,13355.547
2012-05-01,13410.084
2012-06-01,13508.252
2012-07-01,13509.201
2012-08-01,13542.397
2012-09-01,13358.392
2012-10-01,13344.639
2012-11-01,13340.845
2012-12-01,13320.453
2013-01-01,13317.608
2013-02-01,13320.927
2013-03-01,13321.402
2013-04-01,13339.897
2013-05-01,13379.733
2013-06-01,13439.487
2013-07-01,13411.507
2013-08-01,13415.301
2013-09-01,13301.484
2013-10-01,13233.667
2013-11-01,13190.511
2013-12-01,13173.913
2014-01-01,13139.768
2014-02-01,13130.757
2014-03-01,13153.046
2014-04-01,13140.242
2014-05-01,13144.984
2014-06-01,13218.966
2014-07-01,13187.192
2014-08-01,13161.108
2014-09-01,13044.445
2014-10-01,13012.671
2014-11-01,12994.176
2014-12-01,12971.887
2015-01-01,12928.731
2015-02-01,12879.884
2015-03-01,12859.492
2015-04-01,12872.296
2015-05-01,12891.74
2015-06-01,12940.113
2015-07-01,12792.15
2015-08-01,12841.471
2015-09-01,12788.83
2015-10-01,12690.188
2015-11-01,12681.652
2015-12-01,12696.353
2016-01-01,12641.816
2016-02-01,12630.908
2016-03-01,12647.507
2016-04-01,12675.487
2016-05-01,12693.508
2016-06-01,12766.067
2016-07-01,12719.117
2016-08-01,12702.518
2016-09-01,12610.042
2016-10-01,12555.978
2016-11-01,12544.122
2016-12-01,12555.504
2017-01-01,12586.33
2017-02-01,12554.556
2017-03-01,12565.463
2017-04-01,12572.577
2017-05-01,12612.413
2017-06-01,12666.95
2017-07-01,12648.929
2017-08-01,12645.61
2017-09-01,12549.339
2017-10-01,12536.06
2017-11-01,12526.101
2017-12-01,12503.812
2018-01-01,12518.988
2018-02-01,12531.792
2018-03-01,12544.122
2018-04-01,12578.268
2018-05-01,12645.135
2018-06-01,12716.271
2018-07-01,12714.374
2018-08-01,12694.931
2018-09-01,12612.413
2018-10-01,12619.526
2018-11-01,12606.722
2018-12-01,12621.423
2019-01-01,12610.99
2019-02-01,12620.475
2019-03-01,12652.249
2019-04-01,12673.116
2019-05-01,12726.705
2019-06-01,12786.459
2019-07-01,12772.232
2019-08-01,12747.571
2019-09-01,12687.343
2019-10-01,12679.755
2019-11-01,12661.734
2019-12-01,12647.507
2020-01-01,12624.269
2020-02-01,12629.011
2020-03-01,12679.281
2020-04-01,12703.467
2020-05-01,12726.23
2020-06-01,12805.428
2020-07-01,12793.098
2020-08-01,12788.356
2020-09-01,12732.396
2020-10-01,12699.199
2020-11-01,12702.518
2020-12-01,12685.92
2021-01-01,12681.178
2021-02-01,12696.353
2021-03-01,12728.127
2021-04-01,12738.086
2021-05-01,12727.653
2021-06-01,12824.398
2021-07-01,12814.913
2021-08-01,12812.068
2021-09-01,12740.932
