ds,y
1999-10-01,159.76
1999-11-01,159.871
1999-12-01,159.128
2000-01-01,156.946
2000-02-01,157.183
2000-03-01,158.448
2000-04-01,160.139
2000-05-01,161.673
2000-06-01,164.598
2000-07-01,164.661
2000-08-01,165.262
2000-09-01,164.139
2000-10-01,164.171
2000-11-01,164.218
2000-12-01,163.317
2001-01-01,162.037
2001-02-01,162.669
2001-03-01,164.108
2001-04-01,165.752
2001-05-01,167.301
2001-06-01,170.274
2001-07-01,171.175
2001-08-01,171.886
2001-09-01,170.369
2001-10-01,171.096
2001-11-01,170.859
2001-12-01,170.969
2002-01-01,169.815
2002-02-01,169.689
2002-03-01,171.27
2002-04-01,173.23
2002-05-01,175.38
2002-06-01,179.538
2002-07-01,180.25
2002-08-01,180.819
2002-09-01,178.89
2002-10-01,179.064
2002-11-01,179.238
2002-12-01,178.874
2003-01-01,177.641
2003-02-01,178.036
2003-03-01,179.491
2003-04-01,181.72
2003-05-01,183.728
2003-06-01,187.428
2003-07-01,188.945
2003-08-01,189.056
2003-09-01,186.858
2003-10-01,187.918
2003-11-01,188.313
2003-12-01,188.155
2004-01-01,187.902
2004-02-01,188.597
2004-03-01,190.02
2004-04-01,192.012
2004-05-01,194.479
2004-06-01,199.412
2004-07-01,200.344
2004-08-01,200.803
2004-09-01,198.842
2004-10-01,199.269
2004-11-01,198.937
2004-12-01,199.0
2005-01-01,198.131
2005-02-01,198.621
2005-03-01,199.412
2005-04-01,200.676
2005-05-01,202.368
2005-06-01,205.83
2005-07-01,206.447
2005-08-01,206.02
2005-09-01,202.494
2005-10-01,201.657
2005-11-01,199.933
2005-12-01,197.894
2006-01-01,195.617
2006-02-01,194.447
2006-03-01,195.08
2006-04-01,195.918
2006-05-01,197.767
2006-06-01,199.854
2006-07-01,200.297
2006-08-01,200.139
2006-09-01,197.119
2006-10-01,197.309
2006-11-01,196.502
2006-12-01,195.127
2007-01-01,191.048
2007-02-01,191.427
2007-03-01,191.728
2007-04-01,192.55
2007-05-01,193.846
2007-06-01,195.491
2007-07-01,196.945
2007-08-01,196.265
2007-09-01,195.159
2007-10-01,195.269
2007-11-01,194.921
2007-12-01,194.289
2008-01-01,191.965
2008-02-01,191.854
2008-03-01,193.831
2008-04-01,196.329
2008-05-01,198.4
2008-06-01,201.593
2008-07-01,202.684
2008-08-01,202.747
2008-09-01,200.803
2008-10-01,202.89
2008-11-01,202.811
2008-12-01,202.415
2009-01-01,198.811
2009-02-01,199.253
2009-03-01,200.629
2009-04-01,202.921
2009-05-01,204.961
2009-06-01,209.53
2009-07-01,210.921
2009-08-01,211.822
2009-09-01,211.206
2009-10-01,212.502
2009-11-01,213.656
2009-12-01,212.281
2010-01-01,209.909
2010-02-01,210.921
2010-03-01,213.324
2010-04-01,215.332
2010-05-01,218.162
2010-06-01,222.257
2010-07-01,224.47
2010-08-01,224.913
2010-09-01,222.684
2010-10-01,223.174
2010-11-01,223.206
2010-12-01,222.289
2011-01-01,220.613
2011-02-01,220.929
2011-03-01,221.941
2011-04-01,223.142
2011-05-01,225.767
2011-06-01,229.53
2011-07-01,230.557
2011-08-01,229.988
2011-09-01,228.391
2011-10-01,229.798
2011-11-01,229.261
2011-12-01,228.929
2012-01-01,226.194
2012-02-01,226.289
2012-03-01,226.304
2012-04-01,227.253
2012-05-01,228.676
2012-06-01,231.427
2012-07-01,232.454
2012-08-01,231.332
2012-09-01,227.68
2012-10-01,227.395
2012-11-01,225.261
2012-12-01,222.083
2013-01-01,217.799
2013-02-01,214.463
2013-03-01,211.807
2013-04-01,210.811
2013-05-01,209.799
2013-06-01,210.099
2013-07-01,208.961
2013-08-01,208.234
2013-09-01,206.747
2013-10-01,206.463
2013-11-01,205.214
2013-12-01,204.392
2014-01-01,200.36
2014-02-01,199.459
2014-03-01,199.459
2014-04-01,200.629
2014-05-01,201.309
2014-06-01,203.079
2014-07-01,203.949
2014-08-01,204.234
2014-09-01,201.657
2014-10-01,202.542
2014-11-01,202.305
2014-12-01,202.257
2015-01-01,199.143
