ds,y
1994-01-01,321.358
1994-04-01,278.288
1994-07-01,211.556
1994-10-01,447.725
1995-01-01,255.852
1995-04-01,333.089
1995-07-01,346.464
1995-10-01,520.345
1996-01-01,310.962
1996-04-01,377.945
1996-07-01,263.778
1996-10-01,516.943
1997-01-01,516.078
1997-04-01,288.002
1997-07-01,320.06
1997-10-01,473.53
1998-01-01,378.339
1998-04-01,307.487
1998-07-01,418.641
1998-10-01,554.34
1999-01-01,407.288
1999-04-01,464.745
1999-07-01,296.328
1999-10-01,275.557
2000-01-01,398.703
2000-04-01,428.669
2000-07-01,272.024
2000-10-01,350.964
2001-01-01,401.283
2001-04-01,374.18
2001-07-01,267.27
2001-10-01,429.464
2002-01-01,260.824
2002-04-01,258.59
2002-07-01,330.237
2002-10-01,412.47
2003-01-01,233.067
2003-04-01,237.127
2003-07-01,257.621
2003-10-01,377.944
2004-01-01,450.979
2004-04-01,257.25
2004-07-01,413.862
2004-10-01,411.135
2005-01-01,292.016
2005-04-01,313.01
2005-07-01,283.765
2005-10-01,381.348
2006-01-01,295.493
2006-04-01,307.035
2006-07-01,270.507
2006-10-01,342.031
2007-01-01,433.814
2007-04-01,414.613
2007-07-01,265.346
2007-10-01,459.4
2008-01-01,336.907
2008-04-01,250.528
2008-07-01,322.419
2008-10-01,457.102
2009-01-01,353.957
2009-04-01,396.309
2009-07-01,308.897
2009-10-01,460.829
