ds,y
2013-01-01,32.024
2013-04-01,17.804
2013-07-01,14.604
2013-10-01,17.707
2014-01-01,27.115
2014-04-01,17.44
2014-07-01,12.365
2014-10-01,13.551
2015-01-01,24.982
2015-04-01,18.262
2015-07-01,8.332
2015-10-01,18.342
2016-01-01,31.25
2016-04-01,18.11
2016-07-01,13.339
2016-10-01,17.908
2017-01-01,24.948
2017-04-01,23.227
2017-07-01,15.454
2017-10-01,16.684
2018-01-01,23.832
2018-04-01,13.581
2018-07-01,7.906
2018-10-01,17.412
2019-01-01,22.195
2019-04-01,20.399
2019-07-01,12.201
2019-10-01,22.008
2020-01-01,25.336
2020-04-01,15.209
2020-07-01,10.873
2020-10-01,19.944
2021-01-01,31.622
2021-04-01,16.107
2021-07-01,12.532
2021-10-01,21.733
2022-01-01,26.877
2022-04-01,15.475
2022-07-01,11.998
2022-10-01,17.065
2023-01-01,23.744
2023-04-01,21.883
2023-07-01,10.374
2023-10-01,21.062
2024-01-01,19.076
2024-04-01,19.88
2024-07-01,9.927
2024-10-01,16.057
2025-01-01,27.951
2025-04-01,15.76
2025-07-01,11.179
2025-10-01,25.779
2026-01-01,29.34
2026-04-01,21.113
2026-07-01,13.052
2026-10-01,12.917
2027-01-01,27.149
2027-04-01,19.199
