ds,y
2012-01-01,1744.776
2012-04-01,2054.477
2012-07-01,2450.581
2012-10-01,2018.719
2013-01-01,2070.043
2013-04-01,1722.523
2013-07-01,2135.346
2013-10-01,1925.989
2014-01-01,1964.094
2014-04-01,1975.06
2014-07-01,1974.651
2014-10-01,1794.774
2015-01-01,1590.363
2015-04-01,1602.426
2015-07-01,2130.036
2015-10-01,1834.637
2016-01-01,1553.013
2016-04-01,1751.752
2016-07-01,1897.275
2016-10-01,1706.181
2017-01-01,1306.442
2017-04-01,1889.278
2017-07-01,1846.873
2017-10-01,1591.084
2018-01-01,1652.771
2018-04-01,1738.715
2018-07-01,2045.415
2018-10-01,1516.769
2019-01-01,1117.718
2019-04-01,1514.35
2019-07-01,1618.523
2019-10-01,1773.019
2020-01-01,1267.442
2020-04-01,1470.604
2020-07-01,1940.762
2020-10-01,1434.817
2021-01-01,1628.782
2021-04-01,2068.128
2021-07-01,2293.802
2021-10-01,1474.154
2022-01-01,1531.09
2022-04-01,1528.054
2022-07-01,1674.48
2022-10-01,2015.018
2023-01-01,1137.755
2023-04-01,2001.568
2023-07-01,1824.038
2023-10-01,2001.659
2024-01-01,1386.411
2024-04-01,1721.213
2024-07-01,2017.31
2024-10-01,2408.721
2025-01-01,1569.433
2025-04-01,2173.803
2025-07-01,1961.226
2025-10-01,2424.648
