ds,y
1990-01-01,146.344
1990-04-01,254.607
1990-07-01,134.973
1990-10-01,187.434
1991-01-01,167.24
1991-04-01,188.625
1991-07-01,115.405
1991-10-01,142.827
1992-01-01,113.571
1992-04-01,159.283
1992-07-01,143.138
1992-10-01,147.171
1993-01-01,116.215
1993-04-01,139.541
1993-07-01,132.052
1993-10-01,115.15
1994-01-01,124.142
1994-04-01,137.037
1994-07-01,157.558
1994-10-01,94.237
1995-01-01,152.366
1995-04-01,135.553
1995-07-01,135.041
1995-10-01,113.389
1996-01-01,148.299
1996-04-01,117.723
1996-07-01,121.991
1996-10-01,103.469
1997-01-01,155.34
1997-04-01,142.987
1997-07-01,144.022
1997-10-01,122.079
1998-01-01,188.24
1998-04-01,127.701
1998-07-01,118.649
1998-10-01,103.092
1999-01-01,305.468
1999-04-01,208.003
1999-07-01,134.94
1999-10-01,135.445
2000-01-01,123.401
2000-04-01,113.248
2000-07-01,164.381
2000-10-01,128.491
2001-01-01,143.912
2001-04-01,110.562
2001-07-01,132.717
2001-10-01,83.942
2002-01-01,220.007
2002-04-01,121.99
2002-07-01,183.94
2002-10-01,128.174
2003-01-01,192.948
2003-04-01,152.629
2003-07-01,196.826
2003-10-01,137.798
2004-01-01,251.965
2004-04-01,145.63
2004-07-01,178.237
2004-10-01,127.883
