ds,y
1997-10-01,18.734
1997-11-01,18.759
1997-12-01,18.172
1998-01-01,17.827
1998-02-01,17.738
1998-03-01,17.852
1998-04-01,18.133
1998-05-01,18.44
1998-06-01,18.631
1998-07-01,18.721
1998-08-01,18.951
1998-09-01,18.785
1998-10-01,18.759
1998-11-01,18.568
1998-12-01,18.274
1999-01-01,17.674
1999-02-01,17.699
1999-03-01,17.852
1999-04-01,17.993
1999-05-01,18.197
1999-06-01,18.312
1999-07-01,18.287
1999-08-01,18.236
1999-09-01,17.993
1999-10-01,17.967
1999-11-01,17.597
1999-12-01,17.291
2000-01-01,17.048
2000-02-01,17.112
2000-03-01,17.24
2000-04-01,17.367
2000-05-01,17.674
2000-06-01,17.929
2000-07-01,17.967
2000-08-01,18.006
2000-09-01,17.814
2000-10-01,17.635
2000-11-01,17.469
2000-12-01,17.061
2001-01-01,16.729
2001-02-01,16.754
2001-03-01,16.895
2001-04-01,17.125
2001-05-01,17.444
2001-06-01,17.61
2001-07-01,17.686
2001-08-01,17.84
2001-09-01,17.738
2001-10-01,17.674
2001-11-01,17.572
2001-12-01,17.265
2002-01-01,16.703
2002-02-01,16.767
2002-03-01,16.984
2002-04-01,17.278
2002-05-01,17.38
2002-06-01,17.686
2002-07-01,17.559
2002-08-01,17.469
2002-09-01,17.342
2002-10-01,17.227
2002-11-01,17.048
2002-12-01,16.729
2003-01-01,16.154
2003-02-01,16.243
2003-03-01,16.269
2003-04-01,16.358
2003-05-01,16.397
2003-06-01,16.563
2003-07-01,16.754
2003-08-01,16.575
2003-09-01,16.384
2003-10-01,16.269
2003-11-01,16.065
2003-12-01,15.822
2004-01-01,15.196
2004-02-01,15.081
2004-03-01,15.669
2004-04-01,15.86
2004-05-01,15.962
2004-06-01,16.218
2004-07-01,16.103
2004-08-01,16.077
2004-09-01,15.924
2004-10-01,15.682
2004-11-01,15.592
2004-12-01,15.375
2005-01-01,15.03
2005-02-01,15.043
2005-03-01,15.094
2005-04-01,15.477
2005-05-01,15.541
2005-06-01,15.745
2005-07-01,15.835
2005-08-01,15.796
2005-09-01,15.682
2005-10-01,15.682
2005-11-01,15.439
2005-12-01,15.158
2006-01-01,15.005
2006-02-01,14.724
2006-03-01,14.8
2006-04-01,15.005
2006-05-01,15.196
2006-06-01,15.311
2006-07-01,15.375
2006-08-01,15.324
2006-09-01,15.286
2006-10-01,15.107
2006-11-01,14.992
2006-12-01,14.8
2007-01-01,14.494
2007-02-01,14.532
2007-03-01,14.609
2007-04-01,14.647
2007-05-01,14.877
2007-06-01,14.928
2007-07-01,14.966
2007-08-01,14.8
2007-09-01,14.596
2007-10-01,14.456
2007-11-01,14.277
2007-12-01,14.034
2008-01-01,14.034
2008-02-01,13.881
2008-03-01,14.021
2008-04-01,14.085
2008-05-01,14.302
2008-06-01,14.596
2008-07-01,14.634
2008-08-01,14.622
2008-09-01,14.468
2008-10-01,14.379
2008-11-01,14.226
2008-12-01,13.932
2009-01-01,13.83
2009-02-01,13.894
2009-03-01,13.97
2009-04-01,14.328
2009-05-01,14.545
2009-06-01,14.711
2009-07-01,14.762
2009-08-01,14.8
2009-09-01,14.545
2009-10-01,14.443
2009-11-01,14.175
2009-12-01,13.804
2010-01-01,13.523
2010-02-01,13.779
2010-03-01,13.945
2010-04-01,14.251
2010-05-01,14.417
2010-06-01,14.8
2010-07-01,15.056
2010-08-01,15.081
2010-09-01,14.928
2010-10-01,14.864
2010-11-01,14.558
2010-12-01,14.328
2011-01-01,14.098
2011-02-01,14.149
2011-03-01,14.302
2011-04-01,14.532
2011-05-01,14.979
2011-06-01,15.056
2011-07-01,14.903
2011-08-01,14.915
2011-09-01,14.915
2011-10-01,14.8
2011-11-01,14.558
2011-12-01,14.277
2012-01-01,14.187
2012-02-01,14.366
2012-03-01,14.494
2012-04-01,14.698
2012-05-01,15.247
2012-06-01,15.464
2012-07-01,15.605
2012-08-01,15.503
2012-09-01,15.426
2012-10-01,15.247
2012-11-01,15.056
2012-12-01,14.673
2013-01-01,14.149
2013-02-01,14.226
2013-03-01,14.379
2013-04-01,14.66
2013-05-01,14.954
2013-06-01,15.209
2013-07-01,15.235
2013-08-01,15.222
2013-09-01,15.12
2013-10-01,14.903
2013-11-01,14.762
2013-12-01,13.907
2014-01-01,13.766
2014-02-01,13.855
2014-03-01,14.021
2014-04-01,14.558
2014-05-01,14.673
2014-06-01,15.043
2014-07-01,15.056
2014-08-01,14.966
2014-09-01,14.813
2014-10-01,15.005
2014-11-01,14.647
2014-12-01,14.124
2015-01-01,13.408
2015-02-01,13.626
2015-03-01,13.881
2015-04-01,14.213
2015-05-01,14.468
2015-06-01,14.647
2015-07-01,14.698
2015-08-01,14.519
2015-09-01,14.456
2015-10-01,14.788
2015-11-01,14.494
2015-12-01,14.162
2016-01-01,13.868
2016-02-01,13.958
2016-03-01,14.009
2016-04-01,14.315
2016-05-01,14.443
2016-06-01,14.456
2016-07-01,14.519
2016-08-01,14.456
2016-09-01,14.481
2016-10-01,14.749
2016-11-01,14.379
2016-12-01,14.085
2017-01-01,14.009
2017-02-01,13.881
2017-03-01,13.932
2017-04-01,14.021
2017-05-01,14.187
2017-06-01,14.341
2017-07-01,14.366
2017-08-01,14.366
2017-09-01,14.251
2017-10-01,14.2
2017-11-01,13.932
2017-12-01,13.638
2018-01-01,13.587
2018-02-01,13.6
2018-03-01,13.728
2018-04-01,13.907
2018-05-01,14.277
2018-06-01,14.647
2018-07-01,14.673
2018-08-01,14.711
2018-09-01,14.622
2018-10-01,14.609
2018-11-01,14.366
2018-12-01,14.29
2019-01-01,14.06
2019-02-01,13.447
2019-03-01,13.46
2019-04-01,14.187
2019-05-01,14.481
2019-06-01,14.775
2019-07-01,15.018
2019-08-01,14.864
2019-09-01,14.903
