ds,y
2011-01-01,3.318
2011-04-01,2.29
2011-07-01,1.086
2011-10-01,1.8
2012-01-01,2.253
2012-04-01,3.571
2012-07-01,2.939
2012-10-01,2.666
2013-01-01,3.212
2013-04-01,2.278
2013-07-01,1.129
2013-10-01,2.384
2014-01-01,1.786
2014-04-01,2.106
2014-07-01,2.803
2014-10-01,2.619
2015-01-01,3.954
2015-04-01,2.787
2015-07-01,0.936
2015-10-01,2.953
2016-01-01,4.405
2016-04-01,3.113
2016-07-01,2.327
2016-10-01,3.115
2017-01-01,2.953
2017-04-01,3.364
2017-07-01,1.81
2017-10-01,2.754
2018-01-01,2.936
2018-04-01,2.572
2018-07-01,1.957
2018-10-01,3.231
2019-01-01,3.429
2019-04-01,2.567
2019-07-01,1.45
2019-10-01,3.321
2020-01-01,3.847
2020-04-01,2.899
2020-07-01,2.142
2020-10-01,2.85
2021-01-01,3.969
2021-04-01,1.318
2021-07-01,1.404
2021-10-01,3.343
2022-01-01,2.844
2022-04-01,1.824
2022-07-01,1.459
2022-10-01,3.297
2023-01-01,2.232
2023-04-01,3.355
2023-07-01,2.973
2023-10-01,1.96
2024-01-01,4.144
2024-04-01,2.477
2024-07-01,2.518
2024-10-01,2.258
2025-01-01,2.617
2025-04-01,2.314
2025-07-01,1.758
2025-10-01,3.881
2026-01-01,3.729
2026-04-01,2.861
2026-07-01,2.39
2026-10-01,3.018
2027-01-01,3.904
2027-04-01,5.145
2027-07-01,2.791
2027-10-01,3.311
