ds,y
1989-01-01,270.633
1989-04-01,330.161
1989-07-01,326.524
1989-10-01,299.485
1990-01-01,218.187
1990-04-01,317.018
1990-07-01,211.177
1990-10-01,245.45
1991-01-01,250.864
1991-04-01,272.428
1991-07-01,223.309
1991-10-01,310.361
1992-01-01,291.836
1992-04-01,236.179
1992-07-01,121.439
1992-10-01,319.189
1993-01-01,258.278
1993-04-01,366.039
1993-07-01,153.118
1993-10-01,271.525
1994-01-01,200.34
1994-04-01,254.982
1994-07-01,228.559
1994-10-01,250.686
1995-01-01,363.499
1995-04-01,196.796
1995-07-01,155.207
1995-10-01,257.43
1996-01-01,145.82
1996-04-01,237.882
1996-07-01,104.921
1996-10-01,163.283
1997-01-01,278.591
1997-04-01,203.657
1997-07-01,191.941
1997-10-01,151.878
1998-01-01,225.671
1998-04-01,143.548
1998-07-01,111.166
1998-10-01,246.679
1999-01-01,228.685
1999-04-01,290.001
1999-07-01,248.518
1999-10-01,191.176
2000-01-01,137.043
2000-04-01,195.716
2000-07-01,132.581
2000-10-01,228.128
2001-01-01,228.515
2001-04-01,222.58
2001-07-01,143.653
2001-10-01,198.398
2002-01-01,152.781
2002-04-01,262.032
2002-07-01,125.595
2002-10-01,273.769
2003-01-01,194.249
2003-04-01,235.651
2003-07-01,155.92
2003-10-01,295.813
2004-01-01,226.763
2004-04-01,191.17
2004-07-01,135.746
2004-10-01,315.254
2005-01-01,227.495
2005-04-01,248.078
2005-07-01,213.302
2005-10-01,266.442
