ds,y
1987-01-01,19.678
1987-04-01,47.186
1987-07-01,22.419
1987-10-01,32.75
1988-01-01,21.68
1988-04-01,41.615
1988-07-01,32.592
1988-10-01,30.533
1989-01-01,15.539
1989-04-01,25.036
1989-07-01,42.4
1989-10-01,24.069
1990-01-01,19.451
1990-04-01,35.704
1990-07-01,35.321
1990-10-01,38.452
1991-01-01,17.875
1991-04-01,19.388
1991-07-01,28.622
1991-10-01,34.138
1992-01-01,21.292
1992-04-01,29.09
1992-07-01,21.783
1992-10-01,30.686
1993-01-01,26.135
1993-04-01,36.946
1993-07-01,37.38
1993-10-01,31.263
1994-01-01,20.125
1994-04-01,40.122
1994-07-01,28.551
1994-10-01,24.086
1995-01-01,30.871
1995-04-01,29.954
1995-07-01,41.797
1995-10-01,29.043
1996-01-01,18.83
1996-04-01,31.625
1996-07-01,36.533
1996-10-01,34.217
1997-01-01,26.821
1997-04-01,21.281
1997-07-01,27.216
1997-10-01,26.23
1998-01-01,27.3
1998-04-01,33.85
1998-07-01,24.602
1998-10-01,25.131
1999-01-01,19.879
1999-04-01,33.381
1999-07-01,28.268
1999-10-01,30.731
2000-01-01,29.261
2000-04-01,24.826
2000-07-01,34.824
2000-10-01,38.426
2001-01-01,18.961
2001-04-01,29.444
2001-07-01,29.995
2001-10-01,41.739
2002-01-01,30.362
2002-04-01,44.685
