ds,y
1984-01-01,4.532
1984-02-01,4.195
1984-03-01,5.066
1984-04-01,5.046
1984-05-01,5.225
1984-06-01,4.829
1984-07-01,4.71
1984-08-01,4.651
1984-09-01,4.552
1984-10-01,4.868
1984-11-01,5.126
1984-12-01,7.342
1985-01-01,4.591
1985-02-01,4.413
1985-03-01,4.769
1985-04-01,4.413
1985-05-01,4.809
1985-06-01,4.374
1985-07-01,4.829
1985-08-01,5.68
1985-09-01,4.967
1985-10-01,5.818
1985-11-01,5.442
1985-12-01,7.006
1986-01-01,4.809
1986-02-01,4.591
1986-03-01,5.225
1986-04-01,4.71
1986-05-01,4.908
1986-06-01,4.928
1986-07-01,5.007
1986-08-01,4.849
1986-09-01,4.948
1986-10-01,5.027
1986-11-01,5.165
1986-12-01,6.689
1987-01-01,4.908
1987-02-01,4.294
1987-03-01,4.73
1987-04-01,4.868
1987-05-01,4.888
1987-06-01,4.809
1987-07-01,4.967
1987-08-01,5.145
1987-09-01,5.403
1987-10-01,5.521
1987-11-01,6.234
1987-12-01,7.956
1988-01-01,6.056
1988-02-01,5.442
1988-03-01,5.62
1988-04-01,5.739
1988-05-01,6.095
1988-06-01,6.254
1988-07-01,6.887
1988-08-01,6.432
1988-09-01,6.313
1988-10-01,7.045
1988-11-01,7.243
1988-12-01,9.816
1989-01-01,6.313
1989-02-01,5.739
1989-03-01,6.135
1989-04-01,5.798
1989-05-01,6.214
1989-06-01,5.818
1989-07-01,6.808
1989-08-01,6.333
1989-09-01,6.57
1989-10-01,6.847
1989-11-01,6.926
1989-12-01,9.202
1990-01-01,6.55
1990-02-01,6.174
1990-03-01,7.223
1990-04-01,6.709
1990-05-01,7.124
1990-06-01,7.184
1990-07-01,8.45
1990-08-01,7.619
1990-09-01,7.817
1990-10-01,9.282
1990-11-01,8.826
1990-12-01,11.082
1991-01-01,8.51
1991-02-01,8.391
1991-03-01,9.282
1991-04-01,8.431
1991-05-01,9.816
1991-06-01,12.092
1991-07-01,8.252
1991-08-01,8.549
1991-09-01,8.807
1991-10-01,9.42
1991-11-01,9.994
1991-12-01,11.933
1992-01-01,9.004
1992-02-01,7.857
1992-03-01,8.807
1992-04-01,8.233
1992-05-01,8.846
1992-06-01,9.143
1992-07-01,10.034
1992-08-01,9.974
1992-09-01,10.034
1992-10-01,10.291
