ds,y
1976-01-01,1539.17
1976-02-01,1590.239
1976-03-01,1462.566
1976-04-01,1391.637
1976-05-01,1387.381
1976-06-01,1215.732
1976-07-01,1571.798
1976-08-01,1482.427
1976-09-01,1357.591
1976-10-01,1854.097
1976-11-01,1706.564
1976-12-01,2496.718
1977-01-01,1290.917
1977-02-01,1429.939
1977-03-01,1651.239
1977-04-01,1679.611
1977-05-01,1544.845
1977-06-01,1394.474
1977-07-01,1615.774
1977-08-01,1456.892
1977-09-01,1568.961
1977-10-01,1998.793
1977-11-01,1864.027
1977-12-01,2587.508
1978-01-01,1923.608
1978-02-01,1692.378
1978-03-01,2069.723
1978-04-01,2197.396
1978-05-01,2113.699
1978-06-01,1889.562
1978-07-01,2003.049
1978-08-01,1946.305
1978-09-01,1978.933
1978-10-01,2205.907
1978-11-01,2308.046
1978-12-01,2774.762
1979-01-01,1666.843
1979-02-01,1540.589
1979-03-01,1689.541
1979-04-01,1498.031
1979-05-01,1539.17
1979-06-01,1411.497
1979-07-01,1448.38
1979-08-01,1556.193
1979-09-01,1600.17
1979-10-01,1776.075
1979-11-01,1807.284
1979-12-01,2405.929
1980-01-01,1593.077
1980-02-01,1540.589
1980-03-01,1709.401
1980-04-01,1568.961
1980-05-01,1567.542
1980-06-01,1601.588
1980-07-01,1517.891
1980-08-01,1629.96
1980-09-01,1659.75
1980-10-01,1890.98
1980-11-01,2008.723
1980-12-01,2710.925
1981-01-01,1847.004
1981-02-01,1683.866
1981-03-01,1795.935
1981-04-01,1617.193
1981-05-01,1703.727
1981-06-01,1601.588
1981-07-01,1661.169
1981-08-01,1744.866
1981-09-01,1666.843
1981-10-01,1997.375
1981-11-01,2222.931
1981-12-01,2872.645
1982-01-01,2010.142
1982-02-01,1832.818
1982-03-01,1986.026
1982-04-01,1875.376
1982-05-01,1805.865
1982-06-01,1746.284
1982-07-01,1716.494
1982-08-01,1763.307
1982-09-01,1967.584
1982-10-01,2163.35
1982-11-01,2259.814
1982-12-01,3018.76
1983-01-01,2025.747
1983-02-01,1820.051
1983-03-01,1973.259
1983-04-01,1973.259
1983-05-01,1936.375
1983-06-01,1879.632
1983-07-01,1895.236
1983-08-01,2022.909
1983-09-01,2110.862
1983-10-01,2207.326
1983-11-01,2136.397
1983-12-01,2750.646
1984-01-01,1987.445
1984-02-01,1798.772
1984-03-01,1949.143
1984-04-01,1872.539
1984-05-01,1759.052
1984-06-01,1757.633
1984-07-01,1866.864
1984-08-01,1946.305
1984-09-01,2203.07
1984-10-01,2503.811
1984-11-01,2649.926
1984-12-01,3238.641
1985-01-01,2371.882
1985-02-01,2153.42
1985-03-01,2149.164
1985-04-01,2169.024
1985-05-01,2056.956
1985-06-01,2313.72
1985-07-01,1786.005
1985-08-01,1976.096
1985-09-01,2102.35
1985-10-01,2208.745
1985-11-01,2394.58
1985-12-01,3180.479
1986-01-01,2303.79
1986-02-01,2001.63
1986-03-01,2198.814
1986-04-01,2108.025
1986-05-01,2134.978
1986-06-01,2159.094
1986-07-01,2184.629
1986-08-01,2378.975
1986-09-01,2445.649
1986-10-01,2960.597
1986-11-01,2891.086
1986-12-01,3627.335
1987-01-01,2868.389
1987-02-01,2522.253
1987-03-01,2750.646
1987-04-01,2686.809
1987-05-01,2580.415
1987-06-01,2525.09
1987-07-01,2309.465
1987-08-01,2577.578
1987-09-01,2577.578
1987-10-01,2756.32
1987-11-01,2906.691
1987-12-01,3401.779
1988-01-01,2725.111
1988-02-01,2432.882
1988-03-01,2691.065
