ds,y
2007-01-01,692.018
2007-02-01,653.882
2007-03-01,707.908
2007-04-01,651.498
2007-05-01,702.347
2007-06-01,690.429
2007-07-01,675.334
2007-08-01,761.141
2007-09-01,788.154
2007-10-01,791.332
2007-11-01,808.017
2007-12-01,1098.807
2008-01-01,726.182
2008-02-01,710.292
2008-03-01,759.552
2008-04-01,692.018
2008-05-01,777.825
2008-06-01,768.291
2008-07-01,778.62
2008-08-01,812.784
2008-09-01,856.482
2008-10-01,854.098
2008-11-01,878.728
2008-12-01,1117.081
2009-01-01,742.867
2009-02-01,685.662
2009-03-01,706.319
2009-04-01,678.512
2009-05-01,719.032
2009-06-01,688.046
2009-07-01,723.799
2009-08-01,742.072
2009-09-01,763.524
2009-10-01,768.291
2009-11-01,790.537
2009-12-01,1085.301
2010-01-01,866.81
2010-02-01,841.386
2010-03-01,842.181
2010-04-01,831.852
2010-05-01,904.152
2010-06-01,834.236
2010-07-01,922.426
2010-08-01,865.221
2010-09-01,862.838
2010-10-01,919.248
2010-11-01,947.056
2010-12-01,1333.188
2011-01-01,907.33
2011-02-01,854.098
2011-03-01,866.016
2011-04-01,892.235
2011-05-01,955.001
2011-06-01,923.221
2011-07-01,949.439
2011-08-01,867.605
2011-09-01,922.426
2011-10-01,985.987
2011-11-01,1041.603
2011-12-01,1482.556
2012-01-01,974.069
2012-02-01,846.153
2012-03-01,923.221
2012-04-01,927.988
2012-05-01,977.247
2012-06-01,958.179
2012-07-01,986.781
2012-08-01,1028.096
2012-09-01,1041.603
2012-10-01,966.919
2012-11-01,1091.657
2012-12-01,1488.117
2013-01-01,1011.411
2013-02-01,927.193
2013-03-01,951.823
2013-04-01,1039.219
2013-05-01,1056.698
2013-06-01,1062.26
2013-07-01,1043.986
2013-08-01,1098.013
2013-09-01,1072.588
2013-10-01,1213.217
2013-11-01,1277.572
2013-12-01,1715.347
2014-01-01,1103.574
2014-02-01,1020.151
2014-03-01,1076.561
2014-04-01,1042.397
2014-05-01,1149.656
2014-06-01,1089.273
2014-07-01,1006.644
2014-08-01,1015.384
2014-09-01,998.699
2014-10-01,1047.959
2014-11-01,1169.519
2014-12-01,1685.156
2015-01-01,1085.301
2015-02-01,971.686
2015-03-01,1069.41
2015-04-01,1000.288
2015-05-01,1051.931
2015-06-01,1021.74
2015-07-01,983.603
2015-08-01,1006.644
2015-09-01,1024.123
2015-10-01,1205.272
2015-11-01,1273.6
2015-12-01,1786.853
2016-01-01,1231.49
2016-02-01,1027.301
2016-03-01,1120.259
2016-04-01,1179.053
2016-05-01,1194.943
2016-06-01,1155.218
2016-07-01,1155.218
2016-08-01,1208.45
2016-09-01,1217.984
2016-10-01,1279.956
2016-11-01,1392.776
2016-12-01,1996.604
2017-01-01,1220.367
2017-02-01,1104.369
2017-03-01,1129.793
2017-04-01,1148.067
2017-05-01,1225.134
2017-06-01,1280.75
2017-07-01,1296.64
2017-08-01,1390.392
2017-09-01,1477.789
2017-10-01,1437.269
2017-11-01,1482.556
2017-12-01,2090.356
2018-01-01,1363.379
2018-02-01,1268.038
2018-03-01,1330.01
2018-04-01,1240.23
2018-05-01,1273.6
2018-06-01,1272.805
2018-07-01,1293.462
2018-08-01,1341.133
2018-09-01,1285.517
2018-10-01,1398.338
2018-11-01,1507.98
2018-12-01,2078.438
2019-01-01,1320.476
2019-02-01,1250.559
2019-03-01,1300.613
2019-04-01,1269.627
2019-05-01,1375.297
2019-06-01,1327.626
2019-07-01,1330.804
2019-08-01,1408.666
2019-09-01,1370.53
2019-10-01,1292.668
2019-11-01,1411.05
2019-12-01,1973.563
2020-01-01,1206.066
2020-02-01,1128.204
2020-03-01,1301.407
2020-04-01,1204.477
2020-05-01,1306.174
2020-06-01,1299.818
2020-07-01,1311.736
2020-08-01,1360.996
2020-09-01,1407.077
2020-10-01,1539.76
2020-11-01,1639.074
2020-12-01,2122.931
2021-01-01,1389.598
2021-02-01,1345.105
2021-03-01,1431.707
2021-04-01,1322.065
2021-05-01,1426.145
2021-06-01,1340.338
2021-07-01,1405.488
2021-08-01,1473.022
2021-09-01,1463.487
2021-10-01,1563.596
2021-11-01,1732.032
2021-12-01,2401.009
2022-01-01,1391.982
2022-02-01,1279.956
2022-03-01,1442.036
2022-04-01,1362.585
2022-05-01,1439.652
2022-06-01,1388.803
2022-07-01,1538.966
2022-08-01,1543.733
2022-09-01,1525.459
2022-10-01,1608.883
2022-11-01,1717.731
2022-12-01,2289.778
2023-01-01,1426.94
2023-02-01,1315.709
2023-03-01,1466.665
2023-04-01,1302.202
2023-05-01,1411.05
2023-06-01,1336.366
2023-07-01,1491.295
2023-08-01,1555.651
2023-09-01,1538.171
2023-10-01,1797.182
2023-11-01,1824.195
2023-12-01,2308.052
2024-01-01,1762.223
2024-02-01,1711.375
2024-03-01,1703.429
2024-04-01,1612.855
2024-05-01,1667.676
2024-06-01,1594.582
2024-07-01,1643.841
2024-08-01,1707.402
2024-09-01,1803.538
2024-10-01,1787.648
2024-11-01,2008.521
2024-12-01,2200.793
2025-01-01,1763.812
2025-02-01,1678.8
2025-03-01,1716.936
2025-04-01,1540.555
2025-05-01,1714.553
2025-06-01,1762.223
2025-07-01,1688.334
2025-08-01,1660.526
2025-09-01,1684.361
2025-10-01,1729.648
2025-11-01,1754.278
2025-12-01,2216.683
2026-01-01,1730.443
2026-02-01,1568.363
2026-03-01,1701.046
2026-04-01,1648.608
2026-05-01,1867.098
2026-06-01,1824.195
2026-07-01,1916.358
2026-08-01,1875.838
2026-09-01,1935.426
2026-10-01,2174.574
2026-11-01,2316.791
2026-12-01,2517.008
2027-01-01,1918.742
2027-02-01,1705.813
2027-03-01,1840.085
2027-04-01,1834.524
