ds,y
2002-01-01,4.566
2002-02-01,4.169
2002-03-01,4.964
2002-04-01,5.559
2002-05-01,6.453
2002-06-01,7.644
2002-07-01,7.644
2002-08-01,8.14
2002-09-01,6.85
2002-10-01,7.247
2002-11-01,7.346
2002-12-01,10.523
2003-01-01,5.361
2003-02-01,4.964
2003-03-01,5.956
2003-04-01,5.758
2003-05-01,5.956
2003-06-01,6.055
2003-07-01,6.055
2003-08-01,6.055
2003-09-01,5.559
2003-10-01,4.765
2003-11-01,4.269
2003-12-01,6.254
2004-01-01,3.474
2004-02-01,3.077
2004-03-01,3.276
2004-04-01,4.07
2004-05-01,4.467
2004-06-01,4.467
2004-07-01,4.666
2004-08-01,4.368
2004-09-01,4.368
2004-10-01,3.872
2004-11-01,4.566
2004-12-01,5.658
2005-01-01,2.482
2005-02-01,2.581
2005-03-01,2.68
2005-04-01,2.879
2005-05-01,3.177
2005-06-01,3.474
2005-07-01,3.872
2005-08-01,4.07
2005-09-01,3.673
2005-10-01,4.169
2005-11-01,4.07
2005-12-01,4.566
2006-01-01,3.177
2006-02-01,2.78
2006-03-01,3.276
2006-04-01,3.276
2006-05-01,3.574
2006-06-01,3.673
2006-07-01,4.269
2006-08-01,3.971
2006-09-01,3.872
2006-10-01,5.063
2006-11-01,4.765
2006-12-01,5.857
2007-01-01,3.474
2007-02-01,3.375
2007-03-01,3.574
2007-04-01,3.971
2007-05-01,4.269
2007-06-01,5.46
2007-07-01,5.361
2007-08-01,5.857
2007-09-01,5.46
2007-10-01,5.758
2007-11-01,5.658
2007-12-01,8.239
2008-01-01,4.566
2008-02-01,4.368
2008-03-01,5.162
2008-04-01,5.162
2008-05-01,5.857
2008-06-01,6.055
2008-07-01,6.651
2008-08-01,6.75
2008-09-01,6.453
2008-10-01,6.453
2008-11-01,6.353
2008-12-01,8.339
2009-01-01,5.063
2009-02-01,4.467
2009-03-01,4.666
2009-04-01,4.666
2009-05-01,5.758
2009-06-01,5.658
2009-07-01,6.155
2009-08-01,6.155
2009-09-01,5.758
2009-10-01,5.857
2009-11-01,5.857
2009-12-01,7.147
2010-01-01,4.169
2010-02-01,3.772
2010-03-01,4.269
2010-04-01,4.169
2010-05-01,5.063
2010-06-01,4.864
2010-07-01,5.857
2010-08-01,5.658
2010-09-01,5.063
2010-10-01,5.758
2010-11-01,5.063
2010-12-01,6.651
2011-01-01,4.269
2011-02-01,4.07
2011-03-01,4.269
2011-04-01,4.765
2011-05-01,5.361
2011-06-01,6.353
2011-07-01,6.552
2011-08-01,6.254
2011-09-01,6.055
2011-10-01,5.559
2011-11-01,5.261
2011-12-01,6.453
2012-01-01,4.467
2012-02-01,3.872
2012-03-01,4.269
2012-04-01,4.467
2012-05-01,4.864
2012-06-01,5.46
2012-07-01,5.758
2012-08-01,5.758
2012-09-01,5.758
2012-10-01,5.361
2012-11-01,4.964
2012-12-01,6.949
2013-01-01,4.07
2013-02-01,3.772
2013-03-01,4.169
2013-04-01,4.765
2013-05-01,5.559
2013-06-01,6.353
2013-07-01,6.949
2013-08-01,7.048
2013-09-01,6.055
2013-10-01,6.055
2013-11-01,5.857
2013-12-01,7.545
2014-01-01,5.162
2014-02-01,5.261
2014-03-01,5.46
2014-04-01,5.261
2014-05-01,6.453
2014-06-01,7.048
2014-07-01,7.545
2014-08-01,7.545
2014-09-01,7.147
2014-10-01,7.247
2014-11-01,6.75
2014-12-01,9.034
2015-01-01,5.559
2015-02-01,4.964
2015-03-01,5.758
2015-04-01,5.758
2015-05-01,6.552
2015-06-01,7.147
2015-07-01,8.14
2015-08-01,7.743
2015-09-01,7.346
2015-10-01,7.048
2015-11-01,6.949
2015-12-01,9.927
2016-01-01,5.758
2016-02-01,4.765
2016-03-01,6.651
2016-04-01,6.055
2016-05-01,7.048
2016-06-01,7.346
2016-07-01,8.339
2016-08-01,8.339
2016-09-01,7.346
2016-10-01,7.048
2016-11-01,6.453
2016-12-01,8.934
2017-01-01,5.857
2017-02-01,5.361
2017-03-01,6.055
2017-04-01,6.254
2017-05-01,7.346
2017-06-01,7.942
2017-07-01,10.225
2017-08-01,8.239
2017-09-01,8.438
2017-10-01,7.545
2017-11-01,6.75
2017-12-01,8.636
2018-01-01,5.758
2018-02-01,5.261
2018-03-01,6.552
2018-04-01,5.956
2018-05-01,6.85
2018-06-01,7.445
2018-07-01,8.835
2018-08-01,8.339
2018-09-01,7.545
2018-10-01,7.346
2018-11-01,6.552
2018-12-01,8.636
2019-01-01,5.361
2019-02-01,5.658
2019-03-01,6.353
2019-04-01,6.353
2019-05-01,7.048
2019-06-01,7.743
2019-07-01,9.331
2019-08-01,9.53
2019-09-01,8.041
2019-10-01,8.339
2019-11-01,7.942
2019-12-01,10.423
2020-01-01,6.055
2020-02-01,5.361
2020-03-01,6.055
2020-04-01,6.552
2020-05-01,7.644
2020-06-01,7.445
2020-07-01,9.034
2020-08-01,10.126
2020-09-01,8.239
2020-10-01,8.835
2020-11-01,8.636
2020-12-01,10.324
2021-01-01,6.651
2021-02-01,5.857
2021-03-01,6.949
2021-04-01,6.85
2021-05-01,8.239
2021-06-01,7.942
2021-07-01,9.53
2021-08-01,8.934
2021-09-01,8.736
2021-10-01,8.239
2021-11-01,7.545
2021-12-01,9.728
2022-01-01,6.254
2022-02-01,5.46
2022-03-01,6.353
2022-04-01,6.552
2022-05-01,7.346
2022-06-01,6.75
2022-07-01,8.339
2022-08-01,7.942
2022-09-01,7.346
2022-10-01,7.842
2022-11-01,7.545
2022-12-01,11.019
2023-01-01,7.743
2023-02-01,8.239
2023-03-01,8.14
2023-04-01,8.14
2023-05-01,8.537
2023-06-01,9.133
2023-07-01,10.82
2023-08-01,10.126
2023-09-01,9.629
2023-10-01,9.133
2023-11-01,9.034
2023-12-01,11.912
