ds,y
2001-10-01,806.212
2001-11-01,808.782
2001-12-01,810.388
2002-01-01,809.231
2002-02-01,810.516
2002-03-01,811.287
2002-04-01,811.929
2002-05-01,813.214
2002-06-01,817.518
2002-07-01,821.051
2002-08-01,821.822
2002-09-01,821.565
2002-10-01,823.942
2002-11-01,826.962
2002-12-01,827.668
2003-01-01,825.869
2003-02-01,829.274
2003-03-01,831.137
2003-04-01,835.441
2003-05-01,840.002
2003-06-01,846.555
2003-07-01,850.538
2003-08-01,854.071
2003-09-01,858.246
2003-10-01,862.615
2003-11-01,866.405
2003-12-01,869.938
2004-01-01,868.91
2004-02-01,871.287
2004-03-01,876.105
2004-04-01,877.454
2004-05-01,879.253
2004-06-01,886.962
2004-07-01,890.366
2004-08-01,892.358
2004-09-01,891.33
2004-10-01,892.037
2004-11-01,894.092
2004-12-01,895.377
2005-01-01,894.028
2005-02-01,896.598
2005-03-01,898.653
2005-04-01,899.424
2005-05-01,900.067
2005-06-01,907.647
2005-07-01,910.666
2005-08-01,913.942
2005-09-01,914.906
2005-10-01,915.613
2005-11-01,920.11
2005-12-01,920.88
2006-01-01,916.576
2006-02-01,919.403
2006-03-01,923.193
2006-04-01,923.707
2006-05-01,925.955
2006-06-01,932.058
2006-07-01,935.399
2006-08-01,936.876
2006-09-01,934.628
2006-10-01,936.812
2006-11-01,940.024
2006-12-01,940.859
2007-01-01,937.711
2007-02-01,938.225
2007-03-01,940.474
2007-04-01,942.786
2007-05-01,945.099
2007-06-01,947.925
2007-07-01,951.009
2007-08-01,953.386
2007-09-01,949.917
2007-10-01,951.394
2007-11-01,954.092
2007-12-01,955.377
2008-01-01,949.21
2008-02-01,950.302
2008-03-01,951.78
2008-04-01,952.743
2008-05-01,954.285
2008-06-01,958.268
2008-07-01,960.131
2008-08-01,960.26
2008-09-01,959.36
2008-10-01,960.003
2008-11-01,961.737
2008-12-01,962.315
2009-01-01,959.232
2009-02-01,959.232
2009-03-01,961.609
2009-04-01,960.838
2009-05-01,961.994
2009-06-01,965.656
2009-07-01,967.454
2009-08-01,967.647
2009-09-01,965.848
2009-10-01,966.105
2009-11-01,967.262
2009-12-01,967.904
2010-01-01,964.692
2010-02-01,965.591
2010-03-01,967.454
2010-04-01,966.427
2010-05-01,967.454
2010-06-01,972.401
2010-07-01,973.557
2010-08-01,977.412
2010-09-01,975.356
2010-10-01,976.641
2010-11-01,979.403
2010-12-01,981.33
2011-01-01,980.11
2011-02-01,982.165
2011-03-01,986.277
2011-04-01,987.497
2011-05-01,986.726
2011-06-01,995.656
2011-07-01,996.041
2011-08-01,998.932
2011-09-01,998.033
2011-10-01,1000.923
2011-11-01,1004.714
2011-12-01,1006.834
2012-01-01,1004.521
2012-02-01,1003.3
2012-03-01,1006.641
2012-04-01,1006.962
2012-05-01,1007.861
2012-06-01,1010.688
2012-07-01,1011.716
2012-08-01,1014.671
2012-09-01,1013.964
2012-10-01,1015.185
2012-11-01,1016.534
2012-12-01,1015.442
2013-01-01,1014.028
2013-02-01,1013.258
2013-03-01,1014.285
2013-04-01,1014.542
2013-05-01,1015.827
2013-06-01,1019.296
2013-07-01,1015.249
2013-08-01,1014.414
2013-09-01,1013.386
2013-10-01,1014.928
2013-11-01,1015.313
2013-12-01,1014.157
2014-01-01,1007.99
2014-02-01,1004.714
2014-03-01,1008.311
2014-04-01,1010.174
2014-05-01,1011.587
2014-06-01,1015.506
2014-07-01,1016.213
2014-08-01,1016.405
2014-09-01,1015.249
2014-10-01,1016.148
2014-11-01,1017.626
2014-12-01,1015.699
2015-01-01,1008.44
2015-02-01,1007.54
2015-03-01,1010.752
2015-04-01,1009.467
2015-05-01,1011.009
2015-06-01,1015.956
2015-07-01,1015.12
2015-08-01,1017.305
2015-09-01,1016.277
2015-10-01,1014.285
2015-11-01,1017.369
2015-12-01,1016.341
2016-01-01,1011.266
2016-02-01,1006.898
2016-03-01,1009.467
2016-04-01,1011.33
2016-05-01,1014.992
2016-06-01,1018.204
2016-07-01,1020.131
2016-08-01,1017.562
2016-09-01,1016.148
2016-10-01,1019.168
2016-11-01,1022.123
2016-12-01,1023.536
2017-01-01,1019.617
2017-02-01,1020.902
2017-03-01,1022.315
2017-04-01,1026.298
2017-05-01,1025.399
2017-06-01,1029.831
2017-07-01,1031.759
2017-08-01,1035.42
2017-09-01,1034.007
2017-10-01,1033.622
2017-11-01,1036.834
2017-12-01,1037.861
2018-01-01,1034.007
2018-02-01,1034.649
2018-03-01,1034.714
2018-04-01,1036.962
2018-05-01,1039.532
2018-06-01,1040.752
2018-07-01,1040.11
2018-08-01,1042.615
2018-09-01,1037.99
2018-10-01,1041.266
2018-11-01,1046.405
2018-12-01,1049.103
2019-01-01,1044.607
2019-02-01,1044.671
2019-03-01,1049.296
2019-04-01,1051.288
2019-05-01,1055.078
2019-06-01,1058.868
2019-07-01,1059.767
2019-08-01,1063.75
2019-09-01,1060.988
2019-10-01,1063.429
2019-11-01,1064.714
2019-12-01,1063.557
2020-01-01,1054.371
2020-02-01,1053.921
2020-03-01,1059.575
2020-04-01,1060.988
2020-05-01,1062.787
2020-06-01,1065.742
2020-07-01,1067.476
2020-08-01,1068.761
