ds,y
1985-01-01,52.536
1985-02-01,51.289
1985-03-01,58.136
1985-04-01,54.128
1985-05-01,57.207
1985-06-01,51.09
1985-07-01,52.111
1985-08-01,52.178
1985-09-01,55.283
1985-10-01,57.645
1985-11-01,61.997
1985-12-01,83.893
1986-01-01,53.651
1986-02-01,53.744
1986-03-01,61.639
1986-04-01,54.367
1986-05-01,57.698
1986-06-01,57.353
1986-07-01,58.415
1986-08-01,60.087
1986-09-01,60.564
1986-10-01,62.157
1986-11-01,64.187
1986-12-01,81.624
1987-01-01,55.469
1987-02-01,52.363
1987-03-01,58.269
1987-04-01,55.442
1987-05-01,58.6
1987-06-01,56.61
1987-07-01,60.272
1987-08-01,62.913
1987-09-01,64.426
1987-10-01,64.054
1987-11-01,69.933
1987-12-01,91.178
1988-01-01,61.44
1988-02-01,61.042
1988-03-01,61.679
1988-04-01,60.511
1988-05-01,63.324
1988-06-01,60.803
1988-07-01,64.771
1988-08-01,67.093
1988-09-01,65.62
1988-10-01,67.478
1988-11-01,70.862
1988-12-01,93.461
1989-01-01,62.422
1989-02-01,59.808
1989-03-01,63.072
1989-04-01,61.971
1989-05-01,64.492
1989-06-01,62.807
1989-07-01,65.673
1989-08-01,65.288
1989-09-01,66.377
1989-10-01,69.694
1989-11-01,73.343
1989-12-01,99.552
1990-01-01,65.925
1990-02-01,62.236
1990-03-01,64.492
1990-04-01,65.965
1990-05-01,65.978
1990-06-01,64.837
1990-07-01,67.929
1990-08-01,65.554
1990-09-01,68.845
1990-10-01,68.035
1990-11-01,70.888
1990-12-01,95.252
1991-01-01,65.607
1991-02-01,61.732
1991-03-01,66.96
1991-04-01,67.85
1991-05-01,68.686
1991-06-01,65.74
1991-07-01,70.57
1991-08-01,70.756
1991-09-01,73.396
1991-10-01,72.64
1991-11-01,77.085
1991-12-01,105.151
1992-01-01,67.239
1992-02-01,66.416
1992-03-01,70.849
1992-04-01,67.159
1992-05-01,73.609
1992-06-01,74.922
1992-07-01,68.234
1992-08-01,71.751
1992-09-01,74.936
1992-10-01,75.666
1992-11-01,79.394
1992-12-01,105.324
1993-01-01,74.75
1993-02-01,71.937
1993-03-01,77.404
1993-04-01,75.52
1993-05-01,77.789
1993-06-01,74.657
1993-07-01,78.333
1993-08-01,81.345
1993-09-01,77.311
1993-10-01,82.486
1993-11-01,88.723
1993-12-01,117.161
1994-01-01,77.855
1994-02-01,73.317
1994-03-01,80.483
1994-04-01,80.748
1994-05-01,85.26
1994-06-01,78.081
1994-07-01,83.933
1994-08-01,88.418
1994-09-01,85.817
1994-10-01,85.552
1994-11-01,93.447
1994-12-01,123.212
1995-01-01,81.465
1995-02-01,77.55
1995-03-01,81.982
1995-04-01,82.924
1995-05-01,87.409
1995-06-01,85.074
1995-07-01,90.448
1995-08-01,91.271
1995-09-01,93.792
1995-10-01,99.379
1995-11-01,104.183
1995-12-01,133.961
1996-01-01,87.171
1996-02-01,83.906
1996-03-01,92.452
1996-04-01,85.446
1996-05-01,90.568
1996-06-01,87.715
1996-07-01,90.82
1996-08-01,90.263
1996-09-01,92.173
1996-10-01,93.089
1996-11-01,95.849
1996-12-01,127.71
1997-01-01,85.724
1997-02-01,80.509
1997-03-01,85.658
1997-04-01,82.991
1997-05-01,83.455
1997-06-01,83.15
1997-07-01,82.168
1997-08-01,83.535
1997-09-01,83.137
1997-10-01,84.331
1997-11-01,90.196
1997-12-01,122.243
1998-01-01,80.191
1998-02-01,75.241
1998-03-01,83.243
1998-04-01,81.173
1998-05-01,85.777
1998-06-01,84.185
1998-07-01,87.078
1998-08-01,89.519
1998-09-01,88.511
1998-10-01,89.918
1998-11-01,95.239
1998-12-01,128.002
1999-01-01,84.41
1999-02-01,77.749
1999-03-01,87.078
1999-04-01,82.354
1999-05-01,86.096
1999-06-01,83.734
1999-07-01,90.289
1999-08-01,95.08
1999-09-01,93.832
1999-10-01,99.207
1999-11-01,104.276
1999-12-01,144.59
2000-01-01,95.093
2000-02-01,93.341
2000-03-01,94.602
2000-04-01,92.014
2000-05-01,98.755
2000-06-01,91.337
2000-07-01,94.841
2000-08-01,96.526
2000-09-01,94.788
2000-10-01,100.361
2000-11-01,104.86
2000-12-01,143.515
2001-01-01,96.208
2001-02-01,92.439
2001-03-01,100.242
2001-04-01,96.38
2001-05-01,99.724
2001-06-01,96.473
2001-07-01,103.572
2001-08-01,99.764
2001-09-01,99.83
2001-10-01,104.422
2001-11-01,107.235
2001-12-01,144.179
2002-01-01,93.806
2002-02-01,89.174
2002-03-01,101.781
2002-04-01,93.142
2002-05-01,97.375
2002-06-01,97.282
2002-07-01,101.423
2002-08-01,103.851
2002-09-01,102.843
2002-10-01,109.371
2002-11-01,116.895
2002-12-01,154.503
2003-01-01,109.332
2003-02-01,103.307
2003-03-01,113.047
2003-04-01,104.714
2003-05-01,104.886
2003-06-01,103.506
2003-07-01,113.538
2003-08-01,117.811
2003-09-01,117.028
2003-10-01,116.046
2003-11-01,136.429
2003-12-01,164.853
2004-01-01,105.987
2004-02-01,106.067
2004-03-01,115.86
2004-04-01,106.014
2004-05-01,112.795
2004-06-01,114.122
2004-07-01,113.618
2004-08-01,119.151
2004-09-01,119.563
2004-10-01,125.972
2004-11-01,152.618
2004-12-01,165.105
2005-01-01,121.142
2005-02-01,117.891
2005-03-01,127.432
2005-04-01,125.428
2005-05-01,130.603
2005-06-01,120.969
2005-07-01,124.778
2005-08-01,127.352
2005-09-01,125.627
2005-10-01,134.425
2005-11-01,163.778
2005-12-01,181.587
2006-01-01,130.763
2006-02-01,123.61
2006-03-01,136.548
2006-04-01,128.865
2006-05-01,133.483
2006-06-01,127.671
2006-07-01,135.221
2006-08-01,139.534
2006-09-01,144.855
2006-10-01,151.543
2006-11-01,166.167
2006-12-01,190.982
