ds,y
1997-10-01,1838.353
1997-11-01,1854.778
1997-12-01,1866.796
1998-01-01,1886.425
1998-02-01,1900.847
1998-03-01,1910.862
1998-04-01,1920.877
1998-05-01,1932.895
1998-06-01,1948.919
1998-07-01,1967.747
1998-08-01,1978.964
1998-09-01,1986.175
1998-10-01,2002.599
1998-11-01,2017.021
1998-12-01,2029.44
1999-01-01,2035.048
1999-02-01,2046.665
1999-03-01,2066.295
1999-04-01,2081.117
1999-05-01,2098.743
1999-06-01,2131.192
1999-07-01,2149.219
1999-08-01,2179.264
1999-09-01,2191.683
1999-10-01,2220.125
1999-11-01,2253.776
1999-12-01,2275.007
2000-01-01,2297.842
2000-02-01,2329.088
2000-03-01,2352.724
2000-04-01,2370.751
2000-05-01,2414.817
2000-06-01,2456.88
2000-07-01,2480.916
2000-08-01,2518.572
2000-09-01,2539.003
2000-10-01,2573.855
2000-11-01,2600.295
2000-12-01,2638.752
2001-01-01,2651.972
2001-02-01,2678.011
2001-03-01,2709.258
2001-04-01,2729.288
2001-05-01,2757.33
2001-06-01,2791.781
2001-07-01,2833.844
2001-08-01,2878.712
2001-09-01,2907.154
2001-10-01,2943.609
2001-11-01,2992.482
2001-12-01,3037.349
2002-01-01,3086.222
2002-02-01,3131.891
2002-03-01,3186.372
2002-04-01,3217.219
2002-05-01,3259.282
2002-06-01,3306.152
2002-07-01,3341.805
2002-08-01,3407.504
2002-09-01,3436.347
2002-10-01,3480.012
2002-11-01,3517.268
2002-12-01,3570.548
2003-01-01,3615.014
2003-02-01,3663.888
2003-03-01,3714.363
2003-04-01,3764.038
2003-05-01,3817.317
2003-06-01,3887.823
2003-07-01,3958.329
2003-08-01,4015.614
2003-09-01,4059.28
2003-10-01,4125.779
2003-11-01,4198.288
2003-12-01,4251.167
2004-01-01,4293.23
2004-02-01,4337.296
2004-03-01,4376.555
2004-04-01,4424.226
2004-05-01,4469.494
2004-06-01,4559.229
2004-07-01,4610.105
2004-08-01,4655.373
2004-09-01,4672.999
2004-10-01,4707.851
2004-11-01,4757.926
2004-12-01,4804.396
2005-01-01,4833.64
2005-02-01,4880.109
2005-03-01,4904.946
2005-04-01,4918.567
2005-05-01,4962.232
