ds,y
2000-01-01,23.846
2000-02-01,19.658
2000-03-01,23.264
2000-04-01,25.707
2000-05-01,25.59
2000-06-01,27.51
2000-07-01,24.136
2000-08-01,25.881
2000-09-01,26.754
2000-10-01,27.044
2000-11-01,30.999
2000-12-01,50.483
2001-01-01,28.557
2001-02-01,24.602
2001-03-01,27.742
2001-04-01,26.637
2001-05-01,29.545
2001-06-01,28.208
2001-07-01,27.452
2001-08-01,25.3
2001-09-01,25.881
2001-10-01,26.812
2001-11-01,31.29
2001-12-01,46.935
2002-01-01,27.917
2002-02-01,22.857
2002-03-01,28.266
2002-04-01,24.544
2002-05-01,24.718
2002-06-01,27.684
2002-07-01,28.906
2002-08-01,30.825
2002-09-01,33.558
2002-10-01,34.547
2002-11-01,34.373
2002-12-01,55.95
2003-01-01,32.221
2003-02-01,24.195
2003-03-01,25.358
2003-04-01,25.881
2003-05-01,24.136
2003-06-01,27.917
2003-07-01,28.208
2003-08-01,31.697
2003-09-01,36.932
2003-10-01,38.793
2003-11-01,35.187
2003-12-01,59.381
2004-01-01,34.256
2004-02-01,27.8
2004-03-01,28.557
2004-04-01,28.266
2004-05-01,27.8
2004-06-01,31.057
2004-07-01,31.29
2004-08-01,32.046
2004-09-01,33.733
2004-10-01,31.581
2004-11-01,35.594
2004-12-01,61.184
2005-01-01,30.767
2005-02-01,27.626
2005-03-01,28.382
2005-04-01,29.196
2005-05-01,29.371
2005-06-01,33.442
2005-07-01,30.65
2005-08-01,34.082
2005-09-01,35.07
2005-10-01,34.198
2005-11-01,36.408
2005-12-01,51.646
2006-01-01,31.814
2006-02-01,28.091
2006-03-01,31.697
2006-04-01,30.36
2006-05-01,32.395
2006-06-01,33.965
2006-07-01,33.849
2006-08-01,36.001
2006-09-01,34.547
2006-10-01,36.932
2006-11-01,38.967
2006-12-01,59.788
2007-01-01,36.059
2007-02-01,31.232
2007-03-01,34.14
2007-04-01,35.419
2007-05-01,37.63
2007-06-01,38.909
2007-07-01,34.024
2007-08-01,35.885
2007-09-01,36.35
2007-10-01,34.256
2007-11-01,35.943
2007-12-01,53.914
2008-01-01,32.046
2008-02-01,27.684
2008-03-01,28.731
2008-04-01,27.859
2008-05-01,28.847
2008-06-01,29.72
2008-07-01,30.708
2008-08-01,30.069
2008-09-01,31.057
2008-10-01,33.5
2008-11-01,35.245
2008-12-01,54.089
2009-01-01,31.872
2009-02-01,28.847
2009-03-01,31.465
2009-04-01,30.418
2009-05-01,31.581
2009-06-01,35.419
2009-07-01,36.641
2009-08-01,32.337
2009-09-01,34.663
2009-10-01,36.001
2009-11-01,39.258
2009-12-01,58.858
2010-01-01,36.815
2010-02-01,31.581
2010-03-01,37.571
2010-04-01,37.92
2010-05-01,35.71
2010-06-01,39.607
2010-07-01,36.001
2010-08-01,36.117
2010-09-01,36.059
2010-10-01,37.397
2010-11-01,38.735
2010-12-01,61.417
2011-01-01,40.828
2011-02-01,34.198
2011-03-01,37.746
2011-04-01,37.281
2011-05-01,37.804
2011-06-01,40.014
2011-07-01,41.526
2011-08-01,41.119
2011-09-01,41.701
2011-10-01,42.573
2011-11-01,46.005
2011-12-01,70.025
2012-01-01,44.783
2012-02-01,39.956
2012-03-01,47.168
2012-04-01,42.34
2012-05-01,43.155
2012-06-01,45.19
2012-07-01,45.888
2012-08-01,47.11
2012-09-01,47.924
2012-10-01,52.46
2012-11-01,55.31
2012-12-01,88.868
2013-01-01,55.426
2013-02-01,47.342
2013-03-01,50.367
2013-04-01,51.123
2013-05-01,52.17
2013-06-01,53.74
2013-07-01,51.588
