ds,y
2009-01-01,222.575
2009-02-01,201.706
2009-03-01,240.548
2009-04-01,263.121
2009-05-01,270.021
2009-06-01,261.332
2009-07-01,267.806
2009-08-01,255.029
2009-09-01,249.492
2009-10-01,273.939
2009-11-01,315.166
2009-12-01,564.999
2010-01-01,247.703
2010-02-01,217.209
2010-03-01,241.911
2010-04-01,257.158
2010-05-01,286.46
2010-06-01,267.636
2010-07-01,268.317
2010-08-01,258.521
2010-09-01,245.744
2010-10-01,272.746
2010-11-01,315.507
2010-12-01,550.178
2011-01-01,242.678
2011-02-01,212.439
2011-03-01,242.763
2011-04-01,239.952
2011-05-01,287.482
2011-06-01,244.637
2011-07-01,290.805
2011-08-01,239.782
2011-09-01,273.087
2011-10-01,282.798
2011-11-01,325.473
2011-12-01,560.74
2012-01-01,273.598
2012-02-01,201.962
2012-03-01,237.397
2012-04-01,279.731
2012-05-01,290.038
2012-06-01,237.737
2012-07-01,310.226
2012-08-01,248.3
2012-09-01,275.983
2012-10-01,294.212
2012-11-01,334.843
2012-12-01,588.849
2013-01-01,288.505
2013-02-01,214.824
2013-03-01,258.095
2013-04-01,288.845
2013-05-01,297.278
2013-06-01,254.347
2013-07-01,313.292
2013-08-01,263.206
2013-09-01,291.912
2013-10-01,307.67
2013-11-01,356.563
2013-12-01,624.625
2014-01-01,275.642
2014-02-01,235.608
2014-03-01,268.402
2014-04-01,299.067
2014-05-01,316.87
2014-06-01,348.045
2014-07-01,251.025
2014-08-01,301.452
2014-09-01,324.536
2014-10-01,319.169
2014-11-01,367.126
2014-12-01,659.464
2015-01-01,289.697
2015-02-01,237.652
2015-03-01,295.234
2015-04-01,307.074
2015-05-01,343.446
2015-06-01,291.401
2015-07-01,330.924
2015-08-01,284.842
2015-09-01,302.73
2015-10-01,339.357
2015-11-01,398.728
2015-12-01,686.21
2016-01-01,304.604
2016-02-01,253.07
2016-03-01,305.541
2016-04-01,317.381
2016-05-01,366.785
2016-06-01,331.521
2016-07-01,314.655
2016-08-01,319.851
2016-09-01,317.636
2016-10-01,363.122
2016-11-01,440.466
2016-12-01,693.876
2017-01-01,321.299
2017-02-01,262.184
2017-03-01,317.721
2017-04-01,363.804
2017-05-01,361.93
2017-06-01,356.478
2017-07-01,338.505
2017-08-01,320.106
2017-09-01,359.034
2017-10-01,383.736
2017-11-01,448.473
2017-12-01,718.238
2018-01-01,347.875
2018-02-01,288.334
2018-03-01,327.517
2018-04-01,369.596
2018-05-01,379.392
2018-06-01,401.879
2018-07-01,375.814
2018-08-01,340.89
2018-09-01,386.291
2018-10-01,394.128
2018-11-01,456.139
2018-12-01,733.315
2019-01-01,361.759
2019-02-01,298.471
2019-03-01,381.947
2019-04-01,329.221
2019-05-01,367.041
2019-06-01,418.489
2019-07-01,362.952
2019-08-01,347.364
2019-09-01,371.214
2019-10-01,378.795
2019-11-01,447.28
2019-12-01,727.778
2020-01-01,341.913
2020-02-01,290.719
2020-03-01,335.694
2020-04-01,384.332
2020-05-01,359.971
2020-06-01,407.416
2020-07-01,391.658
2020-08-01,343.786
2020-09-01,347.534
2020-10-01,378.795
2020-11-01,453.413
2020-12-01,731.355
2021-01-01,353.327
2021-02-01,290.89
2021-03-01,370.022
2021-04-01,369.426
2021-05-01,381.095
2021-06-01,420.108
2021-07-01,405.457
2021-08-01,363.889
2021-09-01,378.795
2021-10-01,405.883
2021-11-01,471.131
2021-12-01,768.579
2022-01-01,390.976
2022-02-01,314.059
2022-03-01,371.981
2022-04-01,396.343
2022-05-01,390.55
2022-06-01,391.232
2022-07-01,425.73
2022-08-01,340.039
2022-09-01,384.417
2022-10-01,395.576
2022-11-01,459.376
2022-12-01,795.837
2023-01-01,399.494
2023-02-01,291.23
2023-03-01,368.829
2023-04-01,423.941
2023-05-01,419.682
2023-06-01,417.126
2023-07-01,419.852
2023-08-01,361.504
2023-09-01,391.743
2023-10-01,420.789
2023-11-01,475.986
2023-12-01,766.45
2024-01-01,418.489
2024-02-01,301.622
2024-03-01,377.944
2024-04-01,381.095
2024-05-01,401.794
2024-06-01,436.633
2024-07-01,425.389
2024-08-01,357.415
2024-09-01,396.343
2024-10-01,400.687
2024-11-01,462.357
2024-12-01,755.972
