ds,y
1978-01-01,41.136
1978-02-01,34.315
1978-03-01,35.764
1978-04-01,37.955
1978-05-01,42.231
1978-06-01,40.924
1978-07-01,43.044
1978-08-01,41.348
1978-09-01,44.281
1978-10-01,47.073
1978-11-01,47.179
1978-12-01,64.425
1979-01-01,45.483
1979-02-01,38.344
1979-03-01,38.415
1979-04-01,41.807
1979-05-01,45.023
1979-06-01,42.479
1979-07-01,43.115
1979-08-01,38.203
1979-09-01,42.125
1979-10-01,44.246
1979-11-01,43.185
1979-12-01,66.51
1980-01-01,41.949
1980-02-01,34.951
1980-03-01,38.909
1980-04-01,41.56
1980-05-01,43.398
1980-06-01,43.504
1980-07-01,44.352
1980-08-01,42.408
1980-09-01,49.441
1980-10-01,48.557
1980-11-01,50.324
1980-12-01,74.532
1981-01-01,45.447
1981-02-01,38.733
1981-03-01,46.967
1981-04-01,46.401
1981-05-01,48.204
1981-06-01,48.628
1981-07-01,48.274
1981-08-01,49.794
1981-09-01,54.141
1981-10-01,54.0
1981-11-01,55.342
1981-12-01,70.998
1982-01-01,49.052
1982-02-01,42.408
1982-03-01,47.815
1982-04-01,47.356
1982-05-01,51.066
1982-06-01,54.494
1982-07-01,46.507
1982-08-01,50.112
1982-09-01,55.166
1982-10-01,53.328
1982-11-01,56.014
1982-12-01,71.67
1983-01-01,50.748
1983-02-01,42.585
1983-03-01,45.624
1983-04-01,44.634
1983-05-01,51.031
1983-06-01,47.78
1983-07-01,47.744
1983-08-01,49.405
1983-09-01,52.445
1983-10-01,54.353
1983-11-01,53.611
1983-12-01,72.694
1984-01-01,51.49
1984-02-01,42.443
1984-03-01,44.564
1984-04-01,47.32
1984-05-01,56.403
1984-06-01,50.748
1984-07-01,53.858
1984-08-01,53.01
1984-09-01,58.594
1984-10-01,63.506
1984-11-01,62.799
1984-12-01,84.781
1985-01-01,62.163
1985-02-01,51.808
1985-03-01,54.141
1985-04-01,56.721
1985-05-01,62.234
1985-06-01,63.647
1985-07-01,65.167
1985-08-01,61.209
1985-09-01,65.626
1985-10-01,69.867
1985-11-01,66.333
1985-12-01,92.697
1986-01-01,65.344
1986-02-01,54.53
1986-03-01,64.142
1986-04-01,64.814
1986-05-01,66.298
1986-06-01,68.736
1986-07-01,59.654
1986-08-01,58.876
1986-09-01,65.061
1986-10-01,65.414
1986-11-01,65.096
1986-12-01,91.425
1987-01-01,60.431
1987-02-01,47.462
1987-03-01,51.773
1987-04-01,56.933
1987-05-01,60.078
1987-06-01,68.383
1987-07-01,57.286
1987-08-01,60.149
1987-09-01,67.217
1987-10-01,67.075
1987-11-01,69.549
1987-12-01,100.542
1988-01-01,72.412
1988-02-01,55.484
1988-03-01,61.633
1988-04-01,68.842
1988-05-01,72.942
1988-06-01,72.058
1988-07-01,70.609
1988-08-01,69.019
1988-09-01,74.638
1988-10-01,79.868
1988-11-01,80.717
1988-12-01,116.799
1989-01-01,79.586
1989-02-01,59.018
1989-03-01,67.499
1989-04-01,69.337
1989-05-01,73.825
1989-06-01,70.998
1989-07-01,71.564
1989-08-01,73.896
1989-09-01,80.257
1989-10-01,86.654
1989-11-01,91.884
1989-12-01,127.118
1990-01-01,94.216
1990-02-01,69.125
1990-03-01,78.137
1990-04-01,84.887
1990-05-01,86.548
1990-06-01,85.24
1990-07-01,88.138
1990-08-01,84.569
1990-09-01,95.383
1990-10-01,98.634
1990-11-01,97.75
1990-12-01,138.073
1991-01-01,96.231
1991-02-01,74.179
1991-03-01,79.126
1991-04-01,84.675
1991-05-01,90.753
1991-06-01,99.305
1991-07-01,97.044
1991-08-01,93.51
1991-09-01,105.561
1991-10-01,104.748
1991-11-01,105.667
1991-12-01,144.223
1992-01-01,106.727
1992-02-01,79.232
1992-03-01,89.94
1992-04-01,93.58
1992-05-01,95.736
1992-06-01,101.426
1992-07-01,101.567
1992-08-01,105.879
1992-09-01,112.452
1992-10-01,114.184
1992-11-01,112.487
1992-12-01,164.013
1993-01-01,110.685
1993-02-01,83.968
1993-03-01,94.747
1993-04-01,95.135
1993-05-01,102.592
1993-06-01,107.681
1993-07-01,106.621
1993-08-01,109.483
1993-09-01,113.689
1993-10-01,103.582
1993-11-01,105.808
1993-12-01,144.965
1994-01-01,102.239
1994-02-01,77.925
1994-03-01,90.753
1994-04-01,91.672
1994-05-01,95.418
1994-06-01,108.635
1994-07-01,103.723
1994-08-01,104.006
1994-09-01,111.18
1994-10-01,101.214
1994-11-01,100.931
1994-12-01,134.751
1995-01-01,91.495
1995-02-01,75.557
1995-03-01,81.953
1995-04-01,82.731
1995-05-01,85.523
1995-06-01,83.614
1995-07-01,90.824
1995-08-01,93.262
1995-09-01,99.729
1995-10-01,94.464
1995-11-01,97.998
1995-12-01,144.329
1996-01-01,97.821
1996-02-01,75.168
1996-03-01,90.47
1996-04-01,93.298
1996-05-01,104.889
1996-06-01,93.969
1996-07-01,92.838
1996-08-01,97.68
1996-09-01,103.228
1996-10-01,100.896
1996-11-01,98.316
1996-12-01,147.191
1997-01-01,90.541
1997-02-01,72.871
1997-03-01,81.176
1997-04-01,85.275
1997-05-01,92.237
1997-06-01,92.379
1997-07-01,97.715
1997-08-01,96.089
1997-09-01,106.585
1997-10-01,104.5
1997-11-01,103.476
1997-12-01,154.436
1998-01-01,90.258
1998-02-01,80.01
1998-03-01,85.947
1998-04-01,89.658
1998-05-01,98.175
1998-06-01,98.068
1998-07-01,97.574
1998-08-01,94.287
1998-09-01,103.122
1998-10-01,102.097
1998-11-01,104.536
1998-12-01,165.957
1999-01-01,92.803
1999-02-01,77.536
1999-03-01,86.406
1999-04-01,89.375
1999-05-01,101.32
1999-06-01,101.673
1999-07-01,97.927
1999-08-01,97.644
1999-09-01,99.659
1999-10-01,99.977
1999-11-01,103.9
1999-12-01,168.748
