ds,y
2009-01-01,909.208
2009-04-01,680.408
2009-07-01,512.895
2009-10-01,585.285
2010-01-01,706.704
2010-04-01,388.075
2010-07-01,422.333
2010-10-01,598.629
2011-01-01,818.16
2011-04-01,335.676
2011-07-01,294.301
2011-10-01,550.487
2012-01-01,745.793
2012-04-01,530.524
2012-07-01,422.914
2012-10-01,518.792
2013-01-01,538.709
2013-04-01,288.143
2013-07-01,246.057
2013-10-01,468.233
2014-01-01,608.684
2014-04-01,445.131
2014-07-01,376.332
2014-10-01,354.986
2015-01-01,653.638
2015-04-01,385.072
2015-07-01,318.214
2015-10-01,433.382
2016-01-01,776.881
2016-04-01,505.536
2016-07-01,368.27
2016-10-01,433.851
2017-01-01,820.26
2017-04-01,461.819
2017-07-01,402.138
2017-10-01,462.98
2018-01-01,846.342
2018-04-01,506.207
2018-07-01,370.561
2018-10-01,430.812
2019-01-01,486.202
2019-04-01,453.331
2019-07-01,226.82
2019-10-01,500.855
2020-01-01,655.39
2020-04-01,403.088
2020-07-01,242.775
2020-10-01,447.695
2021-01-01,895.03
2021-04-01,509.059
2021-07-01,379.278
2021-10-01,422.101
2022-01-01,797.072
2022-04-01,442.183
2022-07-01,311.498
2022-10-01,424.676
2023-01-01,981.563
2023-04-01,489.221
2023-07-01,375.302
2023-10-01,472.714
2024-01-01,714.254
2024-04-01,443.655
