ds,y
1987-01-01,102.551
1987-04-01,42.211
1987-07-01,7.351
1987-10-01,76.405
1988-01-01,42.813
1988-04-01,39.026
1988-07-01,51.214
1988-10-01,41.853
1989-01-01,56.68
1989-04-01,44.952
1989-07-01,118.152
1989-10-01,58.555
1990-01-01,52.015
1990-04-01,52.733
1990-07-01,69.704
1990-10-01,61.72
1991-01-01,58.661
1991-04-01,38.25
1991-07-01,104.295
1991-10-01,114.183
1992-01-01,69.668
1992-04-01,49.174
1992-07-01,59.458
1992-10-01,90.113
1993-01-01,51.071
1993-04-01,56.872
1993-07-01,40.577
1993-10-01,81.793
1994-01-01,41.401
1994-04-01,92.387
1994-07-01,12.818
1994-10-01,54.316
1995-01-01,55.491
1995-04-01,54.303
1995-07-01,40.685
1995-10-01,48.05
1996-01-01,65.387
1996-04-01,30.866
1996-07-01,44.22
1996-10-01,32.495
1997-01-01,82.536
1997-04-01,16.565
1997-07-01,41.557
1997-10-01,55.819
1998-01-01,55.813
1998-04-01,99.135
1998-07-01,59.899
1998-10-01,106.695
1999-01-01,64.071
1999-04-01,60.922
1999-07-01,68.765
1999-10-01,22.1
2000-01-01,70.188
2000-04-01,99.378
2000-07-01,63.842
2000-10-01,68.538
2001-01-01,56.771
2001-04-01,26.292
2001-07-01,41.354
2001-10-01,55.133
2002-01-01,57.615
2002-04-01,76.1
2002-07-01,65.674
2002-10-01,25.251
2003-01-01,56.888
2003-04-01,51.738
2003-07-01,40.816
2003-10-01,76.934
