ds,y
2008-01-01,49.282
2008-02-01,41.661
2008-03-01,47.151
2008-04-01,50.962
2008-05-01,53.351
2008-06-01,52.641
2008-07-01,55.16
2008-08-01,51.543
2008-09-01,57.033
2008-10-01,55.806
2008-11-01,57.227
2008-12-01,80.996
2009-01-01,51.801
2009-02-01,43.857
2009-03-01,55.483
2009-04-01,55.677
2009-05-01,56.968
2009-06-01,57.033
2009-07-01,57.162
2009-08-01,57.743
2009-09-01,63.104
2009-10-01,63.169
2009-11-01,65.946
2009-12-01,83.45
2010-01-01,57.421
2010-02-01,48.507
2010-03-01,55.16
2010-04-01,56.904
2010-05-01,60.392
2010-06-01,65.236
2010-07-01,53.545
2010-08-01,58.196
2010-09-01,64.461
2010-10-01,63.621
2010-11-01,67.755
2010-12-01,86.228
2011-01-01,59.746
2011-02-01,49.605
2011-03-01,52.253
2011-04-01,52.77
2011-05-01,61.296
2011-06-01,55.806
2011-07-01,55.87
2011-08-01,57.098
2011-09-01,60.456
2011-10-01,63.298
2011-11-01,61.36
2011-12-01,83.257
2012-01-01,53.803
2012-02-01,43.275
2012-03-01,45.794
2012-04-01,52.06
2012-05-01,64.913
2012-06-01,57.743
2012-07-01,59.1
2012-08-01,61.296
2012-09-01,69.951
2012-10-01,76.604
2012-11-01,75.377
2012-12-01,100.244
2013-01-01,75.183
2013-02-01,61.167
2013-03-01,63.621
2013-04-01,66.463
2013-05-01,74.214
2013-06-01,77.508
2013-07-01,78.735
2013-08-01,75.57
2013-09-01,80.285
2013-10-01,85.13
2013-11-01,78.154
2013-12-01,108.511
2014-01-01,77.12
2014-02-01,64.525
2014-03-01,79.252
2014-04-01,78.671
2014-05-01,80.156
2014-06-01,85.13
2014-07-01,66.98
2014-08-01,66.076
2014-09-01,76.022
2014-10-01,77.766
2014-11-01,73.245
2014-12-01,105.54
2015-01-01,68.272
2015-02-01,49.799
2015-03-01,55.547
2015-04-01,61.877
2015-05-01,64.59
2015-06-01,78.606
2015-07-01,61.231
2015-08-01,64.913
2015-09-01,77.443
2015-10-01,72.276
2015-11-01,74.601
2015-12-01,112.322
2016-01-01,84.419
2016-02-01,60.779
2016-03-01,69.886
2016-04-01,83.321
2016-05-01,86.809
2016-06-01,86.098
2016-07-01,84.355
2016-08-01,82.869
2016-09-01,92.751
2016-10-01,98.371
2016-11-01,97.402
2016-12-01,141.904
2017-01-01,96.497
2017-02-01,66.399
2017-03-01,78.606
2017-04-01,84.548
2017-05-01,88.23
2017-06-01,84.871
2017-07-01,87.649
2017-08-01,92.428
2017-09-01,102.956
2017-10-01,107.93
2017-11-01,115.81
2017-12-01,158.891
2018-01-01,119.621
2018-02-01,85.453
2018-03-01,97.014
2018-04-01,106.251
2018-05-01,108.317
2018-06-01,106.767
2018-07-01,111.999
2018-08-01,106.057
2018-09-01,123.496
2018-10-01,125.95
2018-11-01,122.204
2018-12-01,172.132
2019-01-01,123.948
2019-02-01,91.524
2019-03-01,97.66
2019-04-01,107.542
2019-05-01,114.583
2019-06-01,127.694
2019-07-01,120.912
2019-08-01,113.355
2019-09-01,130.989
2019-10-01,131.828
2019-11-01,131.957
2019-12-01,176.783
2020-01-01,135.639
2020-02-01,93.074
2020-03-01,109.545
2020-04-01,118.91
2020-05-01,120.912
2020-06-01,131.182
2020-07-01,128.728
2020-08-01,135.962
2020-09-01,148.04
2020-10-01,146.684
2020-11-01,141.646
2020-12-01,211.145
2021-01-01,141.84
2021-02-01,101.083
2021-03-01,115.552
2021-04-01,116.779
2021-05-01,124.594
2021-06-01,134.929
2021-07-01,134.283
2021-08-01,137.964
2021-09-01,145.973
2021-10-01,129.761
2021-11-01,131.376
2021-12-01,178.204
2022-01-01,129.761
2022-02-01,92.88
2022-03-01,109.803
2022-04-01,114.131
2022-05-01,115.745
2022-06-01,137.9
2022-07-01,129.955
2022-08-01,130.02
2022-09-01,139.127
2022-10-01,115.874
2022-11-01,113.355
2022-12-01,152.497
2023-01-01,101.988
2023-02-01,79.446
2023-03-01,88.23
2023-04-01,92.041
2023-05-01,92.17
2023-06-01,91.395
2023-07-01,101.794
2023-08-01,105.669
2023-09-01,115.81
2023-10-01,100.954
2023-11-01,103.279
2023-12-01,158.116
2024-01-01,110.772
2024-02-01,81.383
2024-03-01,99.339
2024-04-01,107.607
2024-05-01,118.587
2024-06-01,110.901
2024-07-01,117.36
2024-08-01,121.235
2024-09-01,129.955
2024-10-01,122.398
2024-11-01,118.781
2024-12-01,164.64
2025-01-01,108.511
2025-02-01,83.257
2025-03-01,97.983
2025-04-01,104.054
2025-05-01,113.614
2025-06-01,115.681
2025-07-01,121.881
2025-08-01,118.458
2025-09-01,134.67
2025-10-01,129.18
2025-11-01,125.175
2025-12-01,174.845
2026-01-01,110.126
2026-02-01,96.627
2026-03-01,106.832
2026-04-01,114.583
2026-05-01,125.498
2026-06-01,123.302
2026-07-01,123.948
2026-08-01,118.91
2026-09-01,132.539
2026-10-01,132.28
2026-11-01,132.797
2026-12-01,196.224
2027-01-01,111.999
2027-02-01,94.043
2027-03-01,109.415
2027-04-01,112.71
2027-05-01,126.273
2027-06-01,126.919
2027-07-01,124.077
2027-08-01,120.073
2027-09-01,124.982
2027-10-01,126.79
2027-11-01,128.276
2027-12-01,191.897
2028-01-01,119.556
2028-02-01,88.424
2028-03-01,96.497
2028-04-01,106.444
2028-05-01,118.135
2028-06-01,117.554
2028-07-01,117.489
2028-08-01,114.453
2028-09-01,124.077
2028-10-01,120.008
2028-11-01,128.922
2028-12-01,181.498
2029-01-01,113.291
2029-02-01,86.874
2029-03-01,101.083
2029-04-01,100.373
2029-05-01,118.652
2029-06-01,113.032
2029-07-01,126.144
2029-08-01,114.841
2029-09-01,124.142
2029-10-01,123.044
2029-11-01,121.494
2029-12-01,194.61
