ds,y
2012-01-01,388.469
2012-04-01,404.281
2012-07-01,472.234
2012-10-01,383.869
2013-01-01,452.242
2013-04-01,408.088
2013-07-01,522.428
2013-10-01,544.594
2014-01-01,432.209
2014-04-01,569.382
2014-07-01,600.91
2014-10-01,490.769
2015-01-01,453.35
2015-04-01,430.919
2015-07-01,500.987
2015-10-01,548.334
2016-01-01,580.668
2016-04-01,722.121
2016-07-01,605.465
2016-10-01,609.925
2017-01-01,649.179
2017-04-01,602.551
2017-07-01,529.247
2017-10-01,626.236
2018-01-01,609.448
2018-04-01,555.238
2018-07-01,529.37
2018-10-01,558.594
2019-01-01,537.389
2019-04-01,564.613
2019-07-01,471.443
2019-10-01,505.47
2020-01-01,485.037
2020-04-01,626.308
2020-07-01,707.284
2020-10-01,495.921
2021-01-01,629.568
2021-04-01,431.512
2021-07-01,504.361
2021-10-01,605.689
2022-01-01,488.382
2022-04-01,505.47
2022-07-01,565.033
2022-10-01,479.663
2023-01-01,526.415
2023-04-01,501.998
2023-07-01,503.988
2023-10-01,560.619
2024-01-01,569.177
2024-04-01,656.958
2024-07-01,583.051
2024-10-01,578.878
2025-01-01,670.753
2025-04-01,578.801
2025-07-01,598.989
2025-10-01,675.349
2026-01-01,733.396
2026-04-01,545.965
2026-07-01,550.422
2026-10-01,779.352
2027-01-01,728.454
2027-04-01,576.977
2027-07-01,716.48
2027-10-01,676.174
2028-01-01,675.77
2028-04-01,677.469
