ds,y
1990-01-01,53.189
1990-04-01,142.215
1990-07-01,267.667
1990-10-01,93.177
1991-01-01,70.063
1991-04-01,115.325
1991-07-01,113.291
1991-10-01,83.388
1992-01-01,30.311
1992-04-01,128.67
1992-07-01,99.899
1992-10-01,68.248
1993-01-01,66.547
1993-04-01,201.145
1993-07-01,102.229
1993-10-01,107.461
1994-01-01,76.138
1994-04-01,97.014
1994-07-01,111.868
1994-10-01,84.092
1995-01-01,105.919
1995-04-01,37.327
1995-07-01,109.726
1995-10-01,85.995
1996-01-01,56.603
1996-04-01,155.944
1996-07-01,168.527
1996-10-01,60.983
1997-01-01,159.828
1997-04-01,204.926
1997-07-01,91.809
1997-10-01,105.703
1998-01-01,36.063
1998-04-01,80.567
1998-07-01,146.247
1998-10-01,49.138
1999-01-01,40.295
1999-04-01,78.715
1999-07-01,135.471
1999-10-01,74.925
2000-01-01,2.797
2000-04-01,109.959
2000-07-01,163.577
2000-10-01,63.127
2001-01-01,29.234
2001-04-01,159.644
2001-07-01,76.035
2001-10-01,84.924
2002-01-01,86.96
2002-04-01,105.392
2002-07-01,100.721
2002-10-01,32.628
2003-01-01,59.252
2003-04-01,117.695
2003-07-01,136.032
2003-10-01,68.935
2004-01-01,61.59
2004-04-01,104.754
2004-07-01,165.611
2004-10-01,30.289
