ds,y
1987-01-01,870.57
1987-02-01,709.204
1987-03-01,797.148
1987-04-01,906.877
1987-05-01,840.717
1987-06-01,839.91
1987-07-01,793.921
1987-08-01,733.408
1987-09-01,732.602
1987-10-01,793.114
1987-11-01,839.91
1987-12-01,1227.995
1988-01-01,775.364
1988-02-01,608.35
1988-03-01,719.692
1988-04-01,838.296
1988-05-01,831.842
1988-06-01,772.943
1988-07-01,768.909
1988-08-01,692.26
1988-09-01,687.419
1988-10-01,812.478
1988-11-01,770.523
1988-12-01,1106.971
1989-01-01,754.386
1989-02-01,565.588
1989-03-01,709.204
1989-04-01,864.922
1989-05-01,839.103
1989-06-01,727.761
1989-07-01,796.341
1989-08-01,722.92
1989-09-01,764.068
1989-10-01,817.319
1989-11-01,872.99
1989-12-01,1219.12
1990-01-01,748.738
1990-02-01,668.055
1990-03-01,829.421
1990-04-01,985.946
1990-05-01,1038.39
1990-06-01,965.776
1990-07-01,1065.016
1990-08-01,959.321
1990-09-01,983.526
1990-10-01,989.98
1990-11-01,1087.607
1990-12-01,1667.718
1991-01-01,914.138
1991-02-01,867.342
1991-03-01,1089.221
1991-04-01,1165.869
1991-05-01,1146.505
1991-06-01,1186.847
1991-07-01,1129.562
1991-08-01,1130.369
1991-09-01,1219.12
1991-10-01,1227.188
1991-11-01,1254.621
1991-12-01,1871.039
1992-01-01,1098.096
1992-02-01,977.878
1992-03-01,1151.346
1992-04-01,1198.949
1992-05-01,1334.497
1992-06-01,1479.726
1992-07-01,894.774
1992-08-01,969.003
1992-09-01,980.298
1992-10-01,980.298
1992-11-01,1190.881
1992-12-01,1774.219
1993-01-01,1004.503
1993-02-01,873.797
1993-03-01,1109.391
1993-04-01,1149.733
1993-05-01,1166.676
1993-06-01,1110.198
1993-07-01,1043.231
1993-08-01,988.367
1993-09-01,992.401
1993-10-01,1090.027
1993-11-01,1149.733
1993-12-01,1696.763
1994-01-01,1052.913
1994-02-01,921.4
1994-03-01,1131.176
1994-04-01,1332.883
1994-05-01,1361.929
1994-06-01,1233.643
1994-07-01,1204.597
1994-08-01,1189.267
1994-09-01,1228.802
1994-10-01,1328.042
1994-11-01,1419.214
1994-12-01,1912.994
1995-01-01,1104.55
1995-02-01,1027.095
1995-03-01,1307.871
1995-04-01,1439.385
1995-05-01,1469.237
1995-06-01,1345.792
1995-07-01,1269.95
1995-08-01,1232.029
1995-09-01,1269.144
1995-10-01,1441.805
1995-11-01,1517.647
1995-12-01,2110.667
1996-01-01,1321.588
1996-02-01,1256.234
1996-03-01,1381.293
1996-04-01,1595.91
1996-05-01,1648.354
1996-06-01,1564.443
1996-07-01,1543.466
1996-08-01,1474.078
1996-09-01,1504.738
1996-10-01,1534.591
1996-11-01,1553.148
1996-12-01,2117.929
1997-01-01,1327.235
1997-02-01,1220.734
1997-03-01,1444.226
1997-04-01,1430.51
1997-05-01,1619.308
1997-06-01,1562.83
1997-07-01,1418.407
1997-08-01,1423.248
1997-09-01,1592.682
1997-10-01,1549.92
1997-11-01,1531.363
1997-12-01,2113.895
1998-01-01,1346.599
1998-02-01,1231.223
1998-03-01,1466.01
1998-04-01,1517.647
