ds,y
2001-01-01,1083.482
2001-02-01,907.306
2001-03-01,1006.72
2001-04-01,1197.997
2001-05-01,1343.342
2001-06-01,1152.065
2001-07-01,1347.117
2001-08-01,1167.795
2001-09-01,1136.964
2001-10-01,1379.206
2001-11-01,1330.129
2001-12-01,1893.263
2002-01-01,1290.489
2002-02-01,1119.976
2002-03-01,1135.077
2002-04-01,1294.264
2002-05-01,1416.958
2002-06-01,1378.577
2002-07-01,1385.498
2002-08-01,1097.954
2002-09-01,1106.134
2002-10-01,1245.187
2002-11-01,1252.737
2002-12-01,1705.761
2003-01-01,1090.404
2003-02-01,950.092
2003-03-01,1053.91
2003-04-01,1124.38
2003-05-01,1293.006
2003-06-01,1205.547
2003-07-01,1179.121
2003-08-01,1031.259
2003-09-01,1109.909
2003-10-01,1189.188
2003-11-01,1235.749
2003-12-01,1713.312
2004-01-01,1135.077
2004-02-01,934.991
2004-03-01,1135.706
2004-04-01,1223.165
2004-05-01,1270.355
2004-06-01,1150.178
2004-07-01,1110.538
2004-08-01,1077.82
2004-09-01,1148.919
2004-10-01,1180.379
2004-11-01,1226.311
2004-12-01,1753.58
2005-01-01,1168.424
2005-02-01,975.26
2005-03-01,1144.515
2005-04-01,1301.186
2005-05-01,1293.006
2005-06-01,1264.063
2005-07-01,1202.401
2005-08-01,1182.267
2005-09-01,1172.2
2005-10-01,1222.536
2005-11-01,1309.365
2005-12-01,1920.948
2006-01-01,1289.231
2006-02-01,1131.302
2006-03-01,1206.806
2006-04-01,1323.208
2006-05-01,1392.42
2006-06-01,1265.95
2006-07-01,1360.33
2006-08-01,1258.4
2006-09-01,1219.39
2006-10-01,1299.927
2006-11-01,1325.095
2006-12-01,1932.902
2007-01-01,1274.13
2007-02-01,1049.506
2007-03-01,1097.325
2007-04-01,1261.546
2007-05-01,1435.205
2007-06-01,1261.546
2007-07-01,1306.848
2007-08-01,1165.278
2007-09-01,1232.603
2007-10-01,1256.512
2007-11-01,1327.612
2007-12-01,1995.193
2008-01-01,1189.188
2008-02-01,1004.203
2008-03-01,1104.875
2008-04-01,1272.872
2008-05-01,1489.316
2008-06-01,1282.31
2008-07-01,1332.016
2008-08-01,1245.816
2008-09-01,1296.781
2008-10-01,1427.655
