ds,y
1998-01-01,15.576
1998-02-01,12.629
1998-03-01,14.313
1998-04-01,14.734
1998-05-01,15.576
1998-06-01,15.576
1998-07-01,15.576
1998-08-01,14.734
1998-09-01,17.26
1998-10-01,21.049
1998-11-01,18.102
1998-12-01,26.522
1999-01-01,17.26
1999-02-01,15.155
1999-03-01,18.523
1999-04-01,19.786
1999-05-01,15.997
1999-06-01,20.628
1999-07-01,17.26
1999-08-01,17.26
1999-09-01,22.312
1999-10-01,22.312
1999-11-01,25.68
1999-12-01,38.309
2000-01-01,21.891
2000-02-01,20.628
2000-03-01,19.365
2000-04-01,18.944
2000-05-01,19.365
2000-06-01,18.102
2000-07-01,18.944
2000-08-01,21.049
2000-09-01,20.628
2000-10-01,18.523
2000-11-01,22.312
2000-12-01,38.73
2001-01-01,17.681
2001-02-01,18.523
2001-03-01,19.365
2001-04-01,20.628
2001-05-01,20.207
2001-06-01,19.786
2001-07-01,18.523
2001-08-01,20.207
2001-09-01,20.628
2001-10-01,22.733
2001-11-01,23.996
2001-12-01,39.993
2002-01-01,21.47
2002-02-01,19.365
2002-03-01,21.891
2002-04-01,22.733
2002-05-01,23.154
2002-06-01,19.786
2002-07-01,19.786
2002-08-01,20.207
2002-09-01,20.628
2002-10-01,22.733
2002-11-01,25.259
2002-12-01,39.993
2003-01-01,19.365
2003-02-01,17.26
2003-03-01,18.102
2003-04-01,22.312
2003-05-01,20.207
2003-06-01,19.365
2003-07-01,21.891
2003-08-01,19.365
2003-09-01,20.628
2003-10-01,23.575
2003-11-01,26.101
2003-12-01,45.887
2004-01-01,19.786
2004-02-01,17.26
2004-03-01,18.944
2004-04-01,18.102
2004-05-01,16.839
2004-06-01,18.102
2004-07-01,19.365
2004-08-01,18.523
2004-09-01,19.365
2004-10-01,21.891
2004-11-01,23.154
2004-12-01,41.677
2005-01-01,19.786
2005-02-01,18.102
2005-03-01,19.365
2005-04-01,19.365
2005-05-01,17.681
2005-06-01,19.365
2005-07-01,18.102
2005-08-01,18.523
2005-09-01,20.207
2005-10-01,20.628
2005-11-01,23.996
2005-12-01,41.256
2006-01-01,19.365
2006-02-01,18.102
2006-03-01,17.26
2006-04-01,19.786
2006-05-01,18.523
2006-06-01,18.944
2006-07-01,15.155
2006-08-01,17.26
2006-09-01,16.418
2006-10-01,19.365
2006-11-01,22.312
2006-12-01,35.362
2007-01-01,19.786
2007-02-01,16.418
2007-03-01,18.944
2007-04-01,21.049
2007-05-01,21.049
2007-06-01,19.786
2007-07-01,18.944
2007-08-01,22.733
2007-09-01,21.049
2007-10-01,23.154
2007-11-01,27.785
2007-12-01,44.203
2008-01-01,25.68
2008-02-01,22.733
2008-03-01,23.996
2008-04-01,22.733
2008-05-01,22.312
2008-06-01,21.049
2008-07-01,19.365
2008-08-01,21.049
2008-09-01,19.786
2008-10-01,21.47
2008-11-01,24.417
2008-12-01,41.256
2009-01-01,22.733
2009-02-01,18.944
2009-03-01,21.891
2009-04-01,20.207
2009-05-01,20.628
2009-06-01,20.207
2009-07-01,21.049
2009-08-01,21.049
2009-09-01,21.47
2009-10-01,22.312
2009-11-01,22.733
2009-12-01,37.467
2010-01-01,22.733
2010-02-01,20.628
2010-03-01,23.154
2010-04-01,21.47
2010-05-01,21.049
2010-06-01,21.891
2010-07-01,21.891
2010-08-01,21.47
2010-09-01,22.312
2010-10-01,24.417
2010-11-01,26.101
2010-12-01,43.361
2011-01-01,23.996
2011-02-01,24.417
2011-03-01,24.838
2011-04-01,29.469
2011-05-01,26.522
2011-06-01,26.522
2011-07-01,25.68
2011-08-01,26.101
2011-09-01,26.943
2011-10-01,24.838
2011-11-01,26.522
2011-12-01,42.098
2012-01-01,25.259
2012-02-01,22.733
2012-03-01,25.259
2012-04-01,24.417
2012-05-01,24.417
2012-06-01,24.838
2012-07-01,23.996
2012-08-01,25.68
2012-09-01,25.68
2012-10-01,23.996
2012-11-01,27.785
2012-12-01,40.835
2013-01-01,25.68
2013-02-01,24.417
2013-03-01,28.206
2013-04-01,23.154
2013-05-01,23.996
2013-06-01,24.838
2013-07-01,24.417
2013-08-01,24.838
2013-09-01,24.838
2013-10-01,29.89
2013-11-01,34.52
2013-12-01,52.202
2014-01-01,32.836
2014-02-01,31.574
2014-03-01,32.836
2014-04-01,29.89
2014-05-01,28.206
2014-06-01,26.522
2014-07-01,26.522
2014-08-01,26.522
2014-09-01,26.522
2014-10-01,29.048
2014-11-01,30.732
2014-12-01,54.727
2015-01-01,31.574
2015-02-01,26.943
2015-03-01,31.574
2015-04-01,34.52
2015-05-01,32.415
2015-06-01,30.732
2015-07-01,27.785
2015-08-01,27.364
2015-09-01,25.259
2015-10-01,28.206
2015-11-01,29.048
2015-12-01,48.413
2016-01-01,33.257
2016-02-01,26.522
2016-03-01,30.732
2016-04-01,24.417
2016-05-01,23.575
2016-06-01,23.996
2016-07-01,23.154
2016-08-01,20.628
2016-09-01,21.47
2016-10-01,33.678
2016-11-01,36.204
2016-12-01,60.2
2017-01-01,37.046
2017-02-01,30.311
2017-03-01,35.362
2017-04-01,35.783
2017-05-01,30.311
2017-06-01,32.415
2017-07-01,31.994
2017-08-01,32.836
2017-09-01,33.678
2017-10-01,40.414
2017-11-01,47.15
2017-12-01,74.934
2018-01-01,49.676
2018-02-01,40.835
2018-03-01,43.782
2018-04-01,43.782
2018-05-01,39.151
2018-06-01,36.625
2018-07-01,33.257
2018-08-01,37.888
2018-09-01,35.783
2018-10-01,38.309
2018-11-01,46.729
2018-12-01,77.881
2019-01-01,45.045
2019-02-01,41.677
2019-03-01,44.203
2019-04-01,37.888
2019-05-01,31.574
2019-06-01,30.311
2019-07-01,33.257
2019-08-01,34.52
2019-09-01,34.52
2019-10-01,38.309
2019-11-01,50.097
2019-12-01,82.933
