ds,y
1988-01-01,8.087
1988-02-01,6.889
1988-03-01,7.189
1988-04-01,8.858
1988-05-01,9.457
1988-06-01,9.371
1988-07-01,8.515
1988-08-01,7.788
1988-09-01,8.729
1988-10-01,9.671
1988-11-01,10.184
1988-12-01,18.143
1989-01-01,8.087
1989-02-01,7.274
1989-03-01,8.729
1989-04-01,9.542
1989-05-01,10.569
1989-06-01,10.569
1989-07-01,8.558
1989-08-01,7.788
1989-09-01,9.071
1989-10-01,9.671
1989-11-01,10.355
1989-12-01,18.742
1990-01-01,8.13
1990-02-01,7.445
1990-03-01,9.457
1990-04-01,9.628
1990-05-01,10.141
1990-06-01,10.098
1990-07-01,9.114
1990-08-01,8.344
1990-09-01,9.328
1990-10-01,9.927
1990-11-01,10.27
1990-12-01,19.555
1991-01-01,7.959
1991-02-01,7.36
1991-03-01,9.114
1991-04-01,10.184
1991-05-01,9.713
1991-06-01,9.713
1991-07-01,10.698
1991-08-01,8.515
1991-09-01,8.772
1991-10-01,9.927
1991-11-01,10.826
1991-12-01,19.983
1992-01-01,8.43
1992-02-01,7.617
1992-03-01,8.601
1992-04-01,10.098
1992-05-01,10.098
1992-06-01,10.098
1992-07-01,9.499
1992-08-01,8.9
1992-09-01,8.686
1992-10-01,9.756
1992-11-01,10.783
1992-12-01,19.384
1993-01-01,8.601
1993-02-01,7.745
1993-03-01,9.114
1993-04-01,8.815
1993-05-01,10.484
1993-06-01,8.558
1993-07-01,10.954
1993-08-01,8.216
1993-09-01,9.114
1993-10-01,9.927
1993-11-01,11.254
1993-12-01,18.828
1994-01-01,9.842
1994-02-01,7.403
1994-03-01,8.472
1994-04-01,10.612
1994-05-01,10.484
1994-06-01,8.686
1994-07-01,11.639
1994-08-01,8.472
1994-09-01,9.2
1994-10-01,10.227
1994-11-01,11.04
1994-12-01,20.026
1995-01-01,10.526
1995-02-01,7.274
1995-03-01,9.114
1995-04-01,10.184
1995-05-01,10.098
1995-06-01,8.472
1995-07-01,11.04
1995-08-01,8.686
1995-09-01,9.499
1995-10-01,10.27
1995-11-01,11.896
1995-12-01,21.352
1996-01-01,9.457
1996-02-01,8.216
1996-03-01,9.328
1996-04-01,11.04
1996-05-01,11.553
1996-06-01,12.537
1996-07-01,8.9
1996-08-01,9.585
1996-09-01,10.227
1996-10-01,10.869
1996-11-01,12.024
1996-12-01,22.336
1997-01-01,9.585
1997-02-01,8.173
1997-03-01,10.655
1997-04-01,11.04
1997-05-01,11.382
1997-06-01,10.355
1997-07-01,11.639
1997-08-01,9.371
1997-09-01,9.842
1997-10-01,11.083
1997-11-01,12.837
1997-12-01,22.807
1998-01-01,10.098
1998-02-01,8.686
1998-03-01,10.526
1998-04-01,11.297
1998-05-01,12.152
1998-06-01,11.767
1998-07-01,10.484
1998-08-01,10.398
1998-09-01,10.355
1998-10-01,11.853
1998-11-01,14.506
1998-12-01,22.55
1999-01-01,10.398
1999-02-01,9.2
1999-03-01,11.168
1999-04-01,12.452
1999-05-01,12.238
1999-06-01,13.094
1999-07-01,10.74
1999-08-01,10.441
1999-09-01,10.997
1999-10-01,12.11
1999-11-01,14.078
1999-12-01,22.978
2000-01-01,11.083
2000-02-01,9.243
2000-03-01,11.168
2000-04-01,12.366
2000-05-01,12.666
2000-06-01,13.094
2000-07-01,11.125
2000-08-01,10.355
2000-09-01,11.382
2000-10-01,11.81
2000-11-01,13.479
2000-12-01,22.379
2001-01-01,10.826
2001-02-01,9.157
