ds,y
2006-01-01,696.209
2006-04-01,1263.742
2006-07-01,1820.862
2006-10-01,652.553
2007-01-01,499.066
2007-04-01,440.349
2007-07-01,918.91
2007-10-01,601.323
2008-01-01,489.871
2008-04-01,957.706
2008-07-01,1199.512
2008-10-01,682.786
2009-01-01,274.031
2009-04-01,439.477
2009-07-01,1070.772
2009-10-01,638.372
2010-01-01,212.449
2010-04-01,700.904
2010-07-01,826.096
2010-10-01,491.9
2011-01-01,392.935
2011-04-01,457.948
2011-07-01,1181.28
2011-10-01,560.68
2012-01-01,383.073
2012-04-01,619.605
2012-07-01,995.855
2012-10-01,565.413
2013-01-01,562.728
2013-04-01,883.391
2013-07-01,1357.304
2013-10-01,611.154
2014-01-01,423.842
2014-04-01,713.047
2014-07-01,1072.562
2014-10-01,492.765
2015-01-01,399.962
2015-04-01,541.339
2015-07-01,1017.528
2015-10-01,342.204
2016-01-01,150.337
2016-04-01,698.603
2016-07-01,956.919
2016-10-01,434.333
2017-01-01,272.037
2017-04-01,651.101
2017-07-01,1092.071
2017-10-01,316.724
2018-01-01,209.516
2018-04-01,559.59
2018-07-01,1048.28
2018-10-01,479.612
2019-01-01,187.982
2019-04-01,752.74
2019-07-01,1237.356
2019-10-01,408.467
2020-01-01,216.569
2020-04-01,278.559
2020-07-01,995.797
2020-10-01,321.819
2021-01-01,571.858
2021-04-01,1128.427
