ds,y
1999-10-01,5449.33
1999-11-01,5469.922
1999-12-01,5494.32
2000-01-01,5493.634
2000-02-01,5508.422
2000-03-01,5525.021
2000-04-01,5536.69
2000-05-01,5554.598
2000-06-01,5596.406
2000-07-01,5620.243
2000-08-01,5621.678
2000-09-01,5616.25
2000-10-01,5639.774
2000-11-01,5661.677
2000-12-01,5679.086
2001-01-01,5673.782
2001-02-01,5691.566
2001-03-01,5705.669
2001-04-01,5722.891
2001-05-01,5747.04
2001-06-01,5787.288
2001-07-01,5807.443
2001-08-01,5812.997
2001-09-01,5812.872
2001-10-01,5829.096
2001-11-01,5843.822
2001-12-01,5856.677
2002-01-01,5848.565
2002-02-01,5858.299
2002-03-01,5885.069
2002-04-01,5901.48
2002-05-01,5918.078
2002-06-01,5959.886
2002-07-01,5978.544
2002-08-01,5988.403
2002-09-01,5980.603
2002-10-01,5996.016
2002-11-01,6012.053
2002-12-01,6031.709
2003-01-01,6021.475
2003-02-01,6040.632
2003-03-01,6064.282
2003-04-01,6072.331
2003-05-01,6086.621
2003-06-01,6132.61
2003-07-01,6146.462
2003-08-01,6158.131
2003-09-01,6152.578
2003-10-01,6168.427
2003-11-01,6193.013
2003-12-01,6212.294
2004-01-01,6189.83
2004-02-01,6215.227
2004-03-01,6241.248
2004-04-01,6252.043
2004-05-01,6273.509
2004-06-01,6311.323
2004-07-01,6328.046
2004-08-01,6335.909
2004-09-01,6326.736
2004-10-01,6346.142
2004-11-01,6369.792
2004-12-01,6383.707
2005-01-01,6375.658
2005-02-01,6387.264
2005-03-01,6410.352
2005-04-01,6426.139
2005-05-01,6447.418
2005-06-01,6474.998
2005-07-01,6493.406
2005-08-01,6497.275
2005-09-01,6483.859
2005-10-01,6504.514
2005-11-01,6520.114
2005-12-01,6539.707
2006-01-01,6515.309
2006-02-01,6522.61
2006-03-01,6539.146
2006-04-01,6546.946
2006-05-01,6561.173
2006-06-01,6591.686
2006-07-01,6601.546
2006-08-01,6600.36
2006-09-01,6591.0
2006-10-01,6609.034
2006-11-01,6621.264
2006-12-01,6630.437
2007-01-01,6606.662
2007-02-01,6620.39
2007-03-01,6639.298
2007-04-01,6651.154
2007-05-01,6656.52
2007-06-01,6685.848
2007-07-01,6695.582
2007-08-01,6695.77
2007-09-01,6679.171
2007-10-01,6693.274
2007-11-01,6710.184
2007-12-01,6719.294
2008-01-01,6701.573
2008-02-01,6708.749
2008-03-01,6724.474
2008-04-01,6727.968
2008-05-01,6741.883
2008-06-01,6782.069
2008-07-01,6796.608
2008-08-01,6803.41
2008-09-01,6798.293
2008-10-01,6817.762
2008-11-01,6840.413
2008-12-01,6860.069
2009-01-01,6855.202
2009-02-01,6874.858
2009-03-01,6900.13
2009-04-01,6915.979
2009-05-01,6938.755
2009-06-01,6992.544
2009-07-01,7013.261
2009-08-01,7031.419
2009-09-01,7026.552
2009-10-01,7050.638
2009-11-01,7078.656
2009-12-01,7098.749
