ds,y
1998-01-01,272.407
1998-02-01,273.031
1998-03-01,274.529
1998-04-01,275.58
1998-05-01,277.025
1998-06-01,280.27
1998-07-01,279.004
1998-08-01,280.858
1998-09-01,281.946
1998-10-01,283.444
1998-11-01,284.977
1998-12-01,286.029
1999-01-01,285.922
1999-02-01,287.259
1999-03-01,288.275
1999-04-01,289.113
1999-05-01,289.648
1999-06-01,290.95
1999-07-01,288.275
1999-08-01,289.827
1999-09-01,290.13
1999-10-01,290.843
1999-11-01,291.307
1999-12-01,291.895
2000-01-01,291.164
2000-02-01,291.217
2000-03-01,291.538
2000-04-01,291.467
2000-05-01,292.162
2000-06-01,294.783
2000-07-01,292.537
2000-08-01,294.659
2000-09-01,295.14
2000-10-01,296.245
2000-11-01,296.656
2000-12-01,297.422
2001-01-01,296.566
2001-02-01,297.565
2001-03-01,298.581
2001-04-01,299.508
2001-05-01,300.721
2001-06-01,303.181
2001-07-01,300.828
2001-08-01,303.966
2001-09-01,304.857
2001-10-01,305.981
2001-11-01,307.781
2001-12-01,308.869
2002-01-01,308.691
2002-02-01,309.671
2002-03-01,310.402
2002-04-01,310.581
2002-05-01,310.902
2002-06-01,312.56
2002-07-01,308.619
2002-08-01,310.492
2002-09-01,310.438
2002-10-01,310.064
2002-11-01,309.761
2002-12-01,309.547
2003-01-01,308.655
2003-02-01,308.37
2003-03-01,308.085
2003-04-01,308.102
2003-05-01,307.888
2003-06-01,308.78
2003-07-01,307.532
2003-08-01,307.781
2003-09-01,307.407
2003-10-01,308.085
2003-11-01,308.726
2003-12-01,308.566
2004-01-01,307.674
2004-02-01,309.244
2004-03-01,310.706
2004-04-01,311.098
2004-05-01,311.579
2004-06-01,314.878
2004-07-01,313.487
2004-08-01,314.182
2004-09-01,313.683
2004-10-01,314.022
2004-11-01,314.664
2004-12-01,314.664
2005-01-01,312.631
2005-02-01,310.278
2005-03-01,308.887
2005-04-01,306.105
2005-05-01,302.664
2005-06-01,301.541
2005-07-01,297.743
2005-08-01,295.265
2005-09-01,292.323
2005-10-01,289.506
2005-11-01,285.975
2005-12-01,283.854
2006-01-01,279.895
2006-02-01,278.576
2006-03-01,277.649
2006-04-01,277.274
2006-05-01,276.936
2006-06-01,278.487
2006-07-01,276.347
2006-08-01,275.705
2006-09-01,275.01
2006-10-01,274.154
2006-11-01,272.068
2006-12-01,271.016
2007-01-01,268.662
2007-02-01,266.291
2007-03-01,266.024
2007-04-01,264.829
2007-05-01,263.545
2007-06-01,264.276
2007-07-01,261.227
2007-08-01,261.744
2007-09-01,260.996
2007-10-01,261.37
2007-11-01,262.333
2007-12-01,262.957
2008-01-01,262.154
2008-02-01,262.725
2008-03-01,263.135
2008-04-01,265.15
2008-05-01,266.576
2008-06-01,268.68
2008-07-01,268.145
2008-08-01,268.93
2008-09-01,268.645
2008-10-01,269.786
2008-11-01,269.447
2008-12-01,269.75
2009-01-01,268.502
2009-02-01,268.627
2009-03-01,269.393
2009-04-01,270.089
2009-05-01,270.998
2009-06-01,272.87
2009-07-01,271.729
2009-08-01,272.656
2009-09-01,272.032
2009-10-01,272.674
2009-11-01,273.102
2009-12-01,273.797
2010-01-01,272.585
2010-02-01,273.263
2010-03-01,274.582
2010-04-01,275.616
2010-05-01,276.115
2010-06-01,278.112
2010-07-01,278.398
2010-08-01,279.271
2010-09-01,279.04
2010-10-01,278.772
2010-11-01,278.201
2010-12-01,279.057
2011-01-01,277.506
2011-02-01,277.47
2011-03-01,277.595
2011-04-01,278.041
2011-05-01,277.863
2011-06-01,280.216
2011-07-01,279.182
2011-08-01,279.2
2011-09-01,279.146
2011-10-01,279.664
2011-11-01,278.933
2011-12-01,278.933
2012-01-01,276.811
2012-02-01,276.276
2012-03-01,276.49
2012-04-01,274.475
2012-05-01,274.439
2012-06-01,274.457
2012-07-01,272.567
2012-08-01,273.851
2012-09-01,271.907
2012-10-01,269.429
2012-11-01,266.148
2012-12-01,261.37
2013-01-01,252.722
2013-02-01,247.801
2013-03-01,242.452
2013-04-01,237.032
2013-05-01,233.413
2013-06-01,231.416
2013-07-01,228.277
2013-08-01,228.509
2013-09-01,227.226
2013-10-01,226.37
2013-11-01,225.746
2013-12-01,225.246
2014-01-01,223.018
2014-02-01,222.108
2014-03-01,223.481
2014-04-01,224.551
2014-05-01,226.12
2014-06-01,228.812
2014-07-01,230.06
2014-08-01,231.915
2014-09-01,232.771
2014-10-01,233.216
2014-11-01,232.735
2014-12-01,233.43
2015-01-01,233.609
2015-02-01,233.448
2015-03-01,235.588
2015-04-01,236.782
2015-05-01,239.154
2015-06-01,242.131
2015-07-01,242.862
2015-08-01,243.54
2015-09-01,243.273
2015-10-01,243.486
2015-11-01,243.807
2015-12-01,245.002
2016-01-01,245.858
2016-02-01,246.892
2016-03-01,248.425
2016-04-01,249.638
2016-05-01,251.421
2016-06-01,253.917
2016-07-01,253.988
2016-08-01,254.113
2016-09-01,253.239
2016-10-01,252.812
2016-11-01,253.222
2016-12-01,252.829
2017-01-01,251.813
2017-02-01,252.401
2017-03-01,253.15
2017-04-01,253.953
2017-05-01,255.058
2017-06-01,256.681
2017-07-01,255.932
2017-08-01,256.467
2017-09-01,256.948
2017-10-01,257.305
2017-11-01,257.394
2017-12-01,257.394
2018-01-01,255.664
2018-02-01,256.146
2018-03-01,256.485
2018-04-01,257.608
2018-05-01,258.945
2018-06-01,260.354
2018-07-01,260.122
2018-08-01,260.496
2018-09-01,260.265
