ds,y
2013-01-01,52.488
2013-04-01,26.371
2013-07-01,19.67
2013-10-01,29.843
2014-01-01,39.648
2014-04-01,27.844
2014-07-01,20.638
2014-10-01,30.746
2015-01-01,39.359
2015-04-01,35.96
2015-07-01,27.385
2015-10-01,32.629
2016-01-01,41.341
2016-04-01,30.583
2016-07-01,24.025
2016-10-01,43.035
2017-01-01,36.861
2017-04-01,27.012
2017-07-01,14.538
2017-10-01,37.298
2018-01-01,52.533
2018-04-01,24.356
2018-07-01,18.291
2018-10-01,29.737
2019-01-01,52.7
2019-04-01,35.62
2019-07-01,18.528
2019-10-01,23.804
2020-01-01,41.727
2020-04-01,23.069
2020-07-01,17.285
2020-10-01,28.737
2021-01-01,51.373
2021-04-01,25.875
2021-07-01,19.642
2021-10-01,29.588
2022-01-01,49.309
2022-04-01,20.493
2022-07-01,21.649
2022-10-01,28.512
2023-01-01,49.259
2023-04-01,19.966
2023-07-01,20.341
2023-10-01,29.92
2024-01-01,40.514
2024-04-01,21.845
2024-07-01,22.809
2024-10-01,26.216
2025-01-01,38.014
2025-04-01,23.772
2025-07-01,21.011
2025-10-01,23.859
2026-01-01,39.338
2026-04-01,25.125
2026-07-01,20.139
2026-10-01,23.412
2027-01-01,41.316
2027-04-01,19.085
2027-07-01,22.664
2027-10-01,30.151
2028-01-01,44.822
2028-04-01,33.237
2028-07-01,22.205
2028-10-01,23.381
2029-01-01,40.005
2029-04-01,22.384
