ds,y
1985-01-01,158.429
1985-02-01,140.206
1985-03-01,145.413
1985-04-01,163.264
1985-05-01,169.958
1985-06-01,141.694
1985-07-01,152.107
1985-08-01,146.157
1985-09-01,149.132
1985-10-01,182.231
1985-11-01,178.884
1985-12-01,257.355
1986-01-01,171.818
1986-02-01,140.206
1986-03-01,153.967
1986-04-01,170.702
1986-05-01,177.768
1986-06-01,153.595
1986-07-01,160.289
1986-08-01,143.553
1986-09-01,155.082
1986-10-01,181.115
1986-11-01,173.305
1986-12-01,280.413
1987-01-01,180.0
1987-02-01,137.975
1987-03-01,151.363
1987-04-01,157.314
1987-05-01,161.405
1987-06-01,156.198
1987-07-01,154.338
1987-08-01,143.182
1987-09-01,144.669
1987-10-01,153.967
1987-11-01,168.843
1987-12-01,248.429
1988-01-01,142.066
1988-02-01,122.727
1988-03-01,152.851
1988-04-01,153.595
1988-05-01,155.082
1988-06-01,141.694
1988-07-01,142.066
1988-08-01,144.669
1988-09-01,147.644
1988-10-01,166.239
1988-11-01,171.818
1988-12-01,257.727
1989-01-01,158.429
1989-02-01,152.107
1989-03-01,177.396
1989-04-01,191.157
1989-05-01,182.603
1989-06-01,174.793
1989-07-01,178.884
1989-08-01,177.024
1989-09-01,178.512
1989-10-01,187.438
1989-11-01,192.644
1989-12-01,297.148
1990-01-01,169.586
1990-02-01,156.942
1990-03-01,172.933
1990-04-01,175.909
1990-05-01,185.206
1990-06-01,171.074
1990-07-01,174.049
1990-08-01,176.281
1990-09-01,171.074
1990-10-01,213.471
1990-11-01,217.19
1990-12-01,320.206
1991-01-01,200.826
1991-02-01,181.115
1991-03-01,192.272
1991-04-01,215.702
1991-05-01,221.652
1991-06-01,194.504
1991-07-01,218.305
1991-08-01,215.702
1991-09-01,222.396
1991-10-01,246.942
1991-11-01,248.057
1991-12-01,365.206
1992-01-01,236.528
1992-02-01,205.661
1992-03-01,238.76
1992-04-01,251.404
1992-05-01,243.223
1992-06-01,226.859
1992-07-01,247.314
1992-08-01,235.413
1992-09-01,241.735
1992-10-01,277.437
1992-11-01,293.429
1992-12-01,409.09
1993-01-01,268.512
1993-02-01,228.718
1993-03-01,291.57
