ds,y
1984-01-01,13.577
1984-02-01,11.491
1984-03-01,12.064
1984-04-01,13.088
1984-05-01,14.759
1984-06-01,14.196
1984-07-01,14.602
1984-08-01,14.445
1984-09-01,14.039
1984-10-01,15.183
1984-11-01,17.288
1984-12-01,28.188
1985-01-01,13.707
1985-02-01,11.104
1985-03-01,12.876
1985-04-01,12.497
1985-05-01,14.906
1985-06-01,12.599
1985-07-01,14.602
1985-08-01,13.18
1985-09-01,15.073
1985-10-01,15.137
1985-11-01,16.836
1985-12-01,28.576
1986-01-01,14.14
1986-02-01,10.716
1986-03-01,11.907
1986-04-01,13.891
1986-05-01,14.076
1986-06-01,12.959
1986-07-01,15.174
1986-08-01,13.67
1986-09-01,15.026
1986-10-01,15.94
1986-11-01,17.011
1986-12-01,29.49
1987-01-01,14.482
1987-02-01,11.094
1987-03-01,13.236
1987-04-01,14.113
1987-05-01,14.666
1987-06-01,14.463
1987-07-01,16.097
1987-08-01,14.168
1987-09-01,16.023
1987-10-01,15.977
1987-11-01,18.063
1987-12-01,30.662
1988-01-01,14.316
1988-02-01,12.396
1988-03-01,13.291
1988-04-01,15.571
1988-05-01,14.98
1988-06-01,17.472
1988-07-01,13.651
1988-08-01,16.3
1988-09-01,16.605
1988-10-01,16.503
1988-11-01,18.257
1988-12-01,32.6
1989-01-01,15.285
1989-02-01,12.451
1989-03-01,14.676
1989-04-01,15.571
1989-05-01,16.614
1989-06-01,16.005
1989-07-01,16.743
1989-08-01,15.303
1989-09-01,16.06
1989-10-01,17.786
1989-11-01,20.555
1989-12-01,35.028
1990-01-01,16.651
1990-02-01,12.654
1990-03-01,15.737
1990-04-01,15.783
1990-05-01,17.74
1990-06-01,17.306
1990-07-01,17.075
1990-08-01,17.251
1990-09-01,17.537
1990-10-01,19.208
1990-11-01,23.241
1990-12-01,36.052
1991-01-01,17.685
1991-02-01,14.076
1991-03-01,16.485
1991-04-01,18.608
1991-05-01,19.023
1991-06-01,18.958
1991-07-01,19.309
1991-08-01,18.118
1991-09-01,20.398
1991-10-01,21.58
1991-11-01,24.478
1991-12-01,38.969
1992-01-01,19.928
1992-02-01,16.023
1992-03-01,17.934
1992-04-01,20.048
1992-05-01,20.204
1992-06-01,22.807
1992-07-01,22.014
1992-08-01,19.992
1992-09-01,23.232
1992-10-01,23.398
1992-11-01,25.733
1992-12-01,41.48
1993-01-01,21.247
1993-02-01,16.799
1993-03-01,21.211
1993-04-01,18.552
1993-05-01,20.583
1993-06-01,23.795
1993-07-01,22.078
1993-08-01,21.155
1993-09-01,22.567
1993-10-01,22.687
