ds,y
1999-10-01,137.352
1999-11-01,136.862
1999-12-01,137.025
2000-01-01,135.923
2000-02-01,136.821
2000-03-01,137.76
2000-04-01,137.597
2000-05-01,138.944
2000-06-01,132.208
2000-07-01,111.017
2000-08-01,109.914
2000-09-01,140.292
2000-10-01,142.456
2000-11-01,141.925
2000-12-01,141.803
2001-01-01,139.23
2001-02-01,140.782
2001-03-01,141.639
2001-04-01,141.149
2001-05-01,144.538
2001-06-01,138.659
2001-07-01,115.998
2001-08-01,115.222
2001-09-01,144.538
2001-10-01,146.661
2001-11-01,146.376
2001-12-01,146.457
2002-01-01,144.987
2002-02-01,145.314
2002-03-01,146.376
2002-04-01,147.764
2002-05-01,149.152
2002-06-01,142.211
2002-07-01,118.285
2002-08-01,119.142
2002-09-01,148.131
2002-10-01,150.54
2002-11-01,150.05
2002-12-01,151.03
2003-01-01,149.519
2003-02-01,151.071
2003-03-01,152.663
2003-04-01,150.295
2003-05-01,154.297
2003-06-01,146.498
2003-07-01,123.592
2003-08-01,124.368
2003-09-01,154.011
2003-10-01,156.951
2003-11-01,156.869
2003-12-01,157.073
2004-01-01,154.337
2004-02-01,155.889
2004-03-01,157.318
2004-04-01,157.481
2004-05-01,158.706
2004-06-01,151.275
2004-07-01,125.879
2004-08-01,125.961
2004-09-01,156.624
2004-10-01,158.543
2004-11-01,158.012
2004-12-01,157.849
2005-01-01,155.603
2005-02-01,156.011
2005-03-01,156.461
2005-04-01,157.726
2005-05-01,158.012
2005-06-01,151.643
2005-07-01,129.88
2005-08-01,130.452
2005-09-01,155.562
2005-10-01,156.624
2005-11-01,156.828
2005-12-01,158.461
2006-01-01,155.807
2006-02-01,156.175
2006-03-01,158.543
2006-04-01,158.502
2006-05-01,163.851
2006-06-01,153.888
2006-07-01,136.209
2006-08-01,137.76
2006-09-01,150.908
2006-10-01,153.766
2006-11-01,154.46
2006-12-01,156.542
2007-01-01,155.807
2007-02-01,156.746
2007-03-01,159.441
2007-04-01,160.176
2007-05-01,162.626
2007-06-01,157.359
2007-07-01,138.781
2007-08-01,138.863
2007-09-01,156.542
2007-10-01,158.992
