ds,y
2010-10-01,2464.97
2010-11-01,2487.137
2010-12-01,2528.22
2011-01-01,2493.935
2011-02-01,2478.566
2011-03-01,2486.546
2011-04-01,2489.797
2011-05-01,2505.758
2011-06-01,2519.649
2011-07-01,2519.353
2011-08-01,2526.447
2011-09-01,2521.127
2011-10-01,2541.225
2011-11-01,2569.008
2011-12-01,2611.864
2012-01-01,2576.988
2012-02-01,2562.21
2012-03-01,2566.939
2012-04-01,2564.279
2012-05-01,2587.628
2012-06-01,2593.243
2012-07-01,2586.446
2012-08-01,2590.583
2012-09-01,2575.214
2012-10-01,2592.357
2012-11-01,2622.799
2012-12-01,2649.991
2013-01-01,2618.07
2013-02-01,2610.681
2013-03-01,2614.524
2013-04-01,2623.391
2013-05-01,2631.371
2013-06-01,2658.562
2013-07-01,2656.493
2013-08-01,2654.72
2013-09-01,2663.882
2013-10-01,2688.709
2013-11-01,2709.103
2013-12-01,2725.95
2014-01-01,2701.714
2014-02-01,2680.434
2014-03-01,2683.094
2014-04-01,2691.665
2014-05-01,2705.556
2014-06-01,2743.092
2014-07-01,2751.664
2014-08-01,2759.348
2014-09-01,2755.801
2014-10-01,2780.037
2014-11-01,2798.953
2014-12-01,2848.312
2015-01-01,2802.795
2015-02-01,2802.5
2015-03-01,2799.84
2015-04-01,2788.017
2015-05-01,2804.273
2015-06-01,2820.825
2015-07-01,2807.82
2015-08-01,2823.485
2015-09-01,2812.845
2015-10-01,2812.253
2015-11-01,2829.691
2015-12-01,2843.583
2016-01-01,2795.111
2016-02-01,2784.766
2016-03-01,2764.373
2016-04-01,2750.777
2016-05-01,2761.713
2016-06-01,2778.855
2016-07-01,2775.9
2016-08-01,2776.786
2016-09-01,2765.555
2016-10-01,2764.964
2016-11-01,2772.648
2016-12-01,2804.864
2017-01-01,2771.171
2017-02-01,2758.757
2017-03-01,2751.072
2017-04-01,2751.664
2017-05-01,2759.644
2017-06-01,2782.993
2017-07-01,2765.85
2017-08-01,2764.373
2017-09-01,2756.688
2017-10-01,2780.924
2017-11-01,2804.273
2017-12-01,2824.667
2018-01-01,2787.131
2018-02-01,2767.919
2018-03-01,2768.511
2018-04-01,2760.53
2018-05-01,2768.215
2018-06-01,2787.722
2018-07-01,2776.195
2018-08-01,2773.831
2018-09-01,2770.875
2018-10-01,2781.22
2018-11-01,2808.116
2018-12-01,2827.918
2019-01-01,2788.609
