ds,y
2007-10-01,571.624
2007-11-01,565.44
2007-12-01,561.022
2008-01-01,547.77
2008-02-01,548.654
2008-03-01,549.537
2008-04-01,552.188
2008-05-01,559.256
2008-06-01,569.858
2008-07-01,574.275
2008-08-01,576.926
2008-09-01,570.741
2008-10-01,569.858
2008-11-01,569.858
2008-12-01,565.44
2009-01-01,558.372
2009-02-01,559.256
2009-03-01,559.256
2009-04-01,564.556
2009-05-01,573.392
2009-06-01,583.993
2009-07-01,590.178
2009-08-01,591.062
2009-09-01,591.062
2009-10-01,590.178
2009-11-01,585.76
2009-12-01,582.226
2010-01-01,569.858
2010-02-01,568.09
2010-03-01,567.207
2010-04-01,566.324
2010-05-01,570.741
2010-06-01,578.692
2010-07-01,578.692
2010-08-01,578.692
2010-09-01,572.508
2010-10-01,568.974
2010-11-01,561.022
2010-12-01,553.954
2011-01-01,532.75
2011-02-01,525.682
2011-03-01,523.915
2011-04-01,520.381
2011-05-01,522.148
2011-06-01,530.1
2011-07-01,534.517
2011-08-01,536.284
2011-09-01,531.867
2011-10-01,533.634
2011-11-01,529.216
2011-12-01,523.032
2012-01-01,511.546
2012-02-01,511.546
2012-03-01,509.78
2012-04-01,514.197
2012-05-01,525.682
2012-06-01,535.401
2012-07-01,540.702
2012-08-01,542.469
2012-09-01,544.236
2012-10-01,546.886
2012-11-01,539.818
2012-12-01,530.983
2013-01-01,523.032
2013-02-01,521.265
2013-03-01,524.799
2013-04-01,526.566
2013-05-01,535.401
2013-06-01,546.886
2013-07-01,547.77
2013-08-01,550.42
2013-09-01,545.12
2013-10-01,542.469
2013-11-01,535.401
2013-12-01,526.566
2014-01-01,516.847
2014-02-01,511.546
2014-03-01,507.129
2014-04-01,508.896
2014-05-01,514.197
2014-06-01,519.498
2014-07-01,518.614
2014-08-01,522.148
2014-09-01,517.731
2014-10-01,517.731
2014-11-01,514.197
2014-12-01,508.012
2015-01-01,493.876
2015-02-01,493.876
2015-03-01,491.226
2015-04-01,491.226
2015-05-01,502.712
2015-06-01,514.197
2015-07-01,514.197
2015-08-01,515.964
2015-09-01,513.314
2015-10-01,515.964
2015-11-01,513.314
2015-12-01,507.129
2016-01-01,493.876
2016-02-01,495.643
2016-03-01,503.595
2016-04-01,510.663
2016-05-01,522.148
2016-06-01,530.1
2016-07-01,535.401
2016-08-01,537.168
2016-09-01,537.168
2016-10-01,533.634
2016-11-01,532.75
2016-12-01,530.983
2017-01-01,522.148
2017-02-01,525.682
2017-03-01,531.867
2017-04-01,538.935
2017-05-01,549.537
2017-06-01,561.022
2017-07-01,562.79
2017-08-01,567.207
2017-09-01,570.741
2017-10-01,574.275
2017-11-01,575.158
2017-12-01,574.275
2018-01-01,564.556
2018-02-01,568.974
2018-03-01,577.809
2018-04-01,591.062
2018-05-01,601.664
2018-06-01,614.916
2018-07-01,620.217
2018-08-01,622.868
2018-09-01,621.984
2018-10-01,626.402
2018-11-01,621.1
2018-12-01,620.217
2019-01-01,609.615
2019-02-01,613.149
2019-03-01,619.334
2019-04-01,627.285
2019-05-01,636.12
2019-06-01,648.489
2019-07-01,654.674
2019-08-01,658.208
2019-09-01,652.023
2019-10-01,652.023
2019-11-01,652.906
2019-12-01,652.023
2020-01-01,644.955
2020-02-01,645.838
2020-03-01,654.674
2020-04-01,658.208
2020-05-01,671.46
2020-06-01,683.829
2020-07-01,692.664
2020-08-01,703.266
2020-09-01,702.382
2020-10-01,698.848
2020-11-01,691.78
2020-12-01,678.528
2021-01-01,659.091
2021-02-01,646.722
2021-03-01,630.819
2021-04-01,618.45
2021-05-01,611.382
2021-06-01,612.266
2021-07-01,610.498
2021-08-01,601.664
2021-09-01,599.013
2021-10-01,591.062
2021-11-01,591.062
2021-12-01,583.993
2022-01-01,576.042
2022-02-01,582.226
2022-03-01,590.178
2022-04-01,598.13
2022-05-01,614.032
2022-06-01,625.518
2022-07-01,637.003
2022-08-01,643.188
2022-09-01,646.722
2022-10-01,655.557
2022-11-01,654.674
2022-12-01,645.838
2023-01-01,637.003
2023-02-01,638.77
2023-03-01,654.674
2023-04-01,668.81
2023-05-01,685.596
2023-06-01,705.033
2023-07-01,718.286
2023-08-01,721.82
2023-09-01,726.237
2023-10-01,733.305
2023-11-01,731.538
2023-12-01,731.538
2024-01-01,728.004
2024-02-01,735.072
2024-03-01,738.606
2024-04-01,742.14
2024-05-01,754.509
2024-06-01,761.577
2024-07-01,764.228
2024-08-01,765.111
2024-09-01,757.16
2024-10-01,748.324
2024-11-01,747.441
2024-12-01,749.208
2025-01-01,740.373
2025-02-01,745.674
2025-03-01,748.324
2025-04-01,748.324
2025-05-01,757.16
2025-06-01,767.762
2025-07-01,773.062
2025-08-01,778.363
2025-09-01,775.713
2025-10-01,776.596
2025-11-01,769.528
2025-12-01,765.994
2026-01-01,759.81
2026-02-01,759.81
2026-03-01,766.878
2026-04-01,773.062
