code,freq,m,h,n,start,end
TS-00D6B,MS,12,12,264,1989-01-01,2010-12-01
TS-04BDB,MS,12,12,264,1989-01-01,2010-12-01
TS-05F45,MS,12,12,264,1984-01-01,2005-12-01
TS-08A5F,MS,12,12,264,1982-10-01,2004-09-01
TS-09B93,MS,12,12,264,2005-01-01,2026-12-01
TS-09E2A,MS,12,12,264,1980-01-01,2001-12-01
TS-0CF55,MS,12,12,264,1990-01-01,2011-12-01
TS-0EBA3,MS,12,12,264,1981-01-01,2002-12-01
TS-0F195,MS,12,12,264,1985-01-01,2006-12-01
TS-10E7C,MS,12,12,264,1984-01-01,2005-12-01
TS-14B94,MS,12,12,264,2010-10-01,2032-09-01
TS-15926,QS,4,8,68,1987-01-01,2003-10-01
TS-1B3D2,MS,12,12,264,1998-01-01,2019-12-01
TS-24C0D,MS,12,12,264,1992-10-01,2014-09-01
TS-2877A,MS,12,12,264,2006-10-01,2028-09-01
TS-2A943,MS,12,12,264,1982-10-01,2004-09-01
TS-2BE20,MS,12,12,264,1987-01-01,2008-12-01
TS-2DED2,QS,4,8,60,2004-01-01,2018-10-01
TS-30536,QS,4,8,70,1985-01-01,2002-04-01
TS-30818,MS,12,12,264,1985-01-01,2006-12-01
TS-32D08,QS,4,8,70,2003-01-01,2020-04-01
TS-35C4F,QS,4,8,66,1986-01-01,2002-04-01
TS-361BD,MS,12,12,264,2005-01-01,2026-12-01
TS-3699B,MS,12,12,264,2000-10-01,2022-09-01
TS-38935,MS,12,12,264,1983-01-01,2004-12-01
TS-3AE05,MS,12,12,264,2004-10-01,2026-09-01
TS-3AF35,MS,12,12,264,1979-01-01,2000-12-01
TS-3BF1D,MS,12,12,264,1978-01-01,1999-12-01
TS-3FD4D,MS,12,12,264,1999-01-01,2020-12-01
TS-4181A,MS,12,12,264,1983-01-01,2004-12-01
TS-41DF9,MS,12,12,264,2005-01-01,2026-12-01
TS-436EF,MS,12,12,264,1989-01-01,2010-12-01
TS-4596C,MS,12,12,264,1982-01-01,2003-12-01
TS-498E9,MS,12,12,264,1984-01-01,2005-12-01
TS-4AD97,MS,12,12,264,1983-01-01,2004-12-01
TS-4BF4B,MS,12,12,264,1984-01-01,2005-12-01
TS-4E06A,MS,12,12,264,2000-10-01,2022-09-01
TS-4EC80,MS,12,12,264,2001-10-01,2023-09-01
TS-4F4A2,MS,12,12,264,1981-10-01,2003-09-01
TS-4F8EA,MS,12,12,264,2001-01-01,2022-12-01
TS-4FED8,MS,12,12,264,2002-01-01,2023-12-01
TS-50085,MS,12,12,264,1998-01-01,2019-12-01
TS-5201F,MS,12,12,264,1997-01-01,2018-12-01
TS-520D3,MS,12,12,264,2008-01-01,2029-12-01
TS-5224B,QS,4,8,68,1992-01-01,2008-10-01
TS-5DA09,QS,4,8,62,2009-01-01,2024-04-01
TS-5EB7F,MS,12,12,264,2002-01-01,2023-12-01
TS-5F95A,MS,12,12,264,1982-01-01,2003-12-01
TS-60238,MS,12,12,264,1985-01-01,2006-12-01
TS-61DD0,MS,12,12,264,1982-01-01,2003-12-01
TS-62F03,MS,12,12,264,2004-01-01,2025-12-01
TS-6480D,QS,4,8,64,1992-01-01,2007-10-01
TS-67D06,QS,4,8,60,2012-01-01,2026-10-01
TS-69736,MS,12,12,249,1985-01-01,2005-09-01
TS-6EDA7,MS,12,12,264,1978-01-01,1999-12-01
TS-70591,MS,12,12,264,1989-10-01,2011-09-01
TS-711CD,MS,12,12,264,2002-01-01,2023-12-01
TS-74916,MS,12,12,264,2001-10-01,2023-09-01
TS-761A2,MS,12,12,264,2005-01-01,2026-12-01
TS-78717,MS,12,12,264,1982-10-01,2004-09-01
TS-7B10E,MS,12,12,264,1989-01-01,2010-12-01
TS-7C5BD,QS,4,8,60,1990-01-01,2004-10-01
TS-7D27F,MS,12,12,264,2009-01-01,2030-12-01
TS-7D378,MS,12,12,264,1999-01-01,2020-12-01
TS-82938,QS,4,8,56,1993-01-01,2006-10-01
TS-82FFC,MS,12,12,264,1992-01-01,2013-12-01
TS-830E4,MS,12,12,264,1981-01-01,2002-12-01
TS-83391,MS,12,12,264,2001-01-01,2022-12-01
TS-835B5,MS,12,12,264,2004-01-01,2025-12-01
TS-856E6,QS,4,8,58,2013-01-01,2027-04-01
TS-85A12,MS,12,12,264,1989-01-01,2010-12-01
TS-8750E,MS,12,12,264,2005-01-01,2026-12-01
TS-876F0,MS,12,12,264,1989-01-01,2010-12-01
TS-8B492,MS,12,12,264,1983-01-01,2004-12-01
TS-8CF72,MS,12,12,264,2000-01-01,2021-12-01
TS-911D3,MS,12,12,264,1984-01-01,2005-12-01
TS-92C6F,QS,4,8,56,1988-01-01,2001-10-01
TS-948FE,MS,12,12,264,2006-10-01,2028-09-01
TS-983DC,MS,12,12,264,1991-10-01,2013-09-01
TS-9A263,QS,4,8,60,2012-01-01,2026-10-01
TS-9A525,MS,12,12,264,2000-10-01,2022-09-01
TS-9BCC5,MS,12,12,264,2000-10-01,2022-09-01
TS-9CF15,MS,12,12,264,2006-01-01,2027-12-01
TS-9D6F9,MS,12,12,264,2007-01-01,2028-12-01
TS-9F8AD,MS,12,12,264,2003-01-01,2024-12-01
TS-9F983,MS,12,12,264,2003-10-01,2025-09-01
TS-A1115,QS,4,8,66,1992-01-01,2008-04-01
TS-A3D84,MS,12,12,264,2009-01-01,2030-12-01
TS-A7C56,MS,12,12,264,2005-01-01,2026-12-01
TS-A8F01,MS,12,12,264,1987-10-01,2009-09-01
TS-A95AD,MS,12,12,264,1978-01-01,1999-12-01
TS-AA3F4,MS,12,12,264,2005-01-01,2026-12-01
TS-AA8EA,MS,12,12,264,1979-01-01,2000-12-01
TS-ABD16,MS,12,12,261,2006-01-01,2027-09-01
TS-B0649,QS,4,8,58,1993-01-01,2007-04-01
TS-B2421,MS,12,12,264,2003-01-01,2024-12-01
TS-B3B7D,QS,4,8,56,1994-01-01,2007-10-01
TS-B4308,MS,12,12,264,1980-01-01,2001-12-01
TS-B5436,QS,4,8,56,1993-01-01,2006-10-01
TS-B5544,QS,4,8,66,1985-01-01,2001-04-01
TS-B56AE,QS,4,8,68,1994-01-01,2010-10-01
TS-B6EA6,MS,12,12,264,2002-10-01,2024-09-01
TS-B774D,MS,12,12,264,1987-01-01,2008-12-01
TS-BA36E,MS,12,12,264,2000-01-01,2021-12-01
TS-BE44A,QS,4,8,64,1991-01-01,2006-10-01
TS-BE5CC,MS,12,12,264,2003-10-01,2025-09-01
TS-BF6A3,MS,12,12,264,2006-10-01,2028-09-01
TS-C5669,QS,4,8,56,2015-01-01,2028-10-01
TS-C5AA9,MS,12,12,264,2000-01-01,2021-12-01
TS-C7D6E,MS,12,12,264,1989-10-01,2011-09-01
TS-CB833,QS,4,8,64,1985-01-01,2000-10-01
TS-D13E8,MS,12,12,264,1985-01-01,2006-12-01
TS-D17BB,MS,12,12,264,2003-01-01,2024-12-01
TS-D2C2C,MS,12,12,264,2001-01-01,2022-12-01
TS-D2EE3,QS,4,8,58,2015-01-01,2029-04-01
TS-D2EEF,MS,12,12,264,2005-01-01,2026-12-01
TS-D320D,MS,12,12,264,1999-01-01,2020-12-01
TS-D445E,QS,4,8,62,2011-01-01,2026-04-01
TS-D5EAE,QS,4,8,64,1989-01-01,2004-10-01
