ds,unique_id,y
1939-01-01,Total Private,25338
1939-02-01,Total Private,25447
1939-03-01,Total Private,25833
1939-04-01,Total Private,25801
1939-05-01,Total Private,26113
1939-06-01,Total Private,26485
1939-07-01,Total Private,26481
1939-08-01,Total Private,26848
1939-09-01,Total Private,27468
1939-10-01,Total Private,27830
1939-11-01,Total Private,27740
1939-12-01,Total Private,27886
1940-01-01,Total Private,26847
1940-02-01,Total Private,26902
1940-03-01,Total Private,27205
1940-04-01,Total Private,27255
1940-05-01,Total Private,27535
1940-06-01,Total Private,27765
1940-07-01,Total Private,27789
1940-08-01,Total Private,28332
1940-09-01,Total Private,29007
1940-10-01,Total Private,29399
1940-11-01,Total Private,29619
1940-12-01,Total Private,30221
1941-01-01,Total Private,29402
1941-02-01,Total Private,29671
1941-03-01,Total Private,30079
1941-04-01,Total Private,30610
1941-05-01,Total Private,31379
1941-06-01,Total Private,31999
1941-07-01,Total Private,32545
1941-08-01,Total Private,33014
1941-09-01,Total Private,33417
1941-10-01,Total Private,33457
1941-11-01,Total Private,33367
1941-12-01,Total Private,33552
1942-01-01,Total Private,32660
1942-02-01,Total Private,32739
1942-03-01,Total Private,33240
1942-04-01,Total Private,33764
1942-05-01,Total Private,34203
1942-06-01,Total Private,34624
1942-07-01,Total Private,35065
1942-08-01,Total Private,35460
1942-09-01,Total Private,35771
1942-10-01,Total Private,35852
1942-11-01,Total Private,35867
1942-12-01,Total Private,36209
1943-01-01,Total Private,35494
1943-02-01,Total Private,35627
1943-03-01,Total Private,35955
1943-04-01,Total Private,36212
1943-05-01,Total Private,36202
1943-06-01,Total Private,36608
1943-07-01,Total Private,36637
1943-08-01,Total Private,36628
1943-09-01,Total Private,36584
1943-10-01,Total Private,36658
1943-11-01,Total Private,36810
1943-12-01,Total Private,36815
1944-01-01,Total Private,36018
1944-02-01,Total Private,35973
1944-03-01,Total Private,35948
1944-04-01,Total Private,35833
1944-05-01,Total Private,35768
1944-06-01,Total Private,35949
1944-07-01,Total Private,35861
1944-08-01,Total Private,35828
1944-09-01,Total Private,35652
1944-10-01,Total Private,35555
1944-11-01,Total Private,35597
1944-12-01,Total Private,35850
1945-01-01,Total Private,35229
1945-02-01,Total Private,35290
1945-03-01,Total Private,35411
1945-04-01,Total Private,35161
1945-05-01,Total Private,35024
1945-06-01,Total Private,35065
1945-07-01,Total Private,34769
1945-08-01,Total Private,34490
1945-09-01,Total Private,32760
1945-10-01,Total Private,32833
1945-11-01,Total Private,33354
1945-12-01,Total Private,33755
1946-01-01,Total Private,33656
1946-02-01,Total Private,33092
1946-03-01,Total Private,34240
1946-04-01,Total Private,34997
1946-05-01,Total Private,35409
1946-06-01,Total Private,36074
1946-07-01,Total Private,36474
1946-08-01,Total Private,37139
1946-09-01,Total Private,37532
1946-10-01,Total Private,37637
1946-11-01,Total Private,38045
1946-12-01,Total Private,38351
1947-01-01,Total Private,37510
1947-02-01,Total Private,37495
1947-03-01,Total Private,37720
1947-04-01,Total Private,37686
1947-05-01,Total Private,37772
1947-06-01,Total Private,38249
1947-07-01,Total Private,38186
1947-08-01,Total Private,38660
1947-09-01,Total Private,39077
1947-10-01,Total Private,39197
1947-11-01,Total Private,39283
1947-12-01,Total Private,39708
1948-01-01,Total Private,38617
1948-02-01,Total Private,38344
1948-03-01,Total Private,38624
1948-04-01,Total Private,38368
1948-05-01,Total Private,38728
1948-06-01,Total Private,39240
1948-07-01,Total Private,39355
1948-08-01,Total Private,39674
1948-09-01,Total Private,40012
1948-10-01,Total Private,39881
1948-11-01,Total Private,39763
1948-12-01,Total Private,39946
1949-01-01,Total Private,38282
1949-02-01,Total Private,37932
1949-03-01,Total Private,37785
1949-04-01,Total Private,37857
1949-05-01,Total Private,37625
1949-06-01,Total Private,37747
1949-07-01,Total Private,37558
1949-08-01,Total Private,37984
1949-09-01,Total Private,38365
1949-10-01,Total Private,37487
1949-11-01,Total Private,37729
1949-12-01,Total Private,38370
1950-01-01,Total Private,37056
1950-02-01,Total Private,36649
1950-03-01,Total Private,37281
1950-04-01,Total Private,37842
1950-05-01,Total Private,38299
1950-06-01,Total Private,39063
