loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,disc_year,pl_orbper,pl_rade,pl_masse,pl_eqt,st_spectype,st_teff,sy_dist
35550,Proxima Cen b,Proxima Cen,b,3,2,2016,11.1868,NA,NA,NA,M5.5 V,2900,1.30119
35555,Proxima Cen d,Proxima Cen,d,3,2,2025,5.122,NA,NA,NA,M5.5 V,2900,1.30119
229,Barnard b,Barnard's star,b,1,4,2024,3.1533,NA,NA,400,M3.5-4 V,3195,1.82655
231,Barnard c,Barnard's star,c,1,4,2025,4.1244,NA,NA,400,M3.5-4 V,3195,1.82655
232,Barnard d,Barnard's star,d,1,4,2025,2.3402,NA,NA,483,M3.5-4 V,3195,1.82655
233,Barnard e,Barnard's star,e,1,4,2025,6.7392,NA,NA,340,M3.5-4 V,3195,1.82655
3088,HD 260655 b,HD 260655,b,1,2,2022,2.76953,1.24,2.14,709,M0 V,3803,10.0055
3090,HD 260655 c,HD 260655,c,1,2,2022,5.70588,1.533,3.09,557,M0 V,3803,10.0055
34819,L 363-38 b,L 363-38,b,1,1,2023,8.781,NA,NA,330,NA,3129,10.2295
572,GJ 1265 b,GJ 1265,b,1,1,2018,3.6511,NA,NA,NA,M4.5 V,3236,10.2525
760,GJ 649 b,GJ 649,b,1,1,2009,598.3,NA,NA,NA,M1.5,3700,10.3796
739,GJ 536 b,GJ 536,b,1,1,2016,8.708,NA,NA,NA,NA,3674,10.4092
639,GJ 341 b,GJ 341,b,1,1,2025,7.5768334,0.867887,NA,629,NA,3766,10.454
3913,HIP 48714 b,HIP 48714,b,1,1,2020,17.818,NA,NA,NA,M0.5 Ve,NA,10.5298
34820,L 98-59 b,L 98-59,b,1,5,2019,2.25310616175,0.826635,NA,567.3,NA,3469,10.6194
34827,L 98-59 c,L 98-59,c,1,5,2019,3.6906758578,1.36751,NA,479,NA,3469,10.6194
34835,L 98-59 d,L 98-59,d,1,5,2019,7.4507245,1.521,1.94,416,M3 V,3415,10.6194
34843,L 98-59 e,L 98-59,e,1,5,2021,12.81,NA,NA,NA,NA,NA,10.6194
34846,L 98-59 f,L 98-59,f,1,5,2025,23.064,NA,NA,285,M3 V,3415,10.6194
518,G 261-6 b,G 261-6,b,1,1,2025,5.4536,NA,NA,322.3,M5.5 V,NA,10.6267
2293,HD 147379 b,HD 147379,b,2,1,2017,86.58,NA,NA,NA,M0.0 V,4090,10.7643
819,GJ 86 b,GJ 86,b,2,1,1999,15.76491,NA,NA,NA,NA,5151,10.7836
239,COCONUTS-2 b,COCONUTS-2 A,b,1,1,2021,402000000,12.44196858,2002.3189641,434,M3 V,3406,10.8864
2048,HD 115404 A b,HD 115404 A,b,1,2,2022,10.49488,NA,NA,NA,NA,NA,10.9816
2049,HD 115404 A c,HD 115404 A,c,1,2,2022,15319.22517,NA,3279.67133183,NA,NA,NA,10.9816
1876,HD 104985 b,HD 104985,b,1,1,2003,198.2,NA,NA,NA,NA,4679.37,100.576
38432,WASP-84 b,WASP-84,b,1,2,2014,8.5234958,12.0756,NA,676,NA,5238,100.588
38440,WASP-84 c,WASP-84,c,1,2,2023,1.4468993,4.98711,NA,1719,NA,5238,100.588
35760,TOI-1227 b,TOI-1227,b,1,1,2022,27.36137783684,6.45224486,NA,243.77,NA,3050,100.641
36037,TOI-1723 b,TOI-1723,b,1,1,2024,13.7270395,2.95921,NA,802,NA,5777,100.727
1975,HD 110014 b,HD 110014,b,1,1,2009,835.477,NA,NA,NA,K2 III,4445,100.758
35607,Qatar-6 b,Qatar-6,b,2,1,2017,3.50616494168,12.85761953,NA,927.51,NA,4906,100.848
45,2MASS J11550485-7919108 b,2MASS J11550485-7919108,b,1,1,2024,NA,NA,6356.56814,2506,NA,NA,100.862
2360,HD 154391 b,HD 154391,b,1,1,2023,5163,NA,2892.2385037,NA,K1 III,4909,100.947
34936,MOA-2007-BLG-192L b,MOA-2007-BLG-192L,b,1,1,2008,NA,NA,3.3,NA,NA,NA,1000
33864,Kepler-923 b,Kepler-923,b,1,1,2016,6.93366476,1.38,NA,NA,NA,5988,1000.28
33826,Kepler-920 b,Kepler-920,b,1,2,2016,NA,3.016,NA,NA,NA,5306,1001.68
33836,Kepler-920 c,Kepler-920,c,1,2,2016,100.8276725,4.35,NA,364,NA,5301,1001.68
14679,Kepler-1580 b,Kepler-1580,b,1,1,2016,56.6449279,2.399,NA,NA,NA,6300,1002.02
18808,Kepler-1946 b,Kepler-1946,b,1,1,2021,3.035206175,3.59,NA,1143,NA,5505,1002.12
21588,Kepler-259 b,Kepler-259,b,1,2,2014,NA,3.209,NA,NA,NA,5511,1002.14
21600,Kepler-259 c,Kepler-259,c,1,2,2014,36.9250409,3.01,NA,530,NA,5926,1002.14
26576,Kepler-418 b,Kepler-418,b,1,2,2014,86.67855186,9.88,NA,446,NA,6177,1002.53
26589,Kepler-418 c,Kepler-418,c,1,2,2021,12.218255,5.3,NA,860,NA,6166,1002.53
13338,Kepler-1476 b,Kepler-1476,b,1,1,2016,10.35857039,1.68,NA,860,NA,5893,1002.74
24616,Kepler-344 b,Kepler-344,b,1,2,2014,21.96394,3,NA,641,NA,5752,1002.94
24628,Kepler-344 c,Kepler-344,c,1,2,2014,NA,2.657,NA,NA,NA,5459,1002.94
10783,Kepler-1287 b,Kepler-1287,b,1,1,2016,11.47685909,1.48,NA,811,NA,6032,1003.26
11945,Kepler-1370 b,Kepler-1370,b,1,2,2016,20.26427,1.94,NA,781,NA,6234,1004.1
11956,Kepler-1370 c,Kepler-1370,c,1,2,2016,7.44142113,1.27,NA,NA,NA,6202,1004.1
18789,Kepler-1943 b,Kepler-1943,b,1,1,2021,4.85026423,1.309,NA,NA,NA,5807,1004.55
31210,Kepler-736 b,Kepler-736,b,1,1,2016,3.601465336,2.31,NA,996,NA,5052,1005.43
26751,Kepler-43 b,Kepler-43,b,1,1,2011,3.0240922,12.55,962.98,NA,NA,6019,1005.84
17357,Kepler-1815 b,Kepler-1815,b,1,1,2021,12.19138811,2.8,NA,763,NA,5516,1006.63
8478,Kepler-1116 b,Kepler-1116,b,1,1,2016,41.6977827,2.37,NA,489,NA,5737,1008.57
16189,Kepler-1717 b,Kepler-1717,b,1,1,2021,30.6529373,2.38,NA,771,NA,6823,1008.79
18639,Kepler-193 b,Kepler-193,b,1,2,2014,11.38839971,2.44,NA,917,NA,6343,1009.1
18651,Kepler-193 c,Kepler-193,c,1,2,2014,50.6984448,2.85,NA,558,NA,6343,1009.1
17311,Kepler-1810 b,Kepler-1810,b,1,1,2021,101.1326568,3.79,NA,380,NA,5783,1009.87
2005,HD 112570 b,HD 112570,b,1,1,2023,2615,NA,1086.97315194,NA,K0 III,4750,101.166
36303,TOI-2260 b,TOI-2260,b,1,1,2022,0.3524597,1.76224,NA,1825,NA,5432,101.251
157,81 Cet b,81 Cet,b,1,1,2008,NA,NA,NA,NA,NA,NA,101.26
4745,K2-222 b,K2-222,b,1,1,2018,15.386796,2.1,NA,NA,NA,NA,101.321
2895,HD 214823 b,HD 214823,b,2,1,2016,1877,NA,NA,NA,G0 V,6215,101.368
4163,K2-117 b,K2-117,b,1,2,2017,1.291505,1.96,NA,NA,NA,3842.12,101.632
