session_id,user_id,session_start_timestamp,booking_timestamp,time_to_booking
CP0lbAGnb5UNi3Ut,TcCIMrtQ75wHGXVj,2025-01-26 20:02:39.177358627,,
UQAjrPYair63L1p8,TcCIMrtQ75wHGXVj,2025-01-20 16:12:51.536912203,,
9zQrAPxV5oi2SzSa,TcCIMrtQ75wHGXVj,2025-01-28 03:46:40.839362144,,
kkrz1M5vxrQ8wXRZ,GUGVzto9KGqeX3dc,2025-01-25 02:48:50.953303099,,
AKDXZWWFYKViHC27,,2025-01-28 00:30:49.979124308,,
ABZZFrwItZAPdYGP,v2EBIHmOdQfalI6k,2025-01-11 11:41:36.912253618,,
9dGu1TXJ9cnNPDRD,wnsKpRB9SE0gTZAq,2025-01-20 00:21:33.958558559,,
FO9TGua6J3Nl4uds,,2025-01-20 07:11:26.141609907,,
pjU3gt6Fti6axeMj,go0Nl2hbR6L3zYu4,2025-01-05 21:30:41.624932766,,
94iFRPtpApTCJUkc,XmsrbZS1PW4BXwdd,2025-01-16 20:30:27.993453503,2025-01-16 20:56:07.830598933,25.663952423833333
JO0SGia9COmpYrKi,XmsrbZS1PW4BXwdd,2025-01-21 22:31:13.609749794,,
SWjTk16Q40V1kVUX,XmsrbZS1PW4BXwdd,2025-01-19 19:01:57.542657614,,
DOiiuY0dMj8OAYOr,,2025-01-12 02:51:10.253933191,,
GfKVzZBTtjExR8Em,Mt5gm2BMr9UkJ0Jb,2025-01-23 05:29:36.047711134,,
M6TUf3fMYneqqXCA,VTqfOTwUp7OzTXaJ,2025-01-15 20:08:54.657860279,,
6PTa4K0z0qRX8Y4R,VTqfOTwUp7OzTXaJ,2025-01-27 22:48:35.756855726,,
yK6PZnZfjB4vYG4t,VTqfOTwUp7OzTXaJ,2025-01-13 08:52:55.532226561,,
nRHHxOS2IjEdZsWn,DbteEhDM8b0mdSZh,2025-01-07 02:30:49.202743292,,
ckrjDygdPsjoG0fm,MygnCSuK3WG5Oy06,2025-01-17 10:59:31.075790882,,
IgYV9edvzLDYJ50d,MygnCSuK3WG5Oy06,2025-01-27 05:37:19.812357187,2025-01-27 05:48:59.038562283,11.653770084933333
fANDsPKqDK7V5SLi,,2025-01-16 13:56:15.861248493,,
M1uaI4NuXRCagqfl,7XhnS7b3Po4xHdry,2025-01-19 06:34:27.402799845,,
lSw4qrgxXWuzonBo,7XhnS7b3Po4xHdry,2025-01-21 09:06:32.314626932,2025-01-21 09:19:25.493161566,12.886308910566667
Ag9E4ajLVQIJzNNS,UxfHYLcsUT5JsBU2,2025-01-21 00:19:14.756687641,,
iBRIY6eXX8Mr9xX4,,2025-01-23 06:49:09.429538727,2025-01-23 06:59:11.524874286,10.034922259316666
NIW3EBgBvmd3pNjp,3jrdlAC4lkdT667x,2025-01-01 10:33:57.101443529,,
PBeqRlyo9Pzi4I4F,zB5U7dJov72W4xxK,2025-01-13 13:52:46.933131933,,
sqRJiMRaDqboSQFT,zB5U7dJov72W4xxK,2025-01-16 15:10:28.372303486,,
G513P482BE5bRDVI,efW48jcLHf8jp7Cc,2025-01-05 00:46:24.939937592,,
