user_id,experiment_group
TcCIMrtQ75wHGXVj,variant
GUGVzto9KGqeX3dc,variant
uNcuV49WhPJ8C0MH,variant
v2EBIHmOdQfalI6k,variant
wnsKpRB9SE0gTZAq,variant
go0Nl2hbR6L3zYu4,variant
XmsrbZS1PW4BXwdd,control
lvzNPIdldZ4Egjxo,variant
Mt5gm2BMr9UkJ0Jb,variant
VTqfOTwUp7OzTXaJ,variant
DbteEhDM8b0mdSZh,control
MygnCSuK3WG5Oy06,variant
6TniogbEgO3kmmzQ,variant
7XhnS7b3Po4xHdry,variant
UxfHYLcsUT5JsBU2,variant
3jrdlAC4lkdT667x,variant
zB5U7dJov72W4xxK,variant
efW48jcLHf8jp7Cc,control
kKdWdxB3ILXxvzr6,variant
cTki1GzJdZbhgJHN,control
sCMfjOPe6xOvzYKS,variant
CJtrNS9O133ooxC1,control
qWUypXqUUuRVA1ev,control
GNbIQsNANJ6MbO0r,control
Tw1zkVaJXtEhNx1t,control
2oDtLbfPrJnzH1Dg,variant
6DrvqE3qEmAtqCMI,control
hQLoXaGcMLV9o98P,control
rLEt6gKAhnXogGZH,variant
daOnELX0tcITGocB,control
AUUGs35GEdFPB3pW,variant
QBoVvE7uFgGhn94y,control
FBbqAbhLtWK4uzEt,control
fXo4azCbv87CiOu2,control
4FFURNzV9mcFGGPP,control
mQfdLfYcANtrtDjZ,control
wUcZX59iWsJNAPBQ,control
YhPVhr6uTmAU79N0,control
pNiAqc30dNZ3anhg,control
DyMpkyG81ZYVuZZj,variant
3XiaHEuxs8V77uyt,variant
0zgcN3Vh0Dkh4Kqh,variant
URDQQp2duXH9NImQ,control
AhOPC9pQ0TeKNNP7,control
jouHvvizm1rawGUE,control
5uwp8AKLZnKUglBc,variant
vYuCtcAuOGDVMO6i,control
VLw1wauFSzG7iqfT,control
gg44KeGXjqNBUTvu,control
9U3FFYJEf1uInw9P,variant
9xDje86PDgfhZz6r,variant
JzJOd17m2x2EvNrH,variant
wMUK5Ua6PtUyfZDt,control
i3VWrNcJfRLasLBU,variant
iUjxzhemvHywOVuc,variant
hTX9MYMvSkwWpZ7Y,variant
BIPC63LfWnCW9BjT,variant
UdxbT6CyEUYToLGX,variant
WhNpLROHfMNWw0Xu,control
IUCIbGzRFrHDRwV2,control
tT5wNhn7wTnb5dxY,control
JipFFAoWdJ5yo7lg,control
JxfVO7SEu7kpnynL,variant
rnxYhSyHSRBxr4HP,control
clJeslAqQBNvjOfq,variant
lfQvXpdyG4aoqQ5s,variant
1Xstawpxto5x5KOG,variant
F583EoaWlIKVDzk7,variant
Fbj7Tvi1246D0yur,control
tYNpWMICT3DZ20Vc,control
2F5nzeBhSVGJ7mtr,control
YXtQGuTxBeDQ0xMn,variant
JJz2mNuzHNnuQ6WU,control
XslJ5DRGRw9OmBBs,variant
KEXPMqBdf7s5wN7S,variant
Pfxv0unxyq6YTIq3,variant
BbHaUc63vPdoJM1l,control
KVO5gEeAyqB2A0zW,control
C7Aq8LpiFaiXgRKN,variant
YS7fK9MdWKjjWIhw,variant
WZg0bLtEDVyj7qiQ,variant
5FxpTlI0QUTqC4JI,control
dgsUBOvueSWF7atB,control
4R1VK7lr0SYXeEbS,variant
6ibr3IRyp5ORTt6d,variant
0FZtMorgchChaQ1u,variant
MSbHuVG3M4NgoiDR,variant
Y270qLOMVucK8qq1,control
kjajyp26L1FZymQp,variant
XOtB7h4E1BCP9HKP,control
7teAKKEGVFqQwVSO,variant
K64qVrn7p8xMcmMu,control
8spBeho1irtJS6Rz,variant
bLfcuwzW5vtSD7FV,variant
